enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
70,2004,38.927,0,0,0,0,0,0,0,0,0,0,0,3.65,42.577,-7.184,0,0,0,0,0,0,0,4.298,-2.886,0,0,0,0,0,0,-1.249,0,-4.573,-5.822,5.467,0,33.869,39.336,-7.184,35.393
70,2005,53.298,0,0,0,0,0,0,0,0,0,0,0,-78.378,-25.08,-10.939,0.095,0,0,-20.03,0,0,0,-89.365,-120.239,213.338,0,0,0,0,0,-3.479,0,0.011,209.87,39.338,0,64.551,103.889,-10.939,-36.019
70,2006,60.103,7.098,-3.719,0.328,1.838,0,67.379,65.826,0,4.276,0,0,-14.276,123.027,-31.699,0.02,-1.674,0,-14.487,0,-1.005,0,47.538,-1.307,1.413,-15.242,0,0,0,0,-16.368,0,-0.394,-30.591,106.476,-2.441,88.688,195.164,-32.704,90.323
70,2007,136.003,17.178,-20.206,0.023,-7.73,0,64.393,36.48,0,9.939,0,0,-6.877,192.723,-41.412,0,-7.041,0,-2.604,0,-3.032,0,-56.208,-110.297,4.354,-30.821,0,0,0,0,-18.589,0,0,-45.056,201.491,-3.072,34.298,235.789,-44.444,148.279
70,2008,212.807,26.141,-15.627,0.104,-2.05,0,24.644,7.071,0,13.982,0,0,-10.862,249.139,-80.628,1.525,-24.447,0,-73.683,131.712,-26.759,0,-27.371,-99.651,14.127,-14.556,0,39.655,0,39.655,-28.529,0,-0.001,10.696,250.307,-10.291,149.893,400.2,-107.387,141.752
70,2009,410.81,52.551,-65.352,-0.552,-6.605,0,101.915,29.406,0,23.419,0,0,6.09,522.276,-194.489,0.356,-46.633,0,-6.018,0,-10.413,0,-109.679,-366.876,12.685,-59.732,0,0,-42.63,-42.63,-37.614,0,0.365,-126.926,430.23,-11.086,17.388,447.618,-204.902,317.374
70,2010,764.791,78.834,-36.027,0.803,5.403,0,338.278,308.457,0,47.077,0,0,30.92,1230.079,-115.536,0.087,-0.021,0,-81.874,92.724,-4.68,0,-626.664,-735.964,24.233,-26.099,0,29.633,0,29.633,-81.231,0,-4.699,-58.163,449.348,-0.101,435.851,885.199,-120.216,1109.863
70,2011,1220.387,117.749,-72.742,0,-7.81,0,433.743,353.191,0,74.555,0,0,86.727,1852.609,-223.803,0.237,-145.905,8.226,-1309.733,68.585,-114.048,0,-90.407,-1806.848,29.964,-71.844,0,796.87,-30.426,766.444,-96.134,0,-10.034,618.396,908.867,-7.802,656.355,1565.222,-337.851,1514.758
70,2012,1610.666,305.505,-39.49,0,-414.349,0,639.285,185.446,295.239,115.417,0,0,-408.038,2104.235,-639.507,0.094,-814.1,0,-1525.841,943.464,-125.126,0,-257.742,-2418.758,-43.947,-164.934,0,1645.154,-593.23,1051.924,-132.052,0,-22.131,688.86,1639.561,-27.171,347.166,1986.727,-764.633,1339.602
70,2013,2051.245,420.517,-42.838,-48.293,-361.796,0,1015.595,562.668,363.561,145.2,0,0,-425.972,3117.219,-586.735,0.642,-658.292,17.809,-4824.477,2973.303,-189.642,0,657.008,-2610.384,18.772,-3.209,0,1117.475,-1287.383,-169.908,-177.769,0,-50.7,-382.814,2023.489,-0.321,123.7,2147.189,-776.377,2340.842
70,2014,2562.317,593.698,-99.773,-134.183,-154.763,0,1362.574,973.855,612.137,192.301,0,0,-921.334,4012.974,-788.304,2.799,-735.125,59.6,-4271.79,2626.033,-212.882,0,169.417,-3150.252,4.939,-218.15,0,1154.631,-380.981,773.651,-241.694,0,-37.538,281.208,2203.398,-16.958,1126.972,3330.37,-1001.185,3011.789
70,2015,3860.001,778.528,-229.131,210.064,-282.94,0,1199.787,897.78,828.136,291.181,0,0,-1369.939,5285.687,-694.18,26.985,-5876.289,227.354,-2755.066,4560.644,-370.843,0,294.251,-4587.144,-37.165,-9.857,0,3988.624,-656.853,3331.771,-284.555,0,-35.065,2965.129,3268.59,-30.378,3633.294,6901.884,-1072.779,4212.908
70,2016,4513.498,1034.873,-382.844,-2.636,-787.862,0,2164.023,990.681,1102.169,427.346,0,0,-1024.018,7044.549,-843.529,10.854,-2429.176,184.212,-15535.036,9618.862,-1170.706,0,301.903,-9862.616,-74.894,0,0,4770.433,-638.384,4132.049,-409.359,0,-774.837,2872.959,6623.094,57.527,112.419,6735.513,-2032.066,5012.483
70,2017,5989.624,1841.238,-423.423,-5.491,-593.659,0,2607.445,1584.872,1473.019,623.284,0,0,-2043.844,9468.193,-1213.763,4.48,-1780.398,474.002,-13093.587,6352.207,-1496.431,0,504.205,-10249.285,-247.261,0,0,8350.097,-2936.068,5414.029,-534.553,0,-88.298,4543.917,6277.35,350.588,4113.413,10390.763,-2710.194,6757.999
70,2018,10991.779,3581.114,-970.697,-5.915,-570.285,0,5135.898,3589.001,2387.915,930.807,0,0,-5382.212,16098.404,-1836.438,4.247,-6222.623,170.479,-18387.278,13933.447,-3017.655,0,735.91,-14619.911,-312.595,0,0,7612.844,-3212.552,4400.291,-766.244,0,712.704,4034.156,10905.479,-386.914,5125.735,16031.214,-4854.092,11244.312
70,2019,11619.333,4975.231,-1496.579,-4.213,-588.346,0,2741.549,652.411,2103.81,1143.135,0,0,-4378.168,16115.752,-2868.08,4.794,-6324.36,62.321,-20173.017,11578.802,-4985.4,0,636.43,-22068.51,-209.48,-113.747,0,9623.749,-4126.415,5497.334,-984.354,0,297.223,4486.976,15354.679,320.612,-1145.17,14209.509,-7853.48,8262.272
70,2020,13671.529,6369.391,-860.744,-56.176,-563.611,0,3666.253,2185.722,1926.515,1443.888,0,0,-4411.366,21185.679,-3245.933,0.57,-2288.664,95.1,-19227.084,14196.929,-4879.308,0,-1214.908,-16563.298,-161.684,-149.137,0,16204.286,-12930.55,3273.736,-1185.537,-342.187,-1196.8,238.391,13946.135,154.697,5015.469,18961.604,-8125.241,13060.438
70,2021,24486.566,7764.44,-1151.499,-14.528,17.892,0,5341.703,4193.568,3042.68,1932.011,0,0,-11734.283,29684.982,-5210.038,0,-7015.583,339.945,-20309.972,8352.423,-4974.386,0,992.767,-27824.844,-22.785,0,0,12136.008,-5332.528,6803.48,-1581.056,-540.884,-2571.834,2086.921,20337.192,-918.141,3028.918,23366.11,-10184.423,19500.559
