enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
71,1994,1226.099,4482.895,465.956,-78.539,0,139.508,-390.393,136.532,0,0,0,0,213.631,6059.157,-3215.99,0,0,0,-8196.238,801.525,0,0,2415.617,-8195.086,0,0,0,1786.437,0,1786.437,-689.189,0,52.04,1149.288,1065.853,-79.212,-1065.853,0,-3215.99,2843.167
71,1995,1486.137,3720.401,-2501.711,-810.169,0,1027.506,149.472,-2134.902,0,0,0,0,1706.337,4777.973,-3182.929,0,0,0,-1230.048,5644.456,0,0,-3432.813,-2201.334,0,0,0,2851.149,0,2851.149,-419.402,0,741.064,3172.811,-5695.808,-53.642,5695.808,0,-3182.929,1595.044
71,1996,2450.847,5242.385,-328.761,-516.697,0,-255.568,1722.862,621.836,0,0,0,0,333.613,8648.681,-4494.888,0,0,0,-940.993,0,0,0,-10330.7,-15766.581,0,0,0,2500.99,0,2500.99,-837.977,0,1290.074,2953.087,4079.388,85.425,-4079.388,0,-4494.888,4153.793
71,1997,3137.725,4954.102,-1457.255,-294.899,0,1745.5,3966.366,3959.712,0,0,0,0,345.915,12397.454,-5402.046,0,0,0,0,1992.005,0,0,-6581.742,-9991.783,0,0,0,2562.244,0,2562.244,-581.43,0,1326.088,3306.902,-5829.524,116.951,5829.524,0,-5402.046,6995.408
71,1998,3383.281,5878.727,853.398,-631.104,0,-621.722,-1760.102,-2159.53,353.34,0,0,0,448.505,7904.323,-11457.418,4188.014,0,0,-2497.92,4527.95,0,0,-7315.801,-12555.175,0,-823.807,0,3592.687,0,3592.687,-676.471,0,0,2092.409,12040.579,14.95,-2543.493,9497.086,-11457.418,-3553.095
71,1999,3734.993,7146.027,1247.988,-237.237,0,557.209,1271.91,2839.87,177.43,0,0,0,99.679,13997.999,-14315.977,5377.712,0,0,5505.302,-6587.822,0,0,-5593.02,-15613.805,0,-949.946,0,4416.801,0,4416.801,-721.68,0,0,2745.175,10141.398,-240.228,889.141,11030.539,-14315.977,-317.978
71,2000,4388.239,7488.036,-791.623,-665.968,0,899.879,-2972.21,-3529.922,805.155,0,0,0,855.416,10006.924,-12535.478,4208.456,0,0,-10982.196,8969.792,0,0,-2304.308,-12643.734,0,-418.526,0,6230.526,0,6230.526,-801.289,0,0,5010.711,12147.883,-596.375,1777.526,13925.409,-12535.478,-2528.554
71,2001,5653.429,6574.045,-935.146,-413.083,0,-66.425,3069.063,1654.409,413.083,0,0,0,-2332.156,11962.81,-10063.457,3335.803,0,0,-7950.297,6969.484,0,0,-3338.917,-11047.384,0,-2220.063,0,1566.188,0,1566.188,-742.097,0,-0.001,-1395.973,12809.735,326.938,-153.609,12656.126,-10063.457,1899.353
71,2002,4235.922,6163.738,471.559,89.241,0,-6.085,-298.146,256.569,-1087.122,0,0,0,2095.144,11664.251,-11785.944,3566.612,0,0,-5192.224,5721.588,0,0,-6090.723,-13780.691,0,-2170.188,0,5806.773,0,5806.773,-750.439,0,98.369,2984.515,11497.937,245.414,1113.489,12611.426,-11785.944,-121.693
71,2003,6209.425,7199.435,-380.696,-314.099,0,967.148,796.181,1068.534,-614.283,0,0,0,3379.55,17242.661,-13315.426,2881.563,0,0,-9212.255,7623.866,0,0,-5727.342,-17749.594,0,-3759.252,0,4953.028,0,4953.028,-916.454,0,33.795,311.117,13704.075,-342.925,-538.741,13165.334,-13315.426,3927.235
