enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
75,1998,554.169,301.229,-153.072,-60.769,-29.953,52.06,19.766,-171.968,-59.522,0,0,0,3.507,627.415,-864.6,1.18,0,0,-315.24,10.546,0,0,-17.324,-1185.438,0,0,0,435.247,0,435.247,0,0,-67.239,368.008,268.21,0,-190.015,78.195,-864.6,-237.185
75,1999,473.632,472.237,57.286,25.306,13.45,-31.084,-3.388,61.57,-72.828,0,0,0,54.197,988.808,-1069.806,0.1,0,0,-74.323,47.024,0,0,-208.222,-1305.227,0,0,0,321.599,0,321.599,0,0,-81.695,239.904,395.623,-20.324,-96.839,298.784,-1069.806,-80.998
75,2000,744.037,796.878,-210.778,-87.451,-40.42,31.178,235.575,-71.896,-78.485,0,0,0,42.146,1432.68,-1627.384,13.064,0,0,-318.079,4.744,0,0,-159.642,-2087.297,652.041,0,0,636.044,0,636.044,0,0,-38.321,1249.764,343.819,-5.475,589.672,933.491,-1627.384,-194.704
75,2001,1965.589,1251.279,-491.472,-121.784,10.627,95.854,55.583,-451.192,-28.866,0,0,0,83.363,2820.173,-3132.624,11.016,0,0,-63.62,1.491,0,0,-426.289,-3610.026,1183.605,0,0,0,-195.747,-195.747,0,0,79.868,1067.726,891.153,3.58,281.453,1172.606,-3132.624,-312.451
75,2002,417.599,1409.255,311.321,71.032,10.361,-263.25,1.919,131.383,-110.742,0,0,0,218.888,2066.383,-1960.742,8.599,0,0,-131.586,4.681,0,0,-36.637,-2115.685,0,0,0,0,-1.442,-1.442,-1.187,0,-13.254,-15.883,1028.328,0,-65.185,963.143,-1960.742,105.641
75,2003,621.707,1871.118,10.995,-39.981,-9.995,107.949,26.987,95.955,155.927,0,0,0,90.957,2835.664,-1590.251,13.993,0,0,-91.957,35.983,0,0,-157.924,-1790.156,0,0,0,1.999,0,1.999,-12.994,0,-171.919,-182.914,1080.491,7.996,870.59,1951.081,-1590.251,1245.413
75,2004,1384.899,2026.998,-279.173,-26.92,17.947,37.888,57.828,-192.43,107.681,0,0,0,73.782,3400.93,0,4.985,0,0,-423.745,14.956,0,0,-1161.561,-1565.365,0,-380.872,0,0,-387.852,-387.852,-12.962,0,-20.938,-802.624,1988.114,-1.994,1030.947,3019.061,0,3400.93
75,2005,2873.968,2174.442,-40.395,-106.407,-0.985,25.616,-81.775,-203.946,-32.513,0,0,0,-43.351,4768.6,-2525.19,56.159,0,0,-2073.947,4.926,0,0,-69.952,-4608.004,0,-219.71,0,0,-362.571,-362.571,-378.335,0,-40.396,-1001.012,3205.996,-52.218,-892.634,2313.362,-2525.19,2243.41
75,2006,2819.647,2283.146,-325.156,-60.452,5.515,62.934,47.729,-269.43,-101.035,0,0,0,-1.135,4731.193,-2406.942,14.484,0,0,-442.206,526.951,0,0,-25.749,-2333.462,35.267,0,0,0,-358.332,-358.332,-1398.743,0,-24.932,-1746.74,2238.915,17.387,668.378,2907.293,-2406.942,2324.251
75,2007,3905.806,2267.112,222.502,-114.258,-5.011,-46.104,116.262,173.391,4.009,0,0,0,-46.104,6304.214,-2421.46,16.036,0,0,-4334.774,3141.082,0,0,-83.187,-3682.303,18.041,0,0,0,-10.023,-10.023,-1899.282,0,-70.158,-1961.422,2967.692,-4.009,656.48,3624.172,-2421.46,3882.754
