enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
84,1994,1481.6,2545.1,-87.8,-48.9,0,340.9,121.4,325.6,-105.8,0,0,0,-12.5,4234,-2517.4,47.3,0,0,-1871,1835.2,0,0,-430.4,-2936.3,33.7,0,0,0,-324.8,-324.8,-1156.5,0,0,-1447.6,149.9,0,-149.9,0,-2517.4,1716.6
84,1995,1401.9,2652.1,-208.3,-80.8,0,53.9,203.1,-32.1,-270.5,0,0,0,1.2,3752.6,-2648.3,102.1,0,0,-10,18.5,0,0,867.9,-1669.8,6.9,-8.7,0,0,-1009.1,-1009.1,-1195.1,0,120,-2086,146.1,0,-3.2,142.9,-2648.3,1104.3
84,1996,2826.1,5234,-591,-70.8,0,290.3,285.2,-86.3,-13.8,0,0,0,-65.6,7894.4,-6304.7,4.9,0,0,-135,136.9,0,0,-266.2,-6564.1,969.4,-11.2,0,0,-277.8,-277.8,-2117.4,0,289.2,-1147.8,280.4,0,182.5,462.9,-6304.7,1589.7
84,1997,3128.9,5278.4,-184,-116.1,0,382.6,-390.6,-308.1,284.2,0,0,0,397.4,8780.8,-6394.7,15.4,0,0,-418.1,132.5,0,0,-909.1,-7574,328.3,-118.3,0,0,-114,-114,-2204.1,0,687.8,-1420.3,462.9,0,-213.5,249.4,-6394.7,2386.1
84,1998,2454.9,5754.1,-139.5,-73.8,0,-93.3,353.1,46.5,236.9,0,0,0,366.3,8858.7,-6637.7,5.5,0,0,-843.6,426.9,0,0,-289.7,-7338.6,776.2,-929.8,0,1047.4,0,1047.4,-2340.4,0,-0.1,-1446.7,249.4,0,73.4,322.8,-6637.7,2221
84,1999,5326,9645,-1446,-111,0,90,-92,-1559,639,0,0,0,1673,15724,-12820,846,0,0,-1028,968,0,0,-922,-12956,1006,-1002,0,2607,0,2607,-4186,0,-1363,-2938,874,0,-170,704,-12820,2904
84,2000,8296,9890,-1865,-146,0,780,-334,-1565,2148,0,0,0,-1752,17017,-13013,1813,0,0,-1051,954,0,0,-6123,-17420,1166,-2037,0,6592,0,6592,-4227,0,238,1732,704,0,1329,2033,-13013,4004
84,2001,10810,12261,-2440,-530,0,1973,499,-498,3434,0,0,0,-10180,15827,-17633,6794,0,0,-1204,983,0,0,-4995,-16055,576,-2294,0,5058,0,5058,-4421,0,33,-1048,2033,0,-1276,757,-17633,-1806
84,2002,584,13523,-2414,-59,0,573,-767,-2667,1084,0,0,0,7002,19526,-17371,415,0,415,-5000,1546,0,0,-1329,-21324,501,-18,0,13870,-7839,6031,-4168,0,-373,1973,757,0,175,932,-18369,1157
84,2003,4591,13282,-952,473,0,-1438,338,-1579,1706,0,0,0,4082,22082,-11984,4638,0,4638,-1304,1931,0,0,-4710,-6791,915,0,0,7820,-19415,-11595,-4200,0,71,-14809,915,0,482,1397,-13052,9030
