enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
85,1994,653.6,194.8,0,0,0,0,0,242.1,4.5,0,0,0,-705.6,389.4,-211.3,0,0,0,-71.9,348.6,0,0,250.2,315.6,0,-68.7,-0.7,4301,-4947.1,-646.1,-212.8,0,289.4,-638.9,-66.1,0,66.1,0,-211.3,178.1
85,1995,800.4,232.2,0,0,0,0,0,-1012,312.7,0,0,0,2574.5,2907.8,-266,0,0,0,-9144.6,7703.1,0,0,-2977.2,-4684.7,0,-432.3,162.3,5245.5,-1270.1,3975.4,-268,0,-1244.2,2193.2,-416.3,0,416.3,0,-266,2641.8
85,1996,956,311.8,0,0,0,0,0,-1352.3,-70.4,0,0,0,-3387.1,-3542,-208,0,0,0,-6862,10908.6,0,0,-3306.8,531.8,0,-168.4,19.6,7329.1,-4398.8,2930.3,-337.8,0,1488.7,3932.4,-922.2,0,922.2,0,-208,-3750
85,1997,2228,1458,0,0,0,0,0,-38,467,0,0,0,30,4145,-288.7,0,0,0,-10100,15143,0,0,5963.7,10718,0,-2866,197,6403,-8263,-1860,-900,0,-536,-5965,-8898,0,8898,0,-288.7,3856.3
85,1998,2499,1734,0,0,0,0,0,139,173,0,0,0,-2066,2479,-67,0,0,0,-13140,17211,0,0,120,4124,0,-2258,0,6841,-5394,1447,-968,0,-8336,-10115,16593,0,-3512,13081,-67,2412
85,1999,1950,2168,0,0,0,0,0,-14,-129,0,0,0,-8172,-4197,-286,0,0,0,-25118,21427,0,0,-4020,-7997,0,-83,0,10384,-5642,4742,-1017,0,8202,11844,13081,0,-350,12731,-286,-4483
85,2000,4012,1971,0,0,0,0,0,-149,1611,0,0,0,8830,16275,-95,0,0,0,-29917,23932,0,0,-17843,-23923,0,-1804,0,25237,-8981,16256,-1436,0,-4902,8114,13652,0,466,14118,-95,16180
85,2001,4026,1790,0,0,0,0,0,-2167,873,0,0,0,2848,7370,0,0,0,0,-19770,29995,0,0,-32794,-22569,0,-2816,0,15544,-13360,2184,-1586,0,20277,18059,14118,0,2860,16978,0,7370
85,2002,3423,3864,0,0,0,0,0,2039,-596,0,0,0,-18842,-10112,0,0,0,0,-29985,26316,0,0,-15078,-18747,0,-1476,0,24951,-10625,14326,-1724,0,17723,28849,16978,0,-10,16968,0,-10112
85,2003,5434,4297,0,0,0,0,0,-6304,305,0,0,0,-19190,-15458,0,0,0,0,-7736,21547,0,0,-25286,-11475,0,-1455,0,22161,-16126,6035,-1877,0,25082,27785,16968,0,852,17820,0,-15458
85,2004,6202,4305,0,0,0,0,0,-5132,1698,0,0,0,24122,31195,0,0,0,0,-25131,20992,0,0,-58840,-62979,0,-611,0,30190,-26832,3358,-2530,0,29294,29511,17820,0,-2273,15547,0,31195
85,2005,7014,3449,-196,0,0,47,-980,-1129,432,265,0,0,-3546,6485,0,0,0,0,-16583,15145,0,0,-37996,-39434,1271,-2188,0,29394,-22336,7058,-3150,0,27314,30305,15547,0,-2644,12903,0,6485
85,2006,7671,4161,-796,0,0,311,-409,-894,813,307,0,0,-24043,-11985,0,0,0,0,-28634,26031,0,0,-24814,-27417,1367,-3159,0,28351,-18576,9775,-3375,0,37288,41896,12903,0,2494,15397,0,-11985
85,2007,8420,3221,-291,0,0,455,5755,5919,0,489,2453,0,7474,27976,0,0,0,0,-62462,60625,0,0,-14745,-16582,1764,-1965,0,20255,-23765,-3510,-3641,0,-4411,-11763,15397,0,-369,15028,0,27976
85,2008,8265,1532,-407,0,0,-87,-3419,-3913,0,547,2611,0,244,9286,0,0,0,0,-75129,56495,0,0,-58713,-77347,1876,-7418,0,69187,-18250,50937,-3955,0,26526,67966,14852,0,-95,14757,0,9286
85,2009,2698,1669,-2676,0,0,1634,-4687,-5729,0,628,3789,0,-7843,-4788,0,0,0,0,-105341,85123,0,0,2057,-18161,14171,-1623,22674,35701,-44747,-9046,-4312,0,10091,31955,14757,0,9006,23763,0,-4788
85,2010,12667,2841,-293,0,0,-1028,23436,22115,0,351,-20,0,-9341,28613,0,0,0,0,-95285,91849,0,0,75221,71785,21976,-220,-25000,8396,-135368,-126972,-4303,0,37438,-97081,23763,0,3317,27080,0,28613
85,2011,12663,1924,1051,0,0,-268,16643,17426,0,1232,-1025,0,-13448,18772,0,0,0,0,-53466,56587,0,0,-6796,-3675,1375,-91,0,14797,-63317,-48520,-1782,0,22885,-26133,27080,0,-11036,16044,0,18772
85,2012,16211,2208,-401,0,0,2638,27193,29430,0,1488,-295,0,-35377,13665,0,0,-353,0,-123891,78104,0,0,11096,-35044,1296,-2416,2501,11687,-56786,-45099,-3381,0,71874,24775,16044,0,3396,19440,0,13665
85,2013,19368,2807,293,0,0,-12037,106207,94463,0,1698,-2307,0,-57489,58540,0,0,-4322,0,-67375,67201,0,0,-135394,-139890,2091,-3918,1377,35394,-28093,7301,-5457,0,82376,83770,19440,0,2420,21860,0,58540
85,2014,22224,3293,-13,0,0,-7177,53308,46118,0,1920,-3229,0,-12685,57641,0,0,0,0,-98529,56181,0,0,-111144,-153492,2224,-5356,3145,53227,-28813,24414,-6970,0,76453,93910,21860,0,-1941,19919,0,57641
