enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
87,1994,5280,4884,965,156,0,-93,-4,1024,64,0,0,0,251,11503,-6956,1095,0,0,-1323,1246,0,0,-163,-6101,131,-323,0,0,-709,-709,-3879,0,-500,-5280,-85,-37,85,0,-6956,4547
87,1995,5100,5015,-923,180,0,565,-111,-289,260,0,0,0,-235,9851,-6643,1359,0,0,-1650,1512,0,0,0,-5422,66,-220,0,0,-26,-26,-4079,0,25,-4234,-174,-21,174,0,-6643,3208
87,1996,6470,5386,-702,37,0,546,109,-10,1043,0,0,0,958,13847,-7128,666,0,0,-910,1017,0,0,0,-6355,328,-628,0,0,-2705,-2705,-4047,0,-84,-7136,-351,-5,351,0,-7128,6719
87,1997,7510,5329,-1702,246,0,495,-81,-1042,835,0,0,0,530,13162,-7209,719,0,0,-969,944,0,0,0,-6515,347,-801,0,0,-254,-254,-4193,0,-338,-5239,-1443,35,1443,0,-7209,5953
87,1998,11732,8228,2078,292,0,-2884,-30,-544,834,0,0,0,1192,21442,-11652,2193,0,0,-1778,402,0,0,0,-10835,424,-3122,0,0,-908,-908,-6177,0,204,-9579,4144,-127,901,5045,-11652,9790
87,1999,8144,8355,2170,438,0,-3010,8,-394,318,0,0,0,13,16436,-12730,1522,0,0,-1530,756,0,0,0,-11982,507,-3547,0,2218,0,2218,-6230,0,-84,-7136,5045,23,-2659,2386,-12730,3706
87,2000,7910,8304,-3478,50,0,3046,177,-205,-1439,0,0,0,443,15013,-10849,854,0,0,-1537,547,0,0,0,-10985,348,-670,0,1834,0,1834,-6091,0,-200,-4779,2386,53,-698,1688,-10849,4164
87,2001,18132,8001,-4832,-297,0,5411,-204,78,10,0,0,0,-3284,22937,-8446,5770,0,0,-1689,82,0,0,985,-3298,493,-2352,0,0,-5705,-5705,-6374,0,-227,-14165,1688,-82,5392,7080,-8446,14491
87,2002,15889,7944,3062,154,118,-5103,0,-1769,650,0,0,0,175,22889,-9989,1078,0,0,0,0,0,0,700,-8211,301,-5721,0,0,-466,-466,-6448,0,-2707,-15041,7080,-170,-533,6547,-9989,12900
87,2003,11460,8310,-305,353,32,365,0,445,297,0,0,0,756,21268,-11437,2793,0,0,0,0,0,0,-1114,-9758,299,-4798,0,0,-307,-307,-6386,0,-161,-11353,6547,525,682,7229,-11437,9831
87,2004,21510,9047,-1286,-100,42,1130,0,-214,1827,0,0,0,-3672,28498,-12859,2290,0,0,0,0,0,0,-273,-10842,434,-5881,0,0,-2124,-2124,-6945,0,-247,-14763,7229,504,3397,10626,-12859,15639
87,2005,25330,9767,-472,-223,11,6333,0,5649,-1134,0,0,0,939,40551,-11986,2754,0,0,0,0,0,0,-5678,-14910,960,-9951,0,0,-1951,-1951,-7111,0,-215,-18268,10626,532,7905,18531,-11986,28565
87,2006,36130,10253,-3700,-434,-7,7806,0,3665,-429,0,0,0,-1481,48138,-13839,6036,0,0,0,0,0,0,-2467,-10270,941,-18221,0,0,-1502,-1502,-7478,0,-681,-26941,18531,-787,10140,28671,-13839,34299
87,2007,39500,11416,-181,-1057,-385,1160,0,-463,1717,0,0,0,-2884,49286,-15462,0,0,0,-2604,0,0,0,3836,-14230,1173,-29558,0,73,0,73,-7867,0,-31,-36210,28671,727,-427,28244,-15462,33824
87,2008,41615,12250,-5441,72,280,6228,0,1139,124,0,0,0,-3126,52002,-15387,0,0,4204,-3684,144,0,0,4995,-9728,1079,-31822,0,1803,-1205,598,-7621,0,-579,-38345,28244,1808,5737,33981,-15387,36615
87,2009,46867,12379,8641,-1285,0,-5415,-509,1432,1399,0,0,0,-2352,59725,-19318,0,0,5985,-4608,1868,0,0,574,-15499,753,-35734,0,1289,-1816,-527,-8058,0,-461,-44027,33981,-2743,-2544,31437,-19318,40407
87,2010,19658,11917,-3170,459,0,1420,132,-1159,0,0,0,0,-1978,28438,-22491,0,0,1545,-2768,571,0,0,724,-22419,752,-19703,0,1561,-1714,-153,-8023,0,-156,-27283,31437,520,-20744,10693,-22491,5947
87,2011,31398,14760,-5863,-1148,0,9943,913,3845,-1135,0,0,0,-455,48413,-26871,0,0,3261,-1254,155,0,0,505,-24204,1043,-13093,0,2450,-8660,-6210,-8498,0,-166,-26924,10693,-153,-2868,7825,-26871,21542
87,2012,42206,15583,-7906,-2208,0,8880,222,-1012,142,0,0,0,-1574,55345,-30975,0,0,11133,-5340,1674,0,0,1343,-22165,924,-22055,0,3326,-1369,1957,-9020,0,-62,-28256,7825,-85,4839,12664,-30975,24370
87,2013,47681,15888,-1082,-1873,0,3624,-42,627,3142,0,0,0,-11168,56170,-34271,0,0,7655,-598,0,0,0,1613,-25601,193,-21068,0,1953,-4861,-2908,-10092,0,7,-33868,12664,217,-3082,9582,-34271,21899
87,2014,33448,17182,-305,-1812,0,-2498,-105,-4720,754,0,0,0,-1750,44914,-33669,0,0,2707,-4435,0,0,0,1196,-34201,50,-15998,0,12373,-769,11604,-10875,0,-257,-15476,9582,-175,-4938,4644,-33669,11245
87,2015,33615,17297,3118,-1343,0,-6639,-68,-4932,1540,0,0,0,-2404,45116,-32952,0,0,4035,-1631,0,0,0,3573,-26975,30,-13183,0,7780,-814,6966,-11568,0,-133,-17888,4644,-281,-28,4616,-32952,12164
87,2016,16551,18048,4692,-379,0,-7471,45,-3113,-1832,0,0,0,690,30344,-26490,0,0,2389,-607,0,0,0,884,-23824,5,-4039,0,9787,-532,9255,-12090,0,-168,-7037,4616,-394,-911,3705,-26490,3854
87,2017,8375,22308,-2090,-388,0,915,171,-1392,-4386,0,0,0,-2823,22082,-16163,0,0,4275,-1417,0,0,0,902,-12403,6,-977,0,12066,-7773,4293,-12453,0,-162,-9293,3705,-434,-48,3657,-16163,5919
87,2018,19848,19893,-3954,-1682,0,5104,-117,-649,-8577,0,0,0,-449,30066,-15402,0,0,3103,-5507,0,0,0,2076,-15730,0,-747,0,3976,-5024,-1048,-13001,0,-334,-15130,3657,314,-480,3177,-15402,14664
87,2019,21421,18745,-545,-3107,0,2321,-25,-1356,-60,0,0,0,-2736,36014,-19574,0,0,4123,-1981,0,0,0,986,-16446,0,-626,0,46,-4971,-4925,-13798,0,-97,-19446,3177,-257,-135,3042,-19574,16440
87,2020,14774,18998,-2640,72,0,3725,-234,923,-944,0,0,0,-4035,29716,-24361,0,0,3692,-3905,0,0,0,1490,-23084,0,-594,0,27030,-18368,8662,-14652,0,-34,-6618,3042,33,47,3089,-24361,5355
87,2021,-23251,46009,5384,-315,0,-7142,420,-1653,-8856,0,0,0,2419,14668,-17282,0,0,999,-4857,0,0,0,2681,-18459,0,-405,0,58582,-38441,20141,-14865,0,414,5285,3089,-219,1275,4364,-17282,-2614
87,2022,23598,20607,-12098,-489,0,16820,-71,4162,303,0,0,0,-541,48129,-12076,0,0,0,-2817,0,0,0,4658,-10235,0,-155,0,12733,-32387,-19654,-14924,0,-690,-35423,4364,-33,2438,6802,-12076,36053
87,2023,57577,24040,-11019,-6947,0,18460,-688,-194,3758,0,0,0,-8384,76797,-18407,0,0,0,-3090,0,0,0,6755,-14742,0,-15155,0,860,-8080,-7220,-14939,0,-1800,-39114,6802,-78,22863,29665,-18407,58390
