,enterprise_id,year_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
0,1,94,1994,310.0,168.0,-199.0,418.0,0.0,-111.0,140.0,248.0,0.0,0.0,0.0,0.0,11.0,737.0,-160.0,0.0,0.0,0.0,-312.0,474.0,0.0,0.0,-4.0,-2.0,82.0,0.0,0.0,297.0,-531.0,-234.0,-56.0,0.0,0.0,-208.0,676.0,0.0,527.0,1203.0,-160.0,577.0
1,1,95,1995,424.0,127.0,-350.0,-687.0,0.0,236.0,4.0,-797.0,0.0,0.0,0.0,0.0,6.0,-240.0,-159.0,0.0,0.0,0.0,-1672.0,1531.0,0.0,0.0,-102.0,-402.0,86.0,0.0,0.0,169.0,-2.0,167.0,-58.0,0.0,0.0,195.0,1203.0,0.0,-447.0,756.0,-159.0,-399.0
2,1,96,1996,-816.0,116.0,435.0,1113.0,0.0,-249.0,230.0,1529.0,-437.0,0.0,0.0,0.0,16.0,408.0,-67.0,47.0,0.0,0.0,-437.0,440.0,0.0,0.0,9.0,-8.0,39.0,0.0,0.0,646.0,-275.0,371.0,-14.0,0.0,0.0,396.0,756.0,0.0,796.0,1552.0,-67.0,341.0
3,1,97,1997,-1045.0,118.0,469.0,225.0,0.0,2.0,23.0,719.0,-50.0,0.0,0.0,0.0,412.0,154.0,-53.0,47.0,-384.0,0.0,-999.0,963.0,-384.0,0.0,311.0,-499.0,34.0,0.0,150.0,0.0,-161.0,-161.0,0.0,0.0,0.0,23.0,1552.0,0.0,-322.0,1230.0,-437.0,-283.0
4,1,98,1998,309.0,111.0,72.0,359.0,0.0,-73.0,29.0,387.0,1.0,0.0,0.0,0.0,-33.0,775.0,-46.0,89.0,0.0,24.0,-2313.0,1723.0,-10.0,0.0,-10.0,-543.0,41.0,0.0,0.0,3.0,-25.0,-22.0,0.0,0.0,0.0,19.0,1230.0,0.0,251.0,1481.0,-46.0,729.0
5,1,99,1999,601.0,85.0,274.0,58.0,0.0,95.0,-26.0,401.0,-35.0,0.0,0.0,0.0,-230.0,822.0,-71.0,23.0,0.0,245.0,-4348.0,3155.0,0.0,0.0,8.0,-988.0,86.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1481.0,0.0,-155.0,1326.0,-71.0,751.0
6,1,0,2000,786.0,84.0,-272.0,-13.0,0.0,318.0,159.0,192.0,163.0,0.0,0.0,0.0,-357.0,868.0,-142.0,11.0,0.0,372.0,-4499.0,3331.0,0.0,0.0,-45.0,-972.0,85.0,-116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,1326.0,0.0,-135.0,1191.0,-142.0,726.0
7,1,1,2001,-37.0,100.0,487.0,22.0,0.0,-356.0,58.0,211.0,-36.0,2.0,0.0,0.0,-55.0,185.0,-232.0,0.0,-19.0,340.0,-4268.0,5429.0,0.0,0.0,-358.0,892.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1191.0,0.0,1119.0,2310.0,-232.0,-47.0
8,1,2,2002,65.0,114.0,-99.0,-34.0,0.0,110.0,-89.0,-112.0,-34.0,5.0,0.0,0.0,51.0,89.0,-174.0,0.0,-52.0,25.0,-4144.0,4125.0,0.0,0.0,-32.0,-252.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,2310.0,0.0,-58.0,2252.0,-174.0,-85.0
9,1,3,2003,68.0,113.0,-201.0,-11.0,0.0,243.0,88.0,119.0,-4.0,16.0,0.0,0.0,-23.0,289.0,-164.0,0.0,0.0,0.0,-2648.0,3607.0,0.0,0.0,33.0,828.0,53.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2252.0,0.0,1144.0,3396.0,-164.0,125.0
10,1,4,2004,266.0,150.0,-8.0,-45.0,0.0,297.0,124.0,368.0,19.0,46.0,0.0,0.0,85.0,934.0,-176.0,0.0,0.0,0.0,-3270.0,1947.0,0.0,0.0,11.0,-1488.0,427.0,0.0,0.0,0.0,-300.0,-300.0,0.0,0.0,0.0,127.0,3396.0,0.0,-427.0,2969.0,-176.0,758.0
11,1,5,2005,1328.0,179.0,-121.0,-64.0,0.0,328.0,349.0,492.0,50.0,49.0,0.0,0.0,437.0,2535.0,-260.0,0.0,0.0,0.0,-11470.0,9195.0,0.0,0.0,-21.0,-2556.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,2969.0,0.0,522.0,3491.0,-260.0,2275.0
12,1,6,2006,1989.0,225.0,-357.0,-105.0,0.0,1611.0,-1374.0,-225.0,53.0,163.0,0.0,0.0,15.0,2220.0,-657.0,0.0,0.0,40.0,-7280.0,8312.0,-28.0,0.0,-30.0,357.0,318.0,-355.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,324.0,3491.0,0.0,2901.0,6392.0,-685.0,1535.0
13,1,7,2007,3496.0,317.0,-385.0,-76.0,0.0,1494.0,292.0,1325.0,78.0,242.0,0.0,0.0,12.0,5470.0,-735.0,0.0,0.0,0.0,-11736.0,9424.0,-251.0,0.0,49.0,-3249.0,365.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,739.0,6392.0,0.0,2960.0,9352.0,-986.0,4484.0
14,1,8,2008,6119.0,496.0,-675.0,-163.0,0.0,596.0,2287.0,2045.0,398.0,516.0,0.0,0.0,22.0,9596.0,-1091.0,0.0,-220.0,0.0,-23003.0,16243.0,-108.0,0.0,-10.0,-8189.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,1116.0,9352.0,0.0,2523.0,11875.0,-1199.0,8397.0
15,1,9,2009,8235.0,734.0,-353.0,54.0,0.0,92.0,-379.0,-586.0,1040.0,710.0,0.0,0.0,26.0,10159.0,-1144.0,0.0,0.0,0.0,-46825.0,30678.0,-69.0,0.0,-74.0,-17434.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,663.0,11875.0,0.0,-6612.0,5263.0,-1213.0,8946.0
