enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
9,1997,0.004,-0.002,-0.002,-0.002,-0.002,0,-0.001,-0.001,0.001,0,0.001,0.001,0,0
9,1998,0.028,-0.005,-0.006,-0.006,-0.006,0,-0.001,0,0.022,0,0.005,0.005,0.014,0.251
9,1999,0.103,-0.007,-0.016,-0.021,-0.013,0,0,0.005,0.059,0,0.022,-0.006,0.055,2.677
9,2000,0.251,-0.047,-0.085,-0.11,-0.076,0,-0.058,-0.014,0.102,0,0.039,-0.067,0.214,3.806
9,2001,0.394,-0.081,-0.139,-0.201,-0.126,-0.115,-0.038,-0.019,0.154,0,-0.135,-0.171,0.3,0.778
9,2002,0.429,-0.017,-0.053,-0.078,-0.028,-0.028,-0.023,-0.016,0.134,0,-0.193,-0.204,0.291,0.541
9,2003,0.52,0.01,-0.001,-0.02,-0.007,0.003,0.018,0.023,0.168,0,-0.174,-0.184,0.295,0.945
9,2004,0.628,0.029,0.02,0.004,0.017,0.019,0.041,0.047,0.173,0,-0.128,-0.137,0.242,2.631
9,2005,0.814,0.063,0.054,0.07,0.072,0.064,0.056,0.067,0.217,0,-0.028,-0.045,0.226,2.215
9,2006,0.996,0.075,0.061,0.042,0.039,0.089,0.062,0.086,0.24,0,0.03,0.01,0.178,2.358
9,2007,1.263,0.078,0.054,0.023,0.022,0.092,0.057,0.083,0.244,0,0.052,0.029,0.153,1.973
9,2008,1.749,0.116,0.087,0.056,0.056,0.179,0.139,0.166,0.374,0,0.144,0.117,0.164,4.632
9,2009,2.218,0.146,0.113,0.075,0.071,0.205,0.158,0.196,0.435,0,0.312,0.261,0.048,2.564
9,2010,2.773,0.178,0.135,0.102,0.099,0.368,0.33,0.373,0.717,0,0.592,0.389,0.028,6.726
9,2011,3.75,0.231,0.168,0.127,0.127,0.415,0.276,0.383,0.971,0,0.761,0.549,0.071,9
9,2012,5.214,0.226,0.108,0.069,0.069,0.392,0.227,0.423,1.052,0,0.852,0.566,0.155,8.655
9,2013,6.743,0.308,0.07,-0.005,-0.005,0.403,0.044,0.461,1.261,0,0.902,0.541,0.422,12.544
9,2014,8.006,0.419,0.07,0.03,0.03,0.494,0.218,0.589,1.356,0,1.062,0.702,0.564,19.94
9,2015,9.631,0.524,0.011,-0.026,-0.026,0.665,0.211,0.74,1.873,0,1.155,0.716,1.343,15.518
9,2016,11.217,0.871,0.212,0.063,0.063,0.631,0.697,1.262,2.103,0,1.421,0.916,1.505,33.795
9,2017,14.048,1.29,0.452,0.245,0.245,1.03,0.971,1.777,2.723,0,2.021,1.535,1.595,37.494
9,2018,18.039,1.636,0.472,0.308,0.308,0.887,0.65,1.863,3.201,0,2.863,1.135,3.918,58.474
9,2019,23.289,2.802,1.268,1.007,1.007,1.762,1.73,3.072,4.201,0,4.435,2.535,3.375,75.099
9,2020,27.83,3.707,1.545,1.151,1.124,2.25,2.148,3.821,5.524,0,6.231,4.343,6.346,92.392
9,2021,37.849,5.007,2.532,2.092,1.882,4.614,2.542,6.477,8.389,0,9.285,7.297,8.389,162.846
9,2022,45.632,7.225,3.881,3.24,1.996,2.64,-1.43,4.5,9.435,0,13.58,12.07,11.434,166.717
9,2023,50.445,3.764,-0.35,-0.27,0.991,-1.765,-1.658,4.588,6.837,0,14.259,12.278,13.681,84
