enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
22,2001,0.102,-0.631,-0.631,-0.595,-0.595,0,0,0,0,0,-1.675,-1.675,0,0
22,2002,0.266,-0.351,-0.351,-0.34,-0.34,0,0,0,0,0,-0.61,-0.61,0,0
22,2003,0.483,-0.047,-0.1,-0.093,-0.093,0,0.03,0.049,0.152,0,-0.53,-0.53,0.006,0
22,2004,0.252,0.039,0.01,0.01,0.002,0,0.049,0.057,0.088,0,-0.114,-0.114,0,0
22,2005,0.398,0.057,0.015,0.018,0.017,0,0.116,0.126,0.283,0,0.346,0.346,0.007,3.43
22,2006,0.652,0.086,0.042,0.06,0.059,0,0.153,0.202,0.47,0,0.444,0.444,0.002,10.26
22,2007,1.034,0.067,-0.007,0,-0.002,0,0.185,0.231,0.551,0,0.615,0.575,0,10.96
22,2008,1.529,0.177,0.041,0.038,0.036,0.316,0.328,0.417,0.945,0,0.947,0.878,0,12.98
22,2009,2.15,0.243,0.171,0.088,0.059,0.227,0.336,0.458,1.419,0,1.367,1.214,0.015,6.65
22,2010,2.548,0.386,0.282,0.158,0.146,0.245,0.432,0.529,2.441,0,2.051,1.874,0.911,15.89
22,2011,3.033,0.375,0.236,0.118,0.305,0.294,0.165,0.84,0.935,0,2.401,1.345,0.937,32.29
22,2012,4.188,0.261,-0.03,-0.02,0.34,0.229,0.776,1.093,1.419,0,3.04,1.152,1.037,29.2
22,2013,5.4,0.212,-0.171,-0.48,0.41,0.084,0.986,1.304,1.482,0,4.049,0.976,1.106,43.03
22,2014,6.812,0.148,-0.47,-0.39,0.35,-0.064,0.964,1.465,1.375,0,5.024,-2.206,4.112,60.53
22,2015,8.609,0.494,-0.224,-0.42,0.52,0.177,1.428,1.893,1.53,0,6.11,-0.902,3.378,56.45
22,2016,10.077,1.001,0.207,-0.07,0.75,0.79,1.454,2.527,4.062,0,7.457,0.745,3.053,68.06
22,2017,12.053,1.286,0.383,0.46,0.429,0.797,2.426,3.089,3.122,0,10.601,-1.495,3.946,79.1
22,2018,14.34,1.684,0.618,0.49,0.468,1.071,2.999,3.725,6.194,0,14.217,2.862,2.357,113.91
22,2019,17.138,1.957,0.69,1.43,0.919,1.916,3.617,4.385,5.639,0,20.266,0.177,4.121,151.97
22,2020,20.115,3.056,0.545,0.15,-0.074,1.621,4.339,5.095,8.899,0,37.945,4.51,6.571,182.31
22,2021,22.852,3.549,0.489,4.38,2.677,3.508,4.399,5.162,13.021,0,45.15,12.036,6.835,225.56
22,2022,27.199,3.949,0.563,1.48,0.311,2.65,5.424,6.16,10.654,0,58.778,1.23,14.141,232.63
22,2023,31.446,5.661,1.864,0.21,1.055,1.495,6.332,7.132,12.75,0,59.489,2.718,14.361,167.97
