enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
23,1994,0.013,0.005,0.005,0.003,0.003,0.003,0.003,0.003,0.012,0,0.185,0.185,0,1.17
23,1995,0.787,0.272,0.246,0.16,0.16,0.067,0.103,0.156,0.115,0,0.319,0.319,0,3.1
23,1996,0.687,0.257,0.235,0.153,0.153,0.154,0.131,0.178,0.178,0,0.483,0.483,0,5.75
23,1997,1.031,0.295,0.26,0.17,0.155,0.14,0.178,0.231,0.212,0,0.711,0.711,0,8.84
23,1998,1.275,0.36,0.311,0.2,0.2,0.269,0.366,0.43,0.278,0,1.144,1.116,0,15.96
23,1999,1.724,0.476,0.407,0.29,0.29,0.467,0.514,0.612,0.319,0,1.791,1.721,0,31.06
23,2000,2.545,0.551,0.435,0.36,0.36,0.532,0.62,0.826,0.774,0,3.712,3.14,0,65.44
23,2001,3.098,0.195,-0.116,-0.14,-0.042,0.249,0.573,0.888,0.943,0,3.703,3.067,0,19.22
23,2002,2.54,0.655,0.392,0.25,0.36,0.51,0.53,0.885,1.733,0,3.924,3.327,0,13.19
23,2003,2.614,0.878,0.676,0.5,0.547,0.445,0.637,0.736,1.212,0,4.005,3.348,0,19.49
23,2004,3.124,1.061,0.892,0.62,0.688,0.667,0.9,0.987,1.287,0,3.835,3.163,0,20.92
23,2005,3.751,1.276,1.122,0.87,0.86,0.955,1.04,1.145,2.536,0,3.66,2.737,0,19.15
23,2006,4.541,1.447,1.241,0.89,0.876,1.002,1.136,1.259,2.94,0,3.947,2.067,1.045,17.88
23,2007,5.574,1.796,1.57,1.17,1.144,1.509,1.413,1.613,3.65,0,5.161,2.757,1.05,28.91
23,2008,6.416,1.999,1.716,1.31,1.297,1.767,1.756,1.962,4.452,0,5.829,3.372,1.17,21.99
23,2009,6.166,1.674,1.373,1.05,1.061,1.308,1.518,1.69,6.05,0,6.681,4.152,1.78,22.01
23,2010,6.847,2.064,1.716,1.33,1.33,1.394,1.567,1.74,7.049,0,7.828,4.3,2.703,23.07
23,2011,7.769,1.966,1.52,1.17,1.257,1.394,1.601,1.812,8.203,0.12,8.689,5.127,3.095,15.97
23,2012,8.524,2.399,1.99,1.49,1.53,1.627,1.918,2.126,9.195,0.28,9.68,6.102,3.082,15.95
23,2013,9.035,2.652,2.195,1.86,1.879,2.007,2.181,2.397,9.391,0.62,10.97,6.272,3.008,25.59
23,2014,8.927,2.408,1.946,1.49,1.517,1.979,2.094,2.335,10.197,0.72,11.093,5.705,4.082,25.23
23,2015,9.553,2.761,2.287,1.75,1.788,1.998,2.201,2.439,11.881,0.8,11.74,6.461,4.986,28.42
23,2016,9.679,3.095,2.672,2.11,2.16,2.257,2.442,2.667,13.075,0.94,12.644,6.852,5.696,30.53
23,2017,9.508,3.057,2.604,1.9,2.038,2.239,2.557,2.748,14.146,1.1,13.273,6.789,6.766,31.45
23,2018,10.107,3.314,2.865,0.02,0.029,2.375,2.629,2.8,10.088,1.24,9.364,1.939,5.542,42.29
23,2019,11.656,3.891,3.465,2.61,2.669,3.1,3.351,3.555,7.862,1.36,7.899,-0.508,5.804,55.4
23,2020,11.589,3.846,3.421,2.64,2.706,3.07,3.445,3.626,6.943,1.42,8.95,0.599,3.442,47.1
23,2021,11.761,3.673,3.233,2.5,2.606,3.134,3.485,3.648,5.814,1.46,9.788,-0.121,2.733,55.37
23,2022,12.299,4.006,3.539,2.82,2.732,2.657,3.041,3.155,4.688,1.5,9.677,-0.268,2.315,45.37
23,2023,13.885,4.256,3.836,3.07,3.212,4.062,4.638,4.844,6.43,1.54,10.908,0.984,2.064,52.04
