enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
25,1994,2.412,0.303,0.21,0.04,0.029,0.088,0.216,0.307,0.015,0.008,0.799,0.057,0.294,1.601
25,1995,1.381,0.204,0.156,0.088,0.088,0.176,0.096,0.155,0.004,0.008,1.021,0.072,0.397,2.194
25,1996,3.12,0.501,0.378,0.228,0.223,0.204,0.241,0.366,0.017,0.01,1.253,-0.047,0.606,2.666
25,1997,4.1,0.642,0.491,0.43,0.283,0.366,-0.104,0.466,0.056,0.011,1.699,0.016,0.502,3.916
25,1998,4.444,0.709,0.542,0.32,0.32,0.325,0.168,0.582,0.151,0.013,2.435,0.59,0.425,5.301
25,1999,5.291,0.866,0.667,0.333,0.375,0.214,-0.488,0.612,0.088,0.014,2.592,0.187,0.932,9.122
25,2000,5.471,1,0.784,0.448,0.46,0.295,0.454,0.717,0.457,0.015,2.999,0.731,0.658,8.104
25,2001,6.491,1.206,0.949,0.558,0.558,0.442,0.728,0.88,0.311,0.018,3.419,0.138,1.4,11.484
25,2002,6.227,1.235,0.941,0.503,0.574,0.637,0.869,1.002,1.233,0.02,3.888,-0.112,2.079,10.129
25,2003,7.22,1.3,1.096,0.47,0.691,0.584,1.017,1.121,1.328,0.023,4.933,0.003,2.147,11.035
25,2004,8.191,1.515,1.309,0.843,0.819,1.204,1.209,1.333,2.001,0.025,5.932,0.496,2.113,15.41
25,2005,10.512,1.924,1.686,1.15,1.141,1.196,1.4,1.576,0.986,0.029,7.477,-0.179,2.186,19.284
25,2006,12,2.169,1.902,1.38,1.365,1.572,1.653,1.835,0.516,0.035,8.313,-0.374,1.705,18.737
25,2007,14.552,2.638,2.306,1.74,1.7,2.111,2.169,2.379,0.515,0.04,10.767,-2.615,3.944,24.333
25,2008,16.733,3.058,2.651,2.095,1.86,2.545,2.252,2.498,0.376,0.055,14.272,-4.273,5.853,29.472
25,2009,18.903,3.303,2.798,1.975,1.975,2.498,2.479,2.768,0.616,0.06,15.388,-3.014,4.109,19.016
25,2010,16.657,2.813,2.305,1.73,1.73,2.475,2.401,2.682,2.668,0.065,18.018,-1.306,4.544,25.26
25,2011,18.367,4.003,3.434,2.64,2.53,3.183,2.771,3.05,2.488,0.08,20.889,-0.567,4.304,31.689
25,2012,22.947,4.598,3.693,3.11,2.807,3.839,3.268,3.745,0.781,0.09,24.581,-4.958,7.714,31.602
25,2013,25.607,5.621,4.443,3.36,3.23,4.647,4.146,4.789,2.442,0.1,27.66,-4.057,7.772,37.554
25,2014,25.715,6.2,5.004,3.8,3.19,4.969,4.286,5.043,4.462,0.1,32.066,0.142,5.012,51.864
25,2015,17.968,4.048,3.046,3.63,2.29,4.648,4.599,5.248,4.267,0.4,33.193,0.916,4.932,57.581
25,2016,20.372,4.319,3.076,4.74,2.47,5.7,4.642,5.366,1.151,0.54,34.494,-11.459,18.74,62.398
25,2017,24.125,5.607,3.995,3.65,3.291,4.23,4.19,5.033,1.392,0.57,33.231,-18.264,17.725,68.997
25,2018,21.978,5.382,3.8,3.53,3.08,4.076,4.117,4.925,0.905,0.56,37.838,-14.998,15.105,82.275
25,2019,24.006,6.022,4.364,3.74,3.39,4.627,4.841,5.663,1.123,0.64,40.221,-6.627,13.885,91.405
25,2020,24.688,6.343,4.704,4.05,3.267,4.927,4.571,5.447,28.63,0.68,41.224,-5.452,32.388,136.043
25,2021,31.006,9.107,6.637,4.89,4.386,7.592,7.537,8.638,8.488,0.72,51.333,-28.416,31.193,196.903
25,2022,39.974,13.578,10.635,8.61,8.14,9.911,9.587,11.344,3.617,0.84,58.6,-30.948,32.548,291.631
25,2023,42.696,14.55,11.536,9.66,9.979,9.733,9.995,11.557,8.231,1,66.475,-15.98,28.476,235.266
