enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
37,1994,0.985,-0.704,-0.899,-0.895,-0.903,0,-0.044,0.047,0.085,0,0.804,0.377,0,3
37,1995,1.612,0.205,-0.056,-0.185,-0.167,0,0.178,0.312,0.266,0,1.067,0.785,0.017,7.19
37,1996,1.988,0.231,-0.022,-0.077,-0.07,0,-0.029,0.227,0.162,0,1.088,0.973,0.02,5.83
37,1997,2.148,0.248,0.037,0.245,-0.009,0.585,0.192,0.291,0.166,0,1.472,1.306,0.129,4.2
37,1998,1.808,0.215,0.053,0.02,0.089,-0.186,-0.963,0.208,0.388,0,3.055,2.012,0.1,8.29
37,1999,2.121,0.403,0.05,0.965,0.081,1.303,-1.179,0.183,3.828,0,4.161,2.879,0.177,13.64
37,2000,2.589,0.85,0.345,0.725,0.273,0.761,-0.21,0.014,4.144,0,5.069,3.995,0.008,17
37,2001,3.047,1.282,0.495,-0.2,0.572,-0.338,0.377,0.563,3.085,0,5.133,4.147,0.121,17.19
37,2002,2.996,0.662,0.484,0.32,0.53,-0.155,1.218,1.317,2.952,0,5.246,3.933,0.04,21.99
37,2003,3.771,1.111,0.879,0.81,0.656,1.013,1.231,1.328,3.02,0,4.913,3.122,0.073,21.51
37,2004,4.504,1.387,1.107,0.79,0.849,0.996,1.317,1.447,2.678,0,4.794,3.208,0.043,18.72
37,2005,5.29,1.779,1.437,1.01,1.013,1.365,1.401,1.586,2.773,0,4.729,3.114,0.049,24
37,2006,6.361,1.92,1.595,1.16,1.063,1.347,1.463,1.691,3.479,0,5.05,3.41,0.045,30.87
37,2007,7.512,2.479,2.033,1.24,1.212,1.815,1.612,2.043,3.847,0,6.005,0.664,2.944,28.64
37,2008,8.829,2.829,2.189,1.41,1.207,2.128,1.546,2.448,2.566,0,6.426,0.315,3.094,27.33
37,2009,9.421,2.967,2.133,1.35,1.35,1.633,1.848,2.461,4.173,0,7.922,1.586,3.092,29.7
37,2010,10.471,3.597,2.809,1.77,1.738,2.369,2.631,3.071,5.168,0,8.988,2.074,3.18,39.75
37,2011,10.88,4.218,3.457,2,2.17,2.31,2.476,3.196,4.727,0,8.703,1.83,3.323,46.7
37,2012,12.485,4.689,3.895,2.6,2.488,3.189,3.443,4.085,2.52,0.6,9.293,4.237,1.69,58.02
37,2013,13.023,4.752,3.987,2.83,2.66,3.498,3.865,4.508,5.546,0.85,11.79,7.132,1.666,63.92
37,2014,14.581,5.23,4.553,3.12,2.892,4.137,4.33,4.969,6.717,0.76,10.802,5.692,1.751,81.97
37,2015,14.657,3.381,2.573,1.28,1.76,3.067,4.643,5.556,6.111,1,8.397,3.525,1.8,105.77
37,2016,17.713,5.57,4.672,3.69,3.04,4.949,3.54,5.509,4.188,1.2,4.503,-0.64,3.878,110.99
37,2017,19.908,6.322,5.418,3.78,3.78,3.908,5.245,6.126,3.039,1.36,5.296,0.145,1.909,137.21
37,2018,23.084,7.019,6.05,5.09,5.09,5.351,7.617,8.092,6.635,1.56,10.889,4.424,1.694,204.24
37,2019,25.697,8.023,7.17,5.89,5.89,6.346,8.216,8.803,10.531,1.88,14.409,7.841,1.676,277.31
37,2020,29.087,9.186,8.36,6.92,6.92,6.763,8.625,9.144,26.935,2.12,19.508,13.082,13.892,306.37
37,2021,35.286,10.799,9.469,7.56,7.56,7.993,11.447,11.905,14.164,2.36,36.119,3.674,9.076,529.97
37,2022,44.81,11.863,9.236,7.28,7.28,8.286,12.887,13.694,11.638,2.72,58.315,-15.451,26.744,456.17
37,2023,50.77,14.286,11.438,8.42,14.4,10.617,16.912,17.83,13.059,3.12,61.582,-10.449,23.853,511.7
