enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
42,1994,5.375,0.875,0.544,0.4,0.361,-0.348,0.736,1.264,0.461,0.605,3.902,2.844,1.161,14.84
42,1995,4.89,1.907,1.537,1.113,1.083,0.258,0.818,1.312,0.46,0.625,4.586,0.808,4.153,16.41
42,1996,5.747,2.154,1.684,2.015,1.106,1.793,1.082,1.55,0.907,0.655,4.932,1.205,4.087,28.13
42,1997,6.265,2.317,1.83,1.36,1.194,1.426,1.385,1.783,0.736,0.687,5.517,1.874,3.373,36.75
42,1998,7.065,2.608,2.157,-0.35,1.353,-0.085,1.799,2.123,1.754,0.74,4.183,2.787,2.3,69.63
42,1999,8.244,2.959,2.521,1.87,1.855,1.406,1.972,2.347,1.364,0.8,4.04,2.656,2.159,88.88
42,2000,9.044,3.439,3.041,2.46,2.254,1.907,1.891,2.369,3.518,0.92,4.598,4.489,2.801,66.5
42,2001,9.911,3.646,3.248,2.79,2.442,3.152,2.786,3.405,4.099,1.04,5.368,5.368,2.501,93.06
42,2002,10.588,3.838,3.421,2.55,2.603,2.736,2.548,3.359,3.321,1.12,6.324,6.324,3.043,78.54
42,2003,10.227,3.527,3.072,2.5,2.348,1.317,0.868,1.912,3.256,1.24,7.371,7.371,4.369,63.5
42,2004,11.645,3.749,3.241,2.37,2.5,2.321,1.796,3.375,3.304,1.34,8.69,8.69,4.347,70.33
42,2005,12.709,3.903,3.355,1.66,2.035,1.961,0.891,2.632,6.594,1.42,9.647,9.647,5.753,56.75
42,2006,13.391,4,3.336,1.81,2.386,1.085,0.563,1.75,4.458,1.52,9.549,9.549,5.75,56.59
42,2007,14.438,4.534,3.796,2.45,3.043,1.699,2.667,3.658,3.438,1.6,9.703,9.703,3.282,52.1
42,2008,17.083,5.364,4.403,2.71,3.355,2.644,3.733,4.726,4.259,1.7,11.905,9.74,4.414,53.39
42,2009,18.613,0.04,-0.986,-1.89,2.159,-0.524,5.689,6.666,5.158,1.88,5.862,2.442,9.105,40.27
42,2010,19.88,6.297,5.116,3.94,4.548,3.711,3.169,3.947,3.914,1.96,8.288,5.069,5.798,35.71
42,2011,20.868,7.27,6.069,4.58,4.75,5.359,5.128,6.201,5.838,1.96,10.779,6.597,6.011,35.04
42,2012,21.802,6.202,4.969,3.9,4.476,5.202,4.975,6.494,5.957,1.96,11.696,7.267,6.035,41.56
42,2013,20.23,6.308,5,3.66,3.85,4.182,3.813,4.748,4.958,1.96,12.879,8.733,4.825,49.32
42,2014,21.307,6.909,5.577,4.32,4.45,4.671,4.279,5.287,4.833,1.96,15.787,11.909,4.668,51
42,2015,18.259,4.215,2.931,2.23,2.726,2.192,2.692,4.15,4.346,1.96,13.842,9.662,7.222,68.99
42,2016,18.728,4.109,2.769,2.26,3.126,0.687,1.256,2.782,4.028,2,13.183,4.973,7.219,84.26
42,2017,19.986,4.761,3.352,2.58,3.051,2.962,3.54,4.569,5.485,2.04,12.724,5.157,9.361,73.55
42,2018,18.986,3.894,2.405,-0.19,1.059,2.379,3.281,5.338,7.304,2.08,10.538,2.903,12.406,84.46
42,2019,20.793,5.351,3.795,3.13,4.914,1.139,2.425,5.345,7.009,2.25,9.298,6.995,9.743,115.72
42,2020,23.854,7.373,6.056,8.89,5.296,6.98,3.723,5.169,2.547,2.58,2.723,-8.032,15.997,131.43
42,2021,26.893,9.768,8.317,6.79,6.179,5.574,4.899,7.123,3.848,2.96,5.898,-5.828,17.348,168.84
42,2022,31.062,8.822,7.125,6.12,7.627,3.891,5.909,7.964,4.099,3.4,9.416,-2.731,17.705,276.22
42,2023,31.551,9.574,7.891,6.9,8.485,4.26,5.085,7.831,2.328,3.92,11.208,-0.663,17.09,365.84
