enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
43,2000,1.532,0.026,0.026,0.034,0.034,0,0,0,0,0,0.362,0.362,0.116,0
43,2001,2.019,0.249,0.249,0.165,0.165,0,0,0,0,0,0.646,0.646,0.116,0
43,2002,2.247,0.436,0.338,0.198,0.2,0,0.124,0.274,0.246,0,0.846,0.719,0.125,0
43,2003,2.195,0.3,0.195,0.135,0.132,0,0.242,0.359,1.011,0,1.187,0.678,0.093,0
43,2004,2.231,-0.429,-0.549,-0.386,-0.397,0,0.047,0.19,0.911,0,0.699,0.183,0.23,0
43,2005,2.593,0.47,0.347,0.238,0.255,0,0.266,0.344,1.138,0,0.975,0.428,0.23,0
43,2006,2.177,0.373,0.291,0.198,0.223,0,0.141,0.202,0.95,0,0.866,0.518,0.17,0
43,2007,2.45,0.243,0.169,0.037,0.22,0.087,0.409,0.479,1.84,0.009,1.752,1.39,0.17,9.85
43,2008,2.998,0.889,0.817,0.8,0.582,0.712,0.452,0.567,2.262,0.054,2.306,1.879,0.175,21.52
43,2009,3.835,-0.129,-0.215,-0.194,0.996,0.25,0.187,0.318,1.737,0.06,1.49,0.955,0.13,14.29
43,2010,3.922,1.903,1.795,1.116,1.111,0.878,0.952,1.06,2.219,0.06,2.7,2.142,0.017,25.6
43,2011,4.228,2.257,2.144,1.405,1.402,1.183,1.18,1.295,3.207,0.06,3.976,3.054,0,22.41
43,2012,5.229,2.311,2.16,1.48,1.885,1.952,1.952,2.09,3.901,0.06,4.625,3.302,0,37.28
43,2013,5.875,3.325,3.142,2.19,2.216,1.775,2.17,2.343,4.059,0.105,5.612,4.181,0,49.13
43,2014,6.841,3.928,3.715,2.56,2.61,2.678,3.157,3.403,3.929,0.21,4.671,3.551,0,83.55
43,2015,8.076,4.66,4.386,3.1,3.065,2.122,2.629,2.914,5.531,0.44,5.891,3.951,1.296,86.16
43,2016,8.502,4.736,4.414,3.35,3.43,2.727,3.306,3.607,6.038,0.64,5.401,2.987,2.928,97.36
43,2017,9.787,5.553,5.214,3.69,3.77,3.07,3.865,4.212,7.71,0.76,5.232,2.94,4.792,103.25
43,2018,11.658,6.635,6.228,3.65,4.58,3.7,4.889,5.284,7.383,0.88,5.188,1.246,5.146,151.36
43,2019,14.279,7.497,7.058,5.6,6.49,4.235,5.462,5.944,8.126,1,5.233,1.455,6.144,188.65
43,2020,16.52,10.251,9.741,7.94,7.77,6.414,7.295,8.007,7.62,1.32,5.85,0.452,8.464,298.59
43,2021,15.21,8.668,8.091,6.37,6.43,5.419,6.477,7.181,10.644,1.6,6.42,-0.323,12.73,356.94
43,2022,19.036,11.556,10.825,8.76,8.4,7.976,8.719,9.539,8.055,1.76,7.461,-4.103,14.185,359.32
43,2023,22.901,13.34,12.567,10.22,10.65,8.761,10.4,11.529,7.749,1.96,6.588,-5.317,14.668,347.73
