enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
46,1994,4.507,1.846,1.668,0.93,1.124,0.548,0.874,1.309,0.331,0.53,3.996,1.346,1.139,15.505
46,1995,5.865,2.069,1.726,1.175,1.114,1.134,1.227,1.622,0.643,0.58,4.463,1.573,0.518,17.197
46,1996,6.57,2.073,1.734,1.32,1.16,1.232,0.764,1.16,0.752,0.64,4.775,1.998,0.731,29.601
46,1997,7.97,2.376,2.003,1.56,1.324,1.598,1.701,2.182,0.56,0.74,4.96,2.169,0.73,35.916
46,1998,9.58,2.716,2.376,1.87,1.697,1.871,1.973,2.56,0.471,0.87,5.276,2.435,0.942,47.812
46,1999,11.019,3.028,2.612,2.15,1.588,2.154,1.374,2.183,1.104,0.945,5.423,1.913,1.629,66.53
46,2000,13.605,3.766,3.158,2.45,2.109,2.228,1.485,2.55,1.375,1.12,5.685,2.429,2.577,60.611
46,2001,17.152,4.541,3.862,2.9,2.588,2.338,2.108,3.267,1.844,1.26,6.428,3.232,2.999,84.46
46,2002,9.128,4.483,3.995,3.14,2.962,2.886,2.558,3.593,1.446,1.38,7.062,3.766,3.901,53.838
46,2003,9.418,4.532,3.992,3.14,2.947,3.103,3.143,4.078,2.214,1.42,8.107,4.882,3.808,51.213
46,2004,9.98,4.386,3.803,2.97,2.869,3.059,3.527,4.377,1.878,1.46,7.011,6.133,3.059,44.053
46,2005,10.318,3.687,3.035,2.62,2.494,3.197,3.177,3.952,3.21,1.5,7.828,7.028,3.112,30.646
46,2006,10.004,3.439,2.663,2.1,2.153,2.714,2.82,3.458,7.167,1.52,8.239,7.504,3.711,30.332
46,2007,10.347,2.722,1.685,2.03,1.952,2.17,2.644,3.092,4.019,1.52,8.1,7.004,3.153,41.574
46,2008,11.035,3.468,2.562,-1.04,1.275,1.68,2.731,3.192,3.789,1.52,8.37,7.372,2.642,55.409
46,2009,11.129,5.512,4.751,3.63,3.293,2.356,2.461,3.067,2.603,1.52,8.9,7.968,2.961,28.987
46,2010,12.067,8.062,6.929,5.65,2.171,4.934,0.85,1.492,3.09,1.52,19.001,-0.237,5.622,34.842
46,2011,14.739,3.125,0.759,0.28,3.42,2.271,2.931,3.469,3.959,1.52,17.642,0.825,5.802,34.365
46,2012,15.529,4.995,2.595,2.02,3.77,3.337,3.445,4.002,4.924,1.56,17.928,2.651,5.76,35.948
46,2013,15.366,5.342,3.073,2,3.82,2.714,2.623,3.258,5.333,1.69,17.518,3.9,6.796,39.037
46,2014,14.697,4.451,2.118,1.47,3.49,3.001,3.373,3.89,5.973,1.73,16.999,4.667,8.56,47.724
46,2015,14.425,8.438,6.153,4.07,3.49,5.636,1.937,2.728,5.538,1.77,17.14,5.38,7.541,54.151
46,2016,13.903,4.382,2.138,1.56,3.59,2.94,3.962,4.413,4.828,1.81,16.064,1.564,9.497,50.365
46,2017,14.283,3.883,1.92,1.41,3.78,1.366,3.144,3.723,5.217,1.85,14.584,1.681,9.038,56.134
46,2018,14.6,4.349,2.647,0.87,3.98,-0.742,1.66,2.348,3.151,1.89,12.733,0.693,9.052,53.655
46,2019,15.787,5.223,3.536,2.32,4.34,2.665,3.101,4.077,3.419,1.99,10.299,-1.796,9.687,72.859
46,2020,15.163,4.409,3.126,3.81,3.73,3.401,3.903,5.209,4.116,2.26,10.204,-3.038,10.376,86.723
46,2021,16.339,4.006,2.634,2.78,2.97,1.198,2.292,4.035,3.182,2.48,10.006,-3.03,12.564,77.998
46,2022,19.19,7.052,5.786,5.14,5.37,3.89,3.807,5.559,3.203,2.64,15.107,-2.379,13.096,76.64
46,2023,23.321,8.385,6.847,5.71,7.48,4.304,5.786,7.512,5.198,2.8,18.122,1.78,12.093,110.95
