enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
51,1994,1.618,0.247,0.22,0.015,0.018,0.204,0.205,0.246,0.221,0.025,0.743,0.676,0.061,1.84
51,1995,2.082,0.339,0.3,0.021,0.024,0.071,0.044,0.111,0.095,0.03,0.859,0.642,0.192,2.46
51,1996,2.755,0.472,0.415,0.236,0.245,0.102,0.048,0.14,0.114,0.036,1.058,0.851,0.201,6.27
51,1997,3.97,0.669,0.596,0.168,0.176,0.071,-0.062,0.14,0.192,0.034,1.364,1.163,0.368,7.16
51,1998,4.034,0.463,0.365,0.169,0.208,0.125,0.005,0.219,0.047,0.055,1.421,1.231,0.375,5.75
51,1999,3.816,0.472,0.373,0.196,0.214,0.192,0.251,0.418,0.088,0.06,1.477,1.288,0.357,7.62
51,2000,4.019,0.54,0.44,0.259,0.265,0.261,0.125,0.313,0.118,0.06,1.454,1.263,0.67,5.36
51,2001,4.345,0.562,0.464,0.27,0.28,0.129,0.155,0.301,0.141,0.06,1.626,1.441,0.603,5.14
51,2002,4.543,0.608,0.483,0.305,0.305,0.364,0.367,0.497,0.27,0.06,1.803,1.598,0.52,6.72
51,2003,4.997,0.697,0.574,0.221,0.245,0.161,0.344,0.431,0.301,0.065,1.892,1.805,0.395,7
51,2004,5.685,0.865,0.719,0.439,0.461,0.579,0.605,0.705,0.584,0.085,2.272,2.033,0.397,8.89
51,2005,6.35,1.008,0.875,0.56,0.569,0.614,0.607,0.726,0.874,0.113,2.702,2.443,0.365,10.28
51,2006,7.06,1.133,0.996,0.33,0.331,0.667,0.63,0.787,1.125,0.14,3.069,2.807,0.346,10.04
51,2007,8.018,1.18,1.047,0.733,0.732,0.749,0.769,0.923,1.418,0.216,3.498,3.229,0.269,14.19
51,2008,9.238,1.366,1.207,0.935,0.938,0.802,0.738,0.96,1.413,0.219,3.984,3.377,0.318,17.09
51,2009,9.77,1.446,1.251,0.758,0.954,0.45,0.652,0.885,1.779,0.245,4.476,4.136,0.418,14.26
51,2010,9.624,1.453,1.252,0.965,0.946,1.365,1.432,1.602,2.658,0.265,5.038,4.7,0.306,18.1
51,2011,10.356,1.647,1.462,1.1,1.12,0.718,0.71,0.933,2.424,0.3,5.258,4.888,0.354,21.11
51,2012,12.415,1.844,1.633,1.175,1.2,0.711,0.671,0.971,2.051,0.348,5.666,5.393,0.21,27.05
51,2013,13.811,2.041,1.767,1.35,1.34,1.377,1.328,1.654,3.336,0.405,6.197,5.963,0.763,30.83
51,2014,15.345,2.355,2.031,1.49,1.49,1.292,1.177,1.663,2.955,0.465,6.221,5.983,0.789,38.46
51,2015,17.3,2.727,2.36,1.85,1.85,1.974,2.101,2.646,3.456,0.54,7.414,7.173,0.735,50.84
51,2016,18.58,2.964,2.584,2.16,2.16,1.368,1.295,1.951,3.244,0.62,7.288,7.043,1.212,55.22
51,2017,20.301,3.23,2.807,2.51,2.51,1.744,1.62,2.273,3.761,0.7,7.551,7.295,2.314,52.99
51,2018,21.938,3.146,2.679,1.17,1.17,2.261,2.367,2.987,3.276,0.78,6.129,5.854,2.38,71.8
51,2019,24.17,3.393,2.949,2.49,2.49,2.74,2.956,3.647,2.974,0.86,5.765,5.487,2.219,77.14
51,2020,23.5,2.66,1.957,1.6,1.6,0.677,0.879,1.561,5.64,0.955,5.17,4.851,8.354,98.58
51,2021,27.674,4.806,4.31,3.56,3.56,3.289,3.704,4.136,8.54,1.07,8.091,7.767,8.12,136.46
51,2022,28.998,4.665,4.144,3.75,3.75,2.376,2.75,3.221,8.273,1.19,9.727,9.364,8.038,118.85
51,2023,32.626,4.315,3.768,3.23,3.23,2.915,3.104,3.721,6.968,1.325,9.141,8.779,7.927,105.26
