enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
55,1999,8.411,2.204,1.836,0.331,0.331,0,1.134,1.553,3.759,0.418,8.33,7.625,2.365,47.85
55,2000,7.767,2.118,1.756,0.625,0.515,0,1.321,1.649,3.906,0.476,8.903,8.134,2.374,35.77
55,2001,8.428,2.137,1.855,1.697,1.576,0,1.473,1.792,4.878,0.401,8.762,7.376,1.441,37.176
55,2002,7.276,2.306,1.904,1.49,1.424,0,1.154,1.69,5.173,0.426,10.005,8.454,1.792,30.322
55,2003,8.116,2.794,2.29,1.84,1.693,0,1.583,2.033,5.068,0.444,11.422,9.646,2.117,30.513
55,2004,10.336,3.01,2.478,1.97,1.856,0,2.077,2.717,5.373,0.595,12.331,10.423,2.217,38.123
55,2005,11.522,3.367,2.818,2.27,2.211,2.73,2.165,2.773,5.724,0.781,12.847,10.527,2.702,41.986
55,2006,12.702,3.749,3.057,2.62,2.473,2.65,2.719,3.308,4.68,0.864,14.123,8.432,3.514,43.597
55,2007,14.872,4.314,3.499,3.04,2.867,3.11,2.573,3.518,3.388,0.894,17.507,8.466,3.073,47.718
55,2008,16.723,4.544,3.317,5.13,2.738,5.81,2.609,3.955,5.83,1.097,21.737,12.354,2.47,45.118
55,2009,18.644,5.455,4.286,3.59,3.513,3.81,3.263,4.277,2.701,1.538,22.204,13.011,3.106,41.338
55,2010,19.808,5.61,4.599,3.69,3.666,4.01,4.154,5.354,7.672,1.714,25.232,15.396,6.115,45.217
55,2011,22.408,6.872,5.386,4.26,4.26,6.6,5.143,6.113,3.553,1.948,27.603,-0.754,10.021,48.972
55,2012,24.606,7.084,4.685,3.7,3.709,4.1,4.941,5.93,2.109,2.363,27.359,1.634,8.405,47.493
55,2013,21.256,6.708,4.892,3.79,3.887,5.45,4.672,5.805,3.354,2.482,28.562,3.188,8.149,52.586
55,2014,21.265,6.412,4.635,3.7,3.726,5.02,3.952,5.314,3.801,2.53,30.643,6.379,7.384,66.775
55,2015,21.714,7.149,5.253,4.13,4.302,5.01,4.248,5.626,5.779,2.719,29.503,7.347,8.488,76.976
55,2016,20.667,5.849,3.605,7.29,3.019,8.25,3.442,4.88,2.295,2.666,32.456,4.91,9.226,71.477
55,2017,20.598,6.07,3.552,2.8,2.968,4.43,3.582,4.781,3.276,2.718,31.521,5.27,9.977,60.511
55,2018,18.306,6.153,4.155,3.25,3.19,2.2,4.356,5.323,4.093,2.718,32.004,5.36,12.266,69.749
55,2019,19.667,8.634,6.411,5.38,5.46,7.28,4.959,6.089,6.907,2.936,34.015,1.991,13.885,71.286
55,2020,20.991,6.734,4.222,5.06,3.08,7.59,4.902,5.875,4.96,2.834,24.492,0.072,12.869,89.602
55,2021,21.733,7.496,4.681,3.52,3.568,6.26,4.819,5.945,5.004,3.087,25.079,-4.524,16.774,89.356
55,2022,23.397,14.629,11.924,10.63,10.658,13.39,5.354,6.669,12.579,3.199,30.272,1.735,13.882,82.77
55,2023,23.59,7.46,4.191,3.17,3.24,5.89,5.264,6.48,8.782,3.325,27.997,-0.756,13.167,85.846
