enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
56,1998,0.093,-0.098,-0.098,-0.108,-0.108,0,-0.124,-0.124,0.088,0,0.124,0.124,0,0
56,1999,0.136,-0.065,-0.065,-0.065,-0.065,0,-0.078,-0.078,0,0,0.017,0.017,0.024,0
56,2000,0.219,0.047,0.044,0.041,0.041,0,0.031,0.031,0.025,0,0.05,0.05,0.013,0
56,2001,0.252,-0.028,-0.029,-0.033,-0.033,0,-0.041,-0.041,0.319,0,0.368,0.368,0,0
56,2002,0.082,-0.2,-0.2,-0.229,-0.229,0,-0.131,-0.126,0.152,0,0.127,0.127,0,0
56,2003,0.019,-0.079,-0.081,-0.076,-0.076,-0.087,-0.086,-0.086,0.065,0,0.048,0.048,0,0
56,2004,0.009,-0.043,-0.045,-0.045,-0.045,-0.059,-0.065,-0.064,0.013,0,0.013,0.013,0,0
56,2005,0.014,-0.041,-0.043,0,0,-0.015,-0.047,-0.046,0.019,0,0.014,0.014,0,0
56,2006,0.017,-0.035,-0.036,-0.051,-0.051,-0.04,-0.029,-0.029,0.016,0,0.003,0.003,0,0
56,2007,0.012,-0.034,-0.035,-0.062,-0.062,-0.053,-0.031,-0.031,0.012,0,-0.001,-0.001,0,0
56,2008,0.011,-0.043,-0.044,-0.041,-0.041,-0.038,-0.037,-0.037,0.058,0,0.055,0.055,0,0
56,2009,0.007,-0.021,-0.021,-0.025,-0.025,-0.019,-0.017,-0.017,0.032,0,0.028,0.028,0,0
56,2010,0.008,-0.025,-0.025,-0.028,-0.028,-0.019,-0.019,-0.019,0.017,0,0.008,0.008,0,0
56,2011,0.008,-0.024,-0.024,-0.029,-0.029,-0.03,-0.026,-0.026,0.081,0,0.076,0.076,0,0
56,2012,0.008,-0.06,-0.06,-0.059,-0.059,-0.054,-0.036,-0.036,0.051,0,0.039,0.039,0,0
56,2013,0.015,-0.042,-0.042,-0.041,-0.041,-0.05,-0.034,-0.034,0.071,0,0.07,0.07,0,0
56,2014,0.019,-0.047,-0.048,-0.048,-0.048,-0.04,-0.026,-0.026,0.045,0,0.034,0.034,0,0.41
56,2015,0.004,-0.028,-0.028,-0.027,-0.023,-0.03,-0.024,-0.024,0.019,0,0.011,0.011,0,0.24
56,2016,0.001,-0.018,-0.018,-0.015,-0.015,-0.02,-0.017,-0.017,0.006,0,-0.003,-0.003,0.004,0.35
56,2017,0.001,-0.01,-0.01,-0.008,-0.008,-0.01,-0.006,-0.006,0.002,0,-0.008,-0.008,0.004,0.04
56,2018,0.006,0.001,0.001,0,0,0,0.001,0.001,0.003,0,-0.007,-0.007,0.005,0.02
56,2019,0.002,-0.003,-0.003,-0.008,-0.008,-0.01,-0.003,-0.003,0.008,0,-0.001,-0.001,0.004,0.08
56,2020,0.003,-0.002,-0.002,-0.003,-0.003,-0.01,-0.006,-0.006,0.006,0,0.002,0.002,0.004,0.05
56,2021,0.005,-0.005,-0.005,-0.008,-0.008,-0.01,-0.005,-0.005,0.008,0,0.009,0.009,0,0.281
56,2022,0.008,-0.005,-0.006,-0.008,-0.008,0,-0.004,-0.003,0.008,0,0.009,0.009,0.001,0.18
56,2023,0.008,-0.005,-0.005,-0.007,-0.008,-0.01,-0.004,-0.004,0.005,0,0.006,0.006,0.001,0.107
