enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
59,1994,15.51,2.697,1.802,0.71,0.674,1.199,0.715,1.943,0.142,0.305,3.968,-0.996,6.03,18.785
59,1995,17.699,2.97,1.99,1.09,1.065,1.489,0.909,2.31,0.209,0.35,4.34,-0.624,6.025,16.659
59,1996,11.858,2.312,1.662,1,0.98,1.121,1.109,1.958,0.242,0.39,4.64,-0.172,5.847,25.678
59,1997,12.663,2.297,1.629,0.72,0.772,1.009,1.349,2.364,0.197,0.445,4.246,0.376,5.24,26.884
59,1998,13.323,2.585,1.88,1.36,1.018,1.558,5.19,6.15,1.284,0.49,4.618,0.72,3.293,36.438
59,1999,14.712,2.703,1.891,1.31,1.434,0.437,-1.798,2.114,0.211,0.515,4.351,-1.764,5.404,40.875
59,2000,16.773,3.15,2.377,1.37,1.399,1.578,1.513,2.41,0.726,0.535,4.729,1.475,2.093,35.25
59,2001,14.226,2.845,2.235,1.42,1.489,1.208,1.724,2.479,1.034,0.555,5.226,1.986,2.207,49.563
59,2002,13.046,2.833,2.232,1.33,1.471,0.936,1.385,2.12,0.939,0.575,4.925,2.168,1.711,48.69
59,2003,14.081,3.158,2.534,1.68,1.765,1.603,1.789,2.595,1.071,0.595,5.4,2.369,1.596,42.22
59,2004,15.509,3.57,2.868,2.05,2.135,2.016,1.715,2.489,1.174,0.63,6.977,3.82,1.345,46.62
59,2005,16.963,3.868,3.136,2.44,2.475,2.501,2.126,2.93,2.052,0.85,8.083,4.843,2.055,52.2
59,2006,19.093,4.239,3.472,2.39,2.39,3.167,2.413,3.431,2.948,1.01,8.647,5.203,3.141,59.08
59,2007,20.828,5.118,4.285,3.34,3.34,2.963,2.381,3.606,1.723,1.16,9.43,5.497,1.724,62.55
59,2008,23.808,5.598,4.738,3.41,3.41,3.59,2.717,4.182,1.546,1.425,10.712,6.218,2.619,75.9
59,2009,26.998,5.566,4.603,3.21,3.21,3.255,2.842,4.369,1.463,1.65,7.752,3.265,5.286,54.77
59,2010,27.414,6.412,5.375,3.77,3.77,4.194,2.96,4.309,2.642,1.775,10.711,4.86,5.025,60.8
59,2011,35.835,7.102,5.66,3.91,4.13,4.997,3.219,5.234,4.028,1.89,13.361,-4.646,15.748,65.33
59,2012,41.643,7.781,6.068,4.03,4.4,4.289,3.51,5.601,2.829,2.025,13.137,-8.119,17.118,66.35
59,2013,41.582,7.55,5.843,3.92,4.1,4.843,3.66,5.383,4.287,2.128,14.413,-7.282,18.367,68.43
59,2014,42.574,7.99,6.283,4.32,4.37,4.686,4.419,6.21,6.33,2.24,15.852,-5.503,19.385,82.94
59,2015,43.669,8.049,6.33,4.27,4.63,5.347,5.008,6.88,5.864,2.533,11.692,-7.833,19.42,94.56
59,2016,42.462,7.292,5.665,3.67,4.57,4.734,5.459,7.316,8.294,2.763,8.206,-10.619,22.986,99.92
59,2017,43.25,8.446,6.815,4.36,4.85,5.635,5.25,7.344,11.292,2.96,7.741,-11.771,25.872,104.63
59,2018,44.176,9.125,7.478,3.38,5.23,5.468,4.91,6.975,13.739,3.168,7.639,-12.489,27.663,119.92
59,2019,45.376,8.987,7.304,8.78,5.66,9.296,4.304,6.607,6.383,3.588,10.304,-11.437,22.939,110.48
59,2020,47.733,9.304,7.283,5.2,5.53,5.616,3.85,6.858,4.125,3.793,10.63,-12.047,23.372,136.67
59,2021,50.555,9.499,7.325,5.12,5.52,5.789,4.578,7.624,6.921,4.023,9.749,-17.839,32.326,148.3
59,2022,57.217,10.726,8.412,5.49,6.26,6.973,5.033,8.363,4.33,4.248,11.6,-15.187,29.487,173.71
59,2023,62.287,10.76,8.395,6.42,6.79,5.79,4.04,7.795,3.884,4.525,12.454,-12.084,28.725,180.66
