enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
62,2005,16.383,3.222,3.04,1.95,1.95,0,1.984,2.272,1.551,0,5.148,4.158,0,0
62,2006,9.576,3.996,3.744,2.69,2.723,0,2.116,2.468,0.573,0,4.886,1.582,2.327,0
62,2007,9.848,4.38,4.068,2.91,2.799,0,2.562,2.982,0.795,0,6.764,3.055,1.321,0
62,2008,10.816,4.572,4.217,2.86,2.913,0,2.123,2.632,0.712,0,7.393,2.733,2.877,0
62,2009,12.382,5.342,4.936,3.31,3.339,0,3.293,3.822,0.764,1.54,3.743,-1.796,5.969,43.51
62,2010,12.838,5.642,5.204,3.24,3.251,0,3.676,4.043,0.816,2.24,3.029,-3.679,8.169,48.19
62,2011,14.771,6.64,6.134,3.92,3.939,4.901,4.736,5.123,0.945,2.44,1.946,-5.843,9.159,58.53
62,2012,17.649,8.212,7.648,4.85,4.894,5.605,5.467,5.976,1.477,2.82,0.133,-7.762,10.745,78.48
62,2013,18.544,8.811,8.281,5.17,5.22,4.87,4.944,5.568,1.804,3.24,-2.102,-10.278,13.812,83.64
62,2014,19.246,8.957,8.413,5.26,5.4,5.288,5.509,6.248,1.356,3.58,-4.887,-12.493,17.419,87.13
62,2015,19.008,8.116,7.548,4.76,5.02,4.21,4.206,4.942,1.087,3.88,-8.164,-15.516,19.041,81.45
62,2016,17.298,7.425,6.938,4.42,4.42,4.338,4.458,5.077,2.205,4.04,-8.548,-15.027,18.382,87.91
62,2017,17.205,7.567,7.088,4.48,4.48,4.42,4.452,5.208,2.732,4.12,-8.178,-14.492,18.736,91.49
62,2018,18.511,8.088,7.524,3.88,4.72,4.702,4.742,5.739,5.438,4.22,-7.781,-14.283,22.108,105.65
62,2019,19.051,8.048,7.412,5.08,5.08,5.116,5.172,6.095,4.241,4.49,-8.014,-14.104,20.429,66.76
62,2020,19.155,7.476,6.856,4.61,4.61,4.998,5.937,6.485,4.41,4.62,-7.441,-12.564,19.953,85.09
62,2021,18.417,8.127,7.497,5.16,5.16,5.186,5.911,6.298,4.675,4.74,-8.069,-13.195,20.25,82.79
62,2022,20.144,8.959,8.319,5.83,5.83,6.804,7.196,7.676,2.9,4.9,-6.519,-12.646,17.937,95
62,2023,20.465,8.757,7.991,5.81,5.81,5.996,6.267,6.961,2.069,5.04,-5.778,-22.799,27.817,101.21
