enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
73,2001,0,-0.057,-0.057,-0.27,-0.252,0,-0.116,-0.116,0.112,0,0.086,0.086,0,0
73,2002,0,-0.348,-0.351,-0.633,-0.541,0,-0.396,-0.396,0.522,0,-0.63,-0.63,0,0
73,2003,0.574,-0.136,-0.136,0.347,0.347,0,-0.225,-0.225,0,0,0.308,0.308,0.229,0
73,2004,5.52,1.023,0.504,-0.046,0.045,0,-0.088,1.378,3.118,0,0.873,-0.358,2.395,0
73,2005,9.935,9.935,9.935,0.3,0.3,0,0,0,0,0,0,0,0,0
73,2006,4.507,2.214,1.832,0.413,-0.04,0,-2.166,1.229,2.184,0,1.597,-1.36,3.93,0
73,2007,6.458,1.554,0.99,0.067,0.22,0,-6.608,1.523,3.175,0,2.374,-9.534,14.913,0
73,2008,15.089,4.308,3.105,0.56,0.996,0,-1.339,3.977,8.447,0,10.622,-1.288,17.249,38.9
73,2009,15.485,4.019,2.582,0.84,1.026,-3.341,-4.629,2.518,3.977,0,11.592,-2.215,17.521,29.7
73,2010,19.557,5.123,3,0.98,0.978,-0.176,0.086,5.053,6.545,0,12.975,-1.032,20.67,15.26
73,2011,22.853,5.757,3.231,1.08,1.444,0.071,1.255,5.585,6.598,0,14.316,0.109,21.297,25.26
73,2012,77.035,-4.79,-15.932,-17.62,5.312,-18.764,8.325,18.607,12.378,0,16.154,2.144,26.208,17.36
73,2013,73.677,-11.725,-23.632,-27.4,-8.127,-35.854,2.145,14.43,2.162,0,33.554,-46.717,13.504,19.88
73,2014,36.077,7.241,1.882,0.05,0.157,1.991,-1.272,5.237,7.346,0,17.765,-8.435,21.306,33.64
73,2015,36.234,7.569,2.162,0.3,-0.098,1.667,-3.764,5.081,6.582,0,19.398,-10.954,20.261,26.94
73,2016,39.468,8.706,3.007,0.82,1.014,-0.024,-1.513,6.581,9.262,0,20.231,-11.822,25.224,39.12
73,2017,45.003,12.364,4.87,1.69,1.14,-3.418,-7.072,3.336,6.656,0,22.068,-13.114,26.848,57.51
73,2018,46.576,12.407,5.543,5.2,5.038,-4.709,-8.298,4.394,1.418,0,26.249,-17.113,32.952,63.51
73,2019,50.461,13.702,6.145,3.36,3.36,-5.023,-2.061,4.543,1.415,0,29.074,-15.22,15.25,63.61
73,2020,52.115,14.308,6.646,4.02,4.02,-1.791,-0.618,7.903,1.783,0,33.596,-11.344,46.794,78.42
73,2021,59.231,17.651,5.396,2.65,2.651,-1.36,-3.228,7.482,8.363,0,52.62,-27.298,83.925,134.85
73,2022,63.851,18.391,5.334,2.41,2.41,1.661,-6.196,11.091,5.308,0,55.317,-32.36,84.862,115.98
73,2023,63.384,16.06,5.186,2.06,3.085,1.627,-0.414,13.367,3.652,0,56.449,-33.943,87.408,140
