enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
75,1998,0.349,0.196,0.119,0.143,0.143,0,-0.061,0.162,0.142,0,0.552,0.552,0.161,3.83
75,1999,0.392,0.226,0.107,0.119,0.123,0,-0.02,0.249,0.121,0,0.654,0.654,0.245,4.33
75,2000,0.597,0.371,0.174,0.246,0.248,0,-0.048,0.354,0.26,0,1.18,1.18,0.369,16.88
75,2001,1.027,0.635,0.379,0.403,0.39,0,-0.064,0.577,0.255,0,1.542,1.542,0.349,8.28
75,2002,0.723,0.316,0.044,0.152,0.16,0,0.02,0.398,0.248,0,1.521,1.521,0.255,11.54
75,2003,0.922,0.549,0.179,0.121,0.124,0,0.246,0.56,0.388,0,1.616,1.558,0.267,5.21
75,2004,1.161,0.689,0.293,0.27,0.263,0.48,0.664,0.664,0.673,0,1.901,1.851,0.255,8.18
75,2005,1.569,0.965,0.54,0.562,0.558,0.66,0.439,0.934,0.783,0.068,2.433,2.39,0.197,7.73
75,2006,1.535,0.96,0.524,0.538,0.53,0.57,0.444,0.904,0.838,0.29,2.597,2.562,0.123,9.48
75,2007,1.83,1.159,0.734,0.734,0.733,0.87,0.728,1.182,1.23,0.377,2.622,2.549,0.122,10.77
75,2008,1.842,1.094,0.638,0.623,0.61,0.75,0.569,1.049,1.032,0.458,2.903,2.82,0.09,9.86
75,2009,1.915,1.113,0.644,0.575,0.566,1.04,0.933,1.273,1.249,0.361,2.79,2.712,0.143,7.86
75,2010,1.77,1.057,0.574,0.533,0.526,0.64,0.432,0.957,1.183,0.369,2.964,2.889,0.04,11.44
75,2011,2.707,1.668,1.101,1.042,1.001,1.02,0.274,1.48,1.178,0.402,3.705,3.63,0.238,12.54
75,2012,2.722,1.616,0.929,0.856,0.851,0.87,0.214,1.579,0.965,0.494,3.985,3.916,0.325,12.91
75,2013,3.364,2.085,1.213,1.059,1.075,0.92,0.246,1.892,1.005,0.508,4.722,4.649,0.777,17.16
75,2014,3.873,2.431,1.418,1.194,1.18,0.98,0.37,2.254,1.595,0.511,5.41,5.335,1.474,17.44
75,2015,4.692,3.109,1.878,1.564,1.556,1.22,0.794,2.593,2.709,0.478,6.287,6.204,1.542,22.38
75,2016,4.96,3.388,2.08,1.781,1.661,2,1.576,3.116,3.472,0,7.021,6.939,1.361,22.75
75,2017,5.712,3.694,2.345,1.998,1.991,1.86,1.246,3.253,3.834,0.949,8.189,8.101,1.272,28.75
75,2018,6.292,4.246,2.572,2.22,2.22,2.44,1.606,3.768,4.227,1.176,9.616,9.524,1.377,39.65
75,2019,6.461,4.342,2.509,2.274,2.279,2.08,1.574,3.595,4.471,1.337,10.401,10.295,1.131,36.91
75,2020,6.818,4.333,2.505,2.256,2.254,2.37,0.926,3.92,3.788,2.045,10.283,10.152,1.214,58.1
75,2021,9.157,6.28,4.012,3.493,3.454,3.96,2.091,5.625,5.469,1.774,12.545,12.368,2.515,109.04
75,2022,11.031,7.58,4.645,4.116,4.08,5.49,1.834,7.729,8.373,1.894,14.935,14.749,5.205,120.31
75,2023,14.242,10.022,7.271,6.246,6.227,6.51,3.277,10.132,9.98,1.787,18.262,18.098,5.466,74.49
