enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
76,1994,26.043,2.316,1.2,0.57,0.678,0,0.464,2.47,4.64,0.225,9.95,8.183,6.838,13.34
76,1995,27.672,2.637,1.294,0.685,0.768,0,0.236,2.234,4.922,0.257,10.712,8.942,7.232,14.51
76,1996,29.605,3.187,1.39,0.49,0.938,0,-0.084,2.632,6.194,0.411,11.405,9.654,8.517,16.73
76,1997,35.497,3.431,1.83,1.135,1.19,0,-0.186,3.106,6.374,0.429,11.803,9.935,8.756,19.8
76,1998,32.388,3.753,2.216,1.29,1.324,0,-0.119,2.693,2.149,0.451,11.317,9.725,5.33,27.43
76,1999,29.1,3.317,1.656,1.06,1.006,0,-0.395,3.023,2.568,0.543,12.379,10.63,5.954,24.47
76,2000,15.256,1.87,0.974,1.082,1.103,0,-0.12,1.228,1.656,0.509,10.008,8.883,6.74,34.07
76,2001,38.32,6.614,4.754,2.298,2.371,0,2.274,4.479,1.753,0.544,10.838,9.864,5.205,35.76
76,2002,34.203,1.668,-0.082,2.46,2.377,0,1.554,3.996,1.526,0.619,11.31,10.244,4.909,34.55
76,2003,40.953,6.537,4.044,2.34,2.244,0,1.623,4.396,2.616,0.711,12.989,11.877,6.163,35.17
76,2004,52.661,9.095,6.426,3.488,3.763,4.95,2.908,6.284,3.149,0.942,15.343,14.325,6.872,45.51
76,2005,53.418,13.285,9.541,6.089,5.189,7.24,3.858,8.216,2.157,1.863,17.661,15.886,7.405,54.03
76,2006,58.742,15.523,12.47,6.159,6.384,3.96,2.921,7.361,2.371,1.875,20.719,18.484,8.786,62.18
76,2007,75.735,18.784,15.613,6.718,7.18,6.09,3.511,9.167,3.506,2.147,22.084,19.507,10.706,71.92
76,2008,87.711,22.127,18.316,8.456,7.829,8.47,4.575,11.338,4.712,2.809,29.144,26.123,12.363,82.6
76,2009,99.346,19.844,16.004,6.557,6.42,6.98,4.218,11.568,7.813,3.103,30.601,27.265,14.379,55.3
76,2010,71.822,15.305,10.754,5.416,4.986,2.1,0.327,7.915,7.305,3.277,32.061,27.477,15.5,64.04
76,2011,83.238,18.142,12.74,6.264,5.722,5.42,2.774,10.958,8.718,2.525,34.196,33.33,17.228,53.48
76,2012,95.644,20.7,15.745,7.064,6.584,5.09,0.911,11.219,7.864,3.114,36.707,35.679,17.673,51.11
76,2013,103.332,19.814,13.873,6.02,6.96,6.2,1.449,12.732,9.257,2.963,39.718,38.689,18.566,52.01
76,2014,100.359,17.845,11.964,4.94,6.29,3.75,-0.544,12.552,9.024,3.178,44.189,43.112,20.175,61.27
76,2015,92.949,15.112,5.968,1.86,5.63,3.75,-0.312,11.227,10.906,3.175,37.87,37.113,23.655,51.2
76,2016,62.237,11.604,3.214,2.16,4.51,2.59,-2.25,8.655,11.983,2.697,37.906,37.285,23.34,44.95
76,2017,53.532,9.502,3.467,2.51,3.38,-0.23,-0.663,6.913,11.975,2.703,40.603,39.554,23.448,50.97
76,2018,59.765,11.759,5.1,3.34,2.298,2.58,3.428,8.946,14.443,2.807,44.258,43.14,20.374,55.28
76,2019,70.17,13.253,7.694,4.24,4.019,3.37,2.905,9.415,11.935,2.945,43.793,40.054,19.524,52.18
76,2020,67.322,13.775,7.51,4.17,4.027,4.14,4.918,9.429,11.991,2.891,44.882,40.895,23.405,55.3
76,2021,46.004,6.872,-1.914,-2.9,-3.314,1.69,1.552,5.689,13.607,3.094,39.449,35.244,28.792,41.91
76,2022,69.74,15.889,10.472,5.92,5.877,6.45,6.824,11.486,12.846,3.071,42.867,38.637,24.188,49.46
76,2023,102.368,22.954,17.636,7.85,8.099,9.84,12.315,18.415,15.805,2.832,45.015,40.592,22.974,62.08
