enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
80,1994,2.013,0.284,0.244,0.155,0.155,0.131,0.178,0.222,0.119,0.002,0.778,0.615,0.001,4.74
80,1995,2.688,0.432,0.387,1.188,0.237,1.227,0.176,0.233,1.196,0.004,2.022,1.802,0.018,5.64
80,1996,3.995,0.499,0.433,0.196,0.265,0.118,0.229,0.306,1.287,0.004,2.274,1.025,0.028,8.17
80,1997,6.776,0.501,0.411,0.22,0.232,0.323,0.267,0.378,1.114,0.004,2.585,1.139,0.021,5.63
80,1998,7.719,0.581,0.486,0.283,0.283,0.306,0.325,0.447,0.822,0.004,2.966,1.474,0.012,6.21
80,1999,11.382,0.569,0.448,-0.14,0.145,0.977,0.565,0.702,1.233,0.004,2.744,1.034,0.481,5.38
80,2000,13.776,27.052,26.888,0.4,0.4,1.001,0.699,0.837,2.324,0.004,2.883,0.749,0.74,6.64
80,2001,15.692,1.075,0.892,0.548,0.535,1.346,0.948,1.13,1.276,0.004,2.906,0.612,0.953,15.34
80,2002,17.767,1.404,1.201,0.7,0.566,1.25,1.088,1.414,1.466,0.008,3.152,0.924,1.283,17.69
80,2003,19.535,1.923,1.722,1.065,0.953,1.662,1.579,1.909,1.529,0.008,3.697,0.787,1.47,20.88
80,2004,24.044,24.286,24.044,1.34,1.34,2.066,2.146,2.431,0,0.008,4.491,4.491,0,29.09
80,2005,28.726,3.216,2.932,1.83,1.627,2.432,2.71,2.981,3.503,0.015,8.334,0.033,3.128,44.02
80,2006,34.449,4.151,3.811,2.31,2.069,2.54,2.681,3.063,4.426,0.015,13.119,-0.326,5.225,62.14
80,2007,50.407,5.459,4.981,2.97,2.574,4.196,4.136,4.655,8.134,0.03,15.472,1.549,5.543,53.73
80,2008,54.583,6.352,5.767,3.42,2.884,3.67,3.678,4.318,7.677,0.03,16.012,1.175,8.786,58.2
80,2009,64.799,5.031,4.241,2.4,2,2.846,2.778,3.415,6.753,0.03,17.094,-1.347,10.525,26.6
80,2010,73.406,6.234,5.394,3.24,2.91,3.938,4.144,4.771,9.624,0.03,20.581,0.434,11.768,30.48
80,2011,83.249,7.894,6.953,4.1,4.1,4.515,4.77,5.546,10.308,0.405,23.78,0.157,12.434,36.11
80,2012,93.709,8.821,7.787,4.73,4.73,5.421,5.429,6.41,11.555,0.613,27.23,1.465,11.201,50.68
80,2013,105.753,10.098,8.847,5.28,5.28,5.906,5.817,6.84,11.224,0.8,30.597,-4.701,16.442,54.24
80,2014,119.735,10.751,9.407,5.5,5.5,5.672,5.556,6.834,9.325,1.053,32.539,-3.339,17.065,75.3
80,2015,132.327,11.919,10.42,5.7,5.7,7.071,6.619,8.165,9.681,1.405,34.019,-4.355,18.245,101.09
80,2016,162.468,13.148,11.397,6.01,6.01,8.613,8.463,10.072,13.548,1.875,35.498,-19.952,33.541,117.64
80,2017,190.95,15.48,13.357,7.25,7.25,8.304,8.357,10.119,13.944,2.375,40.204,-18.751,34.632,160.04
80,2018,204.222,17.72,15.441,10.72,10.72,11.144,11.749,13.803,15.986,2.875,49.304,-15.757,32.706,220.46
80,2019,230.16,20.114,17.644,12.19,12.19,13.427,13.886,15.985,14.921,3.45,53.85,-17.228,38.077,249.12
80,2020,250.678,23.194,20.378,14.33,14.33,16.381,16.969,19.113,15.026,4.14,60.776,-19.401,42.909,293.98
80,2021,267.576,26.323,23.314,16.03,16.03,20.153,20.94,23.074,20.91,4.83,69.229,-17.655,45.948,350.68
80,2022,300.834,28.319,25.073,18.08,18.08,21.029,20.804,23.371,25.406,5.6,76.259,-14.962,48.887,502.14
80,2023,341.223,33.511,29.932,21.18,21.18,24.315,24.636,27.585,29.883,6.4,83.268,-32.1,61.695,530.18
