enterprise_id,years,revenue_per_share,ebitda_per_share,ebit_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
82,1999,22.353,-1.838,-2.841,1.57,1.549,0,1.147,2.63,1.469,0,6.468,6.468,2.346,0
82,2000,23.59,-1.392,-2.385,0.77,1.601,0,0.683,1.97,3.817,0.3,11.327,11.327,2.201,69
82,2001,25.135,-1.581,-2.58,2.5,2.227,0,0.56,2.389,1.72,0.68,8.579,8.579,3.176,58.81
82,2002,26.542,3.468,3.468,2.1,2.014,0,1.889,3.965,1.443,0.76,9.153,9.153,4.614,54.5
82,2003,27.616,4.1,2.807,2.81,2.248,0,3.559,5.023,2.686,0.76,11.101,10.049,4.102,63.08
82,2004,29.464,-2.001,-3.364,2.55,2.507,1.828,2.313,4.026,3.5,0.92,13.155,11.487,3.386,74.55
82,2005,32.159,-3.644,-5,2.93,2.881,2.357,2.817,4.686,4.615,1.12,14.551,12.842,3.95,85.46
82,2006,38.18,6.982,5.508,3.47,3.411,3.488,3.233,5.194,2.772,1.32,15.391,12.444,3.628,75.15
82,2007,43.661,7.777,6.172,3.86,3.809,3.805,2.299,5.132,1.853,1.52,14.469,11.459,3.847,74.98
82,2008,46.747,2.278,0.637,0.36,0.277,-1.198,-1.596,1.056,2.501,1.68,11.703,8.624,10.584,70.72
82,2009,50.378,7.114,5.34,2.94,2.896,4.025,5.665,8.245,1.054,1.8,6.811,4.303,9.916,55.16
82,2010,45.117,5.536,3.796,2.14,2.134,2.401,3.668,5.264,2.108,1.8,7.661,4.965,9.559,57.37
82,2011,49.397,7.414,5.627,3.33,3.328,3.354,2.439,3.824,4.118,1.88,8.051,5.347,10.945,72.58
82,2012,53.587,7.978,6.18,3.84,3.811,4.446,5.114,7.137,4.439,2.08,7.305,4.516,11.556,73.19
82,2013,55.859,3.328,1.411,0.83,0.809,-0.966,5.225,7.447,8.315,2.28,4.882,1.97,13.505,73.73
82,2014,58.479,9.41,7.441,4.61,4.596,4.705,5.526,7.705,5.683,2.48,7.014,3.802,11.779,105.08
82,2015,63.022,7.482,5.4,3.28,3.264,4.41,3.677,6.197,3.628,2.68,2.366,-0.983,11.91,111.17
82,2016,64.418,10.78,8.48,5.35,5.339,6.124,5.575,8.201,5.334,2.92,2.788,-2.819,16.178,96.23
82,2017,69.459,8.71,6.203,3.86,5.506,3.711,3.955,7.298,5.259,3.12,0.466,-5.885,18.512,114.64
82,2018,76.097,11.282,8.674,5.61,5.562,5.346,-4.283,1.69,4.737,3.32,1.157,-5.637,28.276,119.15
82,2019,82.599,10.151,7.614,5.51,5.876,7.874,7.389,14.61,5.868,3.64,3.521,-3.34,26.499,97.53
82,2020,85.264,9.971,7.255,5.11,6.46,3.965,2.6,9.941,6.699,3.84,3.812,-3.166,32.867,117.06
82,2021,97.162,6.02,2.922,1.54,5.835,0.602,5.794,12.008,7.305,4.04,0.76,-5.765,32.1,168.4
82,2022,110.805,23.055,19.691,14.68,10.716,14.447,12.315,17.092,12.18,4.08,16.388,9.285,29.353,214.34
82,2023,114.672,21.391,17.747,13.2,11.032,12.467,10.669,16.119,8.844,6.08,23.039,14.866,27.388,173.84
