,name,enterprise_id
0,AAPL,1
1,ABBV,2
2,ABT,3
3,ACN,4
4,ADBE,5
5,AMAT,6
6,AMD,7
7,AMGN,8
8,AMZN,9
9,ASML,10
10,AVGO,11
11,AXP,12
12,AZN,13
13,BA,14
14,BABA,15
15,BAC,16
16,BUD,17
17,CAT,18
18,CMCSA,19
19,COP,20
20,COST,21
21,CRM,22
22,CSCO,23
23,CVX,24
24,DHR,25
25,DIBS,26
26,DIS,27
27,GE,28
28,GOOG,29
29,HD,30
30,HDB,31
31,HON,32
32,HSBC,33
33,IBM,34
34,IDEXY,35
35,INTC,36
36,INTU,37
37,JNJ,38
38,JPM,39
39,KO,40
40,LIN,41
41,LLY,42
42,MA,43
43,MCD,44
44,META,45
45,MRK,46
46,MS,47
47,MSFT,48
48,NEE,49
49,NFLX,50
50,NKE,51
51,NOW,52
52,NVDA,53
53,NVO,54
54,NVS,55
55,OONF,56
56,ORCL,57
57,PDD,58
58,PEP,59
59,PFE,60
60,PG,61
61,PM,62
62,QCOM,63
63,RTX,64
64,RY,65
65,SAP,66
66,SBUX,67
67,SHEL,68
68,SPGI,69
69,TCEHY,70
70,TM,71
71,TMO,72
72,TMUS,73
73,TSLA,74
74,TSM,75
75,TTE,76
76,TXN,77
77,UBER,78
78,UL,79
79,UNH,80
80,UNP,81
81,UPS,82
82,V,83
83,VZ,84
84,WFC,85
85,WMT,86
86,XOM,87
87,ZIVB,88
