,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,4,2001,13061.872,7817.365,5244.507,40.151,2733.026,0,967.11,3700.136,1544.371,11.824,0,0,0,-749.514,794.857,-502.616,63.23,187.974,480.215,869.429,0,577.188,1057.403,8.095,0,1.132,1.132,934.469,1544.371,414.072,1958.443,14.994
1,4,2002,13105.024,8427.73,4677.294,35.691,3181.319,0,0,3181.319,1495.975,11.415,46.185,-48.864,-2.679,-425.738,1067.558,-491.071,46,0,576.487,576.487,0,-331.592,244.895,1.869,0,0.57,0.56,1023.79,1116.422,285.361,1401.783,10.697
2,4,2003,13397.24,9087.3,4309.94,32.17,2778.051,0,0,2778.051,1531.889,11.434,41.13,-21.016,20.114,60.814,1612.817,-566.099,35.1,0,1046.718,1046.718,0,-548.48,498.238,3.719,0,1.06,1.05,996.755,1633.833,237.205,1871.038,13.966
3,4,2004,15113.582,10497.265,4616.317,30.544,2828.8,0,0,2828.8,1787.517,11.827,59.939,-22.044,37.895,-26.842,1798.57,-575.543,32,0,1223.027,690.828,0,-532.199,690.828,4.571,0,1.25,1.22,1002.813,1787.517,257.08,2044.597,13.528
4,4,2005,17094.42,12002.221,5092.199,29.789,3070.218,0,0,3070.218,2021.981,11.828,0,0,0,184.021,2206.002,-697.097,31.6,0,1508.905,940.474,0,-568.431,940.474,5.502,0,1.6,1.56,960.854,2021.981,282.073,2304.054,13.478
5,4,2006,18228.366,13234.327,4994.039,27.397,3200.946,0,0,3200.946,1793.093,9.837,0,0,0,130.574,1923.667,-490.535,25.5,0,1433.132,973.329,0,-459.803,973.329,5.34,0,1.65,1.59,894.258,1793.093,320.61,2113.703,11.596
6,4,2007,21452.747,15411.274,6041.473,28.162,3522.488,0,0,3522.488,2518.985,11.742,0,0,0,99.933,2618.918,-895.861,34.21,0,1723.057,1243.148,0,-479.909,1243.148,5.795,0,2.06,1.97,861.923,2518.985,444.499,2963.484,13.814
7,4,2008,25313.826,18128.241,7185.585,28.386,4151.131,0,0,4151.131,3034.454,11.987,114.621,-22.704,91.917,-18.609,3107.762,-910.574,29.3,0,2197.188,2197.188,0,-505.437,1691.751,6.683,0,2.77,2.65,823.207,3130.466,491.421,3621.887,14.308
8,4,2009,23170.968,16329.854,6841.114,29.525,3947.976,0,0,3947.976,2893.138,12.486,49.922,-14.121,35.801,-251.203,2677.736,-739.59,27.62,0,1938.146,1938.146,0,-348.183,1589.963,6.862,0,2.55,2.44,786.507,2691.857,498.591,3190.448,13.769
9,4,2010,23094.078,15843.331,7250.747,31.397,4326.364,0,0,4326.364,2924.383,12.663,29.931,-14.677,15.254,-25.268,2914.369,-853.91,29.3,0,2060.459,2060.459,0,-279.803,1780.656,7.71,0,2.79,2.66,766.579,2929.046,474.688,3403.734,14.739
