,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,6,1994,1659.8,891.5,768.3,46.289,242,189.1,-2,429.1,339.2,20.436,0,0,0,-4.7,334.5,-117.1,35.01,3.3,220.7,213.7,0,0,220.7,13.297,0,0.165,0.165,1360.336,339.2,59.1,398.3,23.997
1,6,1995,3061.9,1652,1409.9,46.047,386.2,329.7,0,715.9,694,22.666,0,0,0,4.5,698.5,-244.5,35,0.1,454.1,454.1,0,0,454.1,14.831,0,0.32,0.32,2837.568,694,83.2,777.2,25.383
2,6,1996,4144.8,2046.2,2098.6,50.632,1021.1,481.4,-332.5,1170,928.6,22.404,0,0,0,-6.1,922.5,-322.9,35,0,599.6,599.6,0,0,599.6,14.466,0,0.42,0.41,1462.439,928.6,148.9,1077.5,25.996
3,6,1997,4074.3,2173.4,1900.9,46.656,566.6,567.6,16.3,1150.5,750.4,18.418,0,0,0,48.5,798.9,-300.4,37.6,0,498.5,498.5,0,0,498.5,12.235,0,0.33,0.33,3022.704,750.4,219.4,969.8,23.803
4,6,1998,4330.014,2020.202,2309.812,53.344,626.311,697.291,293.499,1617.101,692.711,15.998,0,0,0,-221.09,471.621,-172.956,36.67,-20.996,277.669,298.665,-20.996,0,277.669,6.413,0,0.158,0.153,1514.032,692.711,293.499,986.21,22.776
5,6,1999,5096.302,2388.674,2707.628,53.129,695.296,740.114,288.409,1723.819,983.809,19.304,0,0,0,39.535,1023.344,-330.458,32.29,20.996,713.882,692.886,20.996,0,713.882,14.008,0,0.48,0.455,1641.16,983.809,288.409,1272.218,24.964
6,6,2000,9564.412,4708.684,4855.728,50.769,960.753,1107.922,-160.791,1907.884,2947.844,30.821,0,0,0,0,2947.844,-884.292,30,0,2063.552,2063.552,0,0,2063.552,21.575,0,1.28,1.2,1718.338,2947.844,361.97,3309.814,34.606
7,6,2001,7343.248,4091.215,3252.033,44.286,901.924,1198.799,221.164,2321.887,930.146,12.667,0,0,0,173.656,1103.802,-328.574,29.77,0,775.228,775.228,0,0,775.228,10.557,0,0.31,0.3,1694.658,930.146,386.971,1317.117,17.936
8,6,2002,5062.312,3005.651,2056.661,40.627,708.955,1052.269,0,1761.224,295.437,5.836,0,0,0,45.074,340.511,-71.507,21,0,269.004,269.004,0,0,269.004,5.314,0,0.16,0.16,1701.557,295.437,387.526,682.963,13.491
9,6,2003,4477.291,2872.836,1604.455,35.835,625.865,920.618,0,1546.483,57.972,1.295,0,0,0,-269.528,-211.556,62.409,29.5,0,-149.147,-149.147,0,0,-149.147,-3.331,0,-0.09,-0.09,1657.189,57.972,384.391,442.363,9.88
10,6,2004,8013.053,4311.808,3701.245,46.19,751.621,991.873,26.627,1770.121,1931.124,24.1,0,0,0,-101.874,1829.25,-477.947,26.13,0,1351.303,1351.303,0,0,1351.303,16.864,0,0.8,0.78,1721.645,1931.124,356.985,2288.109,28.555
11,6,2005,6991.823,3905.949,3085.874,44.135,697.402,940.507,0,1637.909,1447.965,20.709,0,0,0,133.604,1581.569,-371.669,23.5,0,1209.9,1209.9,0,0,1209.9,17.305,0,0.753,0.73,1657.397,1447.965,300.584,1748.549,25.009
12,6,2006,9167.014,4875.212,4291.802,46.818,906.742,1152.326,572.656,2631.724,1660.078,18.109,0,0,0,506.893,2166.971,-650.308,30.01,0,1516.663,1516.663,0,0,1516.663,16.545,0,0.98,0.97,1565.072,1660.078,270.413,1930.491,21.059
13,6,2007,9734.856,5242.413,4492.443,46.148,952.443,1142.073,0,2094.516,2397.927,24.632,136.149,-38.631,97.518,-55.792,2439.653,-729.457,29.9,0,1710.196,1710.196,0,0,1710.196,17.568,0,1.22,1.2,1427.002,2478.284,268.334,2746.618,28.214
14,6,2008,8129.24,4686.412,3442.828,42.351,965.164,1104.122,0,2069.286,1373.542,16.896,109.32,-20.506,88.814,-53.638,1408.718,-447.972,31.8,0,960.746,960.746,0,0,960.746,11.818,0,0.71,0.7,1374.507,1429.224,320.051,1749.275,21.518
15,6,2009,5013.607,3582.802,1430.805,28.538,734.518,934.115,0,1668.633,-237.828,-4.744,48.58,-21.304,27.276,-275.251,-485.803,180.476,37.15,0,-305.327,-305.327,0,0,-305.327,-6.09,0,-0.23,-0.23,1333.091,-464.499,291.203,-173.296,-3.457
16,6,2010,9549,5834,3715,38.905,942,1143,0,2085,1630,17.07,37,-21,16,-259,1387,-449,32.37,0,938,938,0,0,938,9.823,0,0.7,0.7,1349,1408,305,1713,17.939
