,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,8,1994,1354.9,169.3,1185.6,87.505,583.7,0,50.7,634.4,551.2,40.682,0,0,0,41.2,592.4,-217.8,36.77,8.7,383.3,374.6,0,0,383.3,28.29,0,0.35,0.35,1095.143,551.2,50.7,601.9,44.424
1,8,1995,1620,163.6,1456.4,89.901,359.8,323.6,74.5,757.9,698.5,43.117,0,0,0,-110.2,588.3,-268.6,45.66,0,319.7,319.7,0,0,319.7,19.735,0,0.286,0.284,1128.792,698.5,74.5,773,47.716
2,8,1996,1903.8,188.7,1715.1,90.088,418.4,451.7,84.2,954.3,760.8,39.962,0,0,0,33.6,794.4,-256.7,32.31,0,537.7,537.7,0,0,537.7,28.244,0,0.48,0.47,1141.2,760.8,84.2,845,44.385
3,8,1997,2198.1,182.9,2015.2,91.679,470.6,528.3,100.3,1099.2,916,41.672,0,0,0,46.3,962.3,-282.5,29.36,0,679.8,679.8,0,0,679.8,30.927,0,0.605,0.605,1123.6,916,100.3,1016.3,46.235
4,8,1998,2345.7,183.7,2162,92.169,483.8,630.8,117.1,1231.7,930.3,39.66,0,0,0,-68.9,861.4,-217.1,25.2,0,644.3,644.3,0,0,644.3,27.467,0,0.61,0.588,1098.4,930.3,117.1,1047.4,44.652
5,8,1999,2642.3,201.4,2440.9,92.378,515.4,663.3,143.8,1322.5,1118.4,42.327,0,0,0,106,1224.4,-361.2,29.5,0,863.2,863.2,0,0,863.2,32.669,0,0.845,0.815,1057.4,1118.4,143.8,1262.2,47.769
6,8,2000,3204.2,225.3,2978.9,92.969,654.3,822.8,176.8,1653.9,1325,41.352,0,0,0,241.2,1566.2,-469.8,30,0,1096.4,1096.4,0,0,1096.4,34.218,0,1.07,1.02,1078.3,1325,176.8,1501.8,46.87
7,8,2001,3448.4,196.6,3251.8,94.299,826.9,845,211.8,1883.7,1368.1,39.674,0,0,0,306.2,1674.3,-535.8,32,0,1138.5,1138.5,0,0,1138.5,33.015,0,1.11,1.05,1084.7,1368.1,211.8,1579.9,45.816
8,8,2002,4015.7,443,3572.7,88.968,970.7,865,205.8,2041.5,1531.2,38.13,0,0,0,155.1,1686.3,-566.6,33.6,0,1119.7,1119.7,0,0,1119.7,27.883,0,1.07,1.03,1084.4,1531.2,265.9,1797.1,44.752
9,8,2003,5523,736,4787,86.674,1449,1117,14,2580,2207,39.96,0,0,0,-2892,-685,-707,-103.21,0,-1392,-1392,0,0,-1392,-25.204,0,-1.21,-1.21,1153.5,2207,447,2654,48.054
