,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,13,1994,6567.659,0,6567.659,0,0,767.706,4780.783,5548.489,1019.17,15.518,50.293,-202.651,-152.358,69.523,936.335,-279.569,29.86,0,656.766,656.766,0,-19.23,637.536,9.707,0,0.375,0.375,1700,1138.986,254.423,1393.409,21.216
1,13,1995,7004.049,0,7004.049,0,0,809.843,5001.329,5811.172,1192.877,17.031,28.141,-117.255,-89.114,-73.48,1030.283,-328.315,31.87,0,701.968,701.968,0,-9.38,692.588,9.888,0,0.366,0.366,1892,1147.538,276.722,1477.417,21.094
2,13,1996,7568.453,0,7568.453,0,0,848.322,5038.939,5887.261,1681.192,22.213,40.176,-95.803,-55.628,-669.077,956.487,-414.117,43.3,0,542.37,542.37,0,-23.178,519.192,6.86,0,0.275,0.275,1892,1052.29,299.771,1352.061,17.864
3,13,1997,9184.163,0,9184.163,0,0,1030.928,6284.892,7315.82,1868.343,20.343,71.925,-109.6,-37.675,-160.976,1669.692,-548.002,32.82,0.001,1121.691,1121.691,0,-20.55,1101.141,11.99,0,0.581,0.581,1894,1779.292,371.614,2150.906,23.42
4,13,1998,8586.259,0,8586.259,0,0,1079.482,5694.967,6774.449,1811.81,21.101,76.043,-100.84,-24.797,0,1787.013,-570.323,31.91,0,1216.69,1216.69,0,-9.919,1206.771,14.055,0,0.636,0.635,1902,1887.853,357.072,2244.925,26.146
5,13,1999,11318,2031,9287,82.055,3936,2103,821,6860,2427,21.444,36.518,-106.233,-69.715,766.715,3124,-903,28.91,393,2614,2221,332,-3,2611,23.069,0,0.735,0.73,3558,2427,821,3248,28.698
6,13,2000,15134,3248,11886,78.538,4915,2472,1069,8456,3430,22.664,164.918,-166.918,-1.999,127.999,3556,-1048,29.47,-1364,1144,2508,222,-1,1143,7.553,0,0.32,0.32,3552,3430,1069,4499,29.728
7,13,2001,18115.964,0,18115.964,0,0,2894.611,10747.999,13642.61,4473.354,24.693,268.849,-131.437,137.412,-760.246,3850.52,-1299.438,33.75,-0.001,2551.081,2551.081,0,-10.455,2540.626,14.024,0,0.717,0.717,3536,3981.957,929.024,4910.981,27.109
8,13,2002,16480,4456,12024,72.961,5549,2687,-368,7868,4156,25.218,284.132,-134.807,149.325,-47.325,4258,-1153,27.08,-127,2978,3105,0,-11,2967,18.004,0,0.825,0.825,3516,4156,860,5016,30.437
9,13,2003,17841,4520,13321,74.665,6139,3069,107,9315,4006,22.454,0,0,0,357,4363,-1177,26.98,-326,2860,3186,0,-24,2836,15.896,0,0.82,0.82,3466,4006,960,4966,27.835
10,13,2004,18849,4463,14386,76.322,7555,3012,-188,10379,4007,21.258,0,0,0,70,4077,-1033,25.34,0,3044,3022,0,-22,3022,16.033,0,0.885,0.885,3418,4007,1293,5300,28.118
11,13,2005,21426,5193,16233,75.763,8445,3467,-226,11686,4547,21.222,0,0,0,297,4844,-1161,23.97,0,3683,3664,0,-19,3664,17.101,0,1.09,1.09,3350,4547,1268,5815,27.14
12,13,2006,23950,5356,18594,77.637,8906,3379,-193,12092,6502,27.148,0,0,0,165,6667,-1943,29.14,0,4724,4706,0,-18,4706,19.649,0,1.455,1.455,3236,6502,1327,7829,32.689
13,13,2007,26475,5559,20916,79.003,9322,3902,-524,12700,8216,31.033,0,0,0,327,8543,-2480,29.03,0,6063,6043,0,-20,6043,22.825,0,1.93,1.925,3140,8216,1345,9561,36.113
14,13,2008,29559,6419,23140,78.284,10612,5162,-728,15046,8094,27.383,0,0,0,-111,7983,-2356,29.51,0,5627,5595,0,-32,5595,18.928,0,1.87,1.865,2996,8094,1856,9950,33.662
15,13,2009,31601,6598,25003,79.121,11204,5179,-524,15859,9144,28.936,854,-1317,-463,0,8681,-2551,29.39,0,6130,6130,0,-29,6101,19.306,0,2.1,2.1,2906,9998,2620,12618,39.929
16,13,2010,32804,5775,27029,82.395,11630,4409,0,16039,10990,33.502,462,-1053,-591,408,10807,-3263,30.19,0,7544,7544,0,-23,7521,22.927,0,2.595,2.595,2900,11860,2087,13947,42.516
17,13,2011,33269,6389,26880,80.796,10780,5318,-770,15328,11552,34.723,42,-1022,-529,-46,10977,-2896,26.38,0,8081,8081,0,-28,8053,24.206,0,2.8,2.785,2892,11999,2741,14740,44.306
18,13,2012,33591,6026,27565,82.061,11507,5523,-744,16286,11279,33.577,46,-554,-508,1512,12283,-2333,18.99,0,9950,9950,0,-33,9917,29.523,0,3.645,3.625,2734,12837,2550,15387,45.807
19,13,2013,27973,5393,22580,80.721,10159,5243,-707,14695,7885,28.188,42,-519,-477,238,7646,-1376,18,0,6270,6270,0,-30,6240,22.307,0,2.475,2.47,2528,8165,2518,10683,38.19
20,13,2014,25806,5261,20545,79.613,12512,4821,-487,16846,3699,14.334,32,-492,-460,28,3267,-696,21.3,0,2571,2571,0,-15,2556,9.905,0,1.02,1.02,2508,3759,4583,8342,32.326
21,13,2015,26547,5842,20705,77.994,13324,5579,-588,18315,2390,9.003,33,-963,-930,-214,1246,-11,0.88,0,1235,1235,0,-2,1233,4.645,0,0.49,0.49,2528,2209,3282,5491,20.684
22,13,2016,24708,4646,20062,81.196,11516,5997,-518,16995,3067,12.413,36,-1039,-1003,1005,3069,-243,7.92,0,2826,2826,0,-1,2825,11.434,0,1.115,1.115,2530,4108,2852,6960,28.169
23,13,2017,23002,4126,18876,82.062,9739,5890,-325,15304,3572,15.529,59,-1367,-1308,1288,3552,-146,4.11,0,3406,3406,0,93,3499,15.212,0,1.385,1.38,2532,4919,2357,7276,31.632
24,13,2018,22465,4318,18147,80.779,10543,5757,-205,16095,2052,9.134,109,-1360,-1251,1426,2227,641,-28.78,0,2868,2868,0,133,3001,13.359,0,1.185,1.185,2534,3587,3036,6623,29.481
25,13,2019,22090,4936,17154,77.655,10982,5932,-276,16638,516,2.336,138,-1366,-1228,2705,1993,57,-2.86,0,2050,2050,0,105,2155,9.756,0,0.85,0.85,2534,3359,3753,7112,32.196
26,13,2020,24384,4921,19463,79.819,11985,6059,-319,17725,1738,7.128,165,-1402,-1237,1047,1548,-321,20.74,0,1227,1227,0,108,1335,5.475,0,0.515,0.515,2602,2950,3762,6712,27.526
27,13,2021,26617,5299,21318,80.092,11896,5991,-485,17402,3916,14.712,83,-1272,-1189,1189,3916,-772,19.71,0,3144,3144,0,52,3196,12.007,0,1.22,1.22,2626,5188,2896,8084,30.372
28,13,2022,37417,12437,24980,66.761,15585,9736,-207,25114,-134,-0.358,43,-1276,-1233,1102,-265,380,143.4,0,115,115,0,-3,112,0.299,0,0.04,0.04,2854,1011,4102,5113,13.665
29,13,2023,44351,12391,31960,72.062,17935,9762,-298,27399,4561,10.284,81,-1330,-1249,-811,2501,792,-31.67,0,3293,3293,0,-5,3288,7.414,0,1.06,1.055,3120,3831,5254,9085,20.484
