,enterprise_id,years,interest_income,interest_expense,net_interest_income_(for_banks),non_interest_income,revenue,credit_losses_provision,"selling,_general,_&_admin._expense",other_noninterest_expense,total_noninterest_expense,special_charges,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),"depreciation,_depletion_and_amortization"
0,16,1994,8207,-3570,4637,2185,6822,430,0,4401,4401,0,0,1991,-690,34.66,200,1501,1301,0,0,1501,22.002,10,1.445,1.43,1042.657,352
1,16,1995,10529,-5318,5211,2596,7807,310,0,4942,4942,0,0,2555,-865,33.86,0,1690,1690,0,0,1690,21.647,10,1.53,1.515,1108.911,406
2,16,1996,13220,-7773,5447,3089,8536,382,0,5163,5163,0,0,2991,-1041,34.8,0,1950,1950,0,0,1950,22.844,8,1.78,1.76,1103.409,399
3,16,1997,33636,-16682,16954,9751,26705,1645,8090,7261,15351,398,0,9311,-3498,37.57,0,5813,5813,0,0,5813,21.768,202,2,1.96,1202.778,1527
4,16,1998,37333,-18901,18432,12027,30459,1904,9358,8267,17625,374,0,10556,-4014,38.03,0,6542,6542,0,0,6542,21.478,111,1.855,1.805,3466.388,1963
5,16,1999,38588,-20290,18298,13206,31504,2920,9993,8748,18741,1795,0,8048,-2883,35.82,0,5165,5165,0,0,5165,16.395,25,1.485,1.45,3544.828,1998
6,16,2000,37323,-19086,18237,14309,32546,1820,9845,8141,17986,525,0,12215,-4333,35.47,0,7882,7882,0,0,7882,24.218,6,2.28,2.24,3516.071,1917
7,16,2001,43165,-24816,18349,14607,32956,2535,10021,8062,18083,550,0,11788,-4271,36.23,0,7517,7517,0,0,7517,22.809,6,2.28,2.26,3323.451,1784
8,16,2002,38293,-18003,20290,14823,35113,4287,10511,8893,19404,1305,0,10117,-3325,32.87,0,6792,6792,0,0,6792,19.343,5,2.13,2.09,3247.368,1732
9,16,2003,32161,-11238,20923,14201,35124,3697,10435,8001,18436,0,0,12991,-3742,28.8,0,9249,9249,0,0,9249,26.332,5,3.04,2.955,3130.934,1104
10,16,2004,31643,-10179,21464,17363,38827,2839,11431,8696,20127,0,0,15861,-5051,31.85,0,10810,10810,0,0,10810,27.842,4,3.635,3.565,3030.356,1107
11,16,2005,42953,-14993,27960,21705,49665,2769,21301,5093,26394,618,1024,20908,-6961,33.29,0,13947,13947,0,0,13947,28.082,16,3.71,3.64,3823.943,1636
12,16,2006,58626,-27889,30737,24226,54963,4014,22743,5526,28269,412,2212,24480,-8015,32.74,0,16465,16465,0,0,16465,29.957,18,4.1,4.04,4068.14,1768
13,16,2007,78585,-43991,34594,34993,69587,5010,28000,6988,34988,805,3189,31973,-10840,33.9,0,21133,21133,0,0,21133,30.369,22,4.66,4.59,4595.896,2869
14,16,2008,87304,-52863,34441,28328,62769,8385,29835,7279,37114,410,4064,20924,-5942,28.4,0,14982,14982,0,0,14982,23.869,182,3.32,3.29,4463.213,2844
15,16,2009,85684,-40324,45360,26883,72243,26825,31887,8707,40594,935,539,4428,-420,9.49,0,4008,4008,0,0,4008,5.548,1452,0.54,0.54,4596.428,3319
16,16,2010,77916,-30807,47109,62520,109629,48570,52372,11620,63992,2721,10014,4360,1916,-43.94,0,6276,6276,0,0,6276,5.725,8480,-0.29,-0.29,7728.57,4314
17,16,2011,75497,-23974,51523,53437,104960,28435,57294,11594,68888,14220,5260,-1323,-915,-69.16,0,-2238,-2238,0,0,-2238,-2.132,1357,-0.37,-0.37,9790.472,3912
18,16,2012,66236,-21620,44616,41478,86094,13410,64474,11978,76452,3822,7360,-230,1676,728.7,0,1446,1446,0,0,1446,1.68,1361,0.01,0.01,10254.824,3485
19,16,2013,57400,-16744,40656,40608,81264,8169,56216,11677,67893,4200,2070,3072,1116,-36.33,0,4188,4188,0,0,4188,5.154,1428,0.26,0.25,10840.854,3038
20,16,2014,55020,-12755,42265,43776,86041,3556,58623,10591,69214,6100,9001,16172,-4741,29.32,0,11431,11431,0,0,11431,13.286,1349,0.94,0.9,11491.418,2683
21,16,2015,51714,-10935,40779,45115,85894,2275,65863,9793,75656,0,0,7963,-2443,30.68,0,5520,5520,0,0,5520,6.427,1044,0.43,0.42,10584.535,2522
22,16,2016,49507,-10549,38958,44007,82965,3161,49221,8396,57617,0,0,22187,-6277,28.29,0,15910,15910,0,0,15910,19.177,1483,1.38,1.31,11236.23,2389
23,16,2017,51057,-9961,41096,42605,83701,3597,47270,7813,55083,0,0,25021,-7199,28.77,0,17822,17822,0,0,17822,21.293,1682,1.57,1.49,11046.8,2241
24,16,2018,57579,-12340,45239,41887,87126,3396,41835,12682,54517,0,0,29213,-10981,37.59,0,18232,18232,0,0,18232,20.926,1614,1.63,1.56,10778.4,2103
25,16,2019,66769,-18607,48162,42858,91020,3282,40520,12634,53154,0,0,34584,-6437,18.61,0,28147,28147,0,0,28147,30.924,1451,2.64,2.61,10236.9,2063
26,16,2020,71236,-22345,48891,42353,91244,3590,42069,12831,54900,0,0,32754,-5324,16.25,0,27430,27430,0,0,27430,30.062,1432,2.77,2.75,9442.9,1729
27,16,2021,51585,-8225,43360,42168,85528,11320,41156,14057,55213,0,0,18995,-1101,5.8,0,17894,17894,0,0,17894,20.922,1421,1.88,1.87,8796.9,1843
28,16,2022,47672,-4738,42934,46179,89113,-4594,45049,14682,59731,0,0,33976,-1998,5.88,0,31978,31978,0,0,31978,35.885,1421,3.6,3.57,8558.4,1898
29,16,2023,72565,-20103,52462,42488,94950,2543,45946,15492,61438,0,0,30969,-3441,11.11,0,27528,27528,0,0,27528,28.992,1513,3.21,3.19,8167.5,1978
