,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,19,1994,1375.3,0,1375.3,0,0,0,0,0,1375.3,100,0,0,0,-1375.3,0,0,0,-87,-87,-75.3,0,0,-87,-6.326,0,-0.645,-0.645,134.816,1375.3,341.5,1716.8,124.831
1,19,1995,1375.3,0,1375.3,0,0,0,0,0,1375.3,100,0,0,0,-1375.3,0,0,0,-87,-87,-75.3,0,0,-87,-6.326,0,-0.063,-0.063,1372.998,1375.3,336.5,1711.8,124.467
2,19,1996,3362.9,1704.2,1658.7,49.324,639.9,0,689,1328.9,329.8,9.807,0,0,0,-325.5,4.3,-42.1,979.07,-55.8,-93.6,-37.8,0,49.7,-43.9,-1.305,0,-0.03,-0.03,1462.602,329.8,689,1018.8,30.295
3,19,1997,3612.3,2026,1586.3,43.914,539.3,0,581.1,1120.4,465.9,12.898,0,0,0,-363.3,102.6,-109,106.24,-95.1,-101.5,-6.4,-46.1,48,-53.5,-1.481,0.7,-0.037,-0.037,1477.443,465.9,581.1,1047,28.984
4,19,1998,4467.7,2474.3,1993.4,44.618,700.3,0,826.5,1526.8,466.6,10.444,0,0,0,-579.1,-112.5,-70.4,-62.58,-132,-314.9,-182.9,-25.6,76.2,-238.7,-5.343,14.8,-0.127,-0.127,2000.316,466.6,826.5,1293.1,28.943
5,19,1999,5419,3146,2273,41.945,776.3,0,939.6,1715.9,557.1,10.281,0,0,0,1044.6,1601.7,-594,37.09,-79.9,927.8,1007.7,-31.4,44.3,972.1,17.939,29.1,0.427,0.4,2356.322,557.1,939.6,1496.7,27.62
6,19,2000,6529.2,3723.1,2806.1,42.978,926,0,1216,2142,664.1,10.171,0,0,0,840.5,1504.6,-723.7,48.1,280.2,1061.1,780.9,335.8,4.6,1065.7,16.322,29.7,0.46,0.44,2353.369,664.1,1216,1880.1,28.795
7,19,2001,8218.6,4497.4,3721.2,45.278,1250.9,0,2631.3,3882.2,-161,-1.959,0,0,0,3647.4,3486.4,-1441.3,41.34,91.7,2136.8,2045.1,0,-115.3,2021.5,24.597,23.5,0.747,0.71,4267.016,-161,2631.3,2470.3,30.057
8,19,2002,9674,5420,4254,43.974,1553,0,3448,5001,-747,-7.722,0,0,0,1443,696,-470,67.53,543,769,226,0,-160,609,6.295,0,0.213,0.21,4338.081,-747,3448,2701,27.92
9,19,2003,8102,3012,5090,62.824,2254,0,1915,4169,921,11.368,0,0,0,-1475,-554,128,23.1,274,-152,-469,274,-43,-195,-2.407,0,-0.056,-0.056,4992.504,921,1915,2836,35.004
10,19,2004,18348,7041,11307,61.625,4915,0,4438,9353,1954,10.65,0,0,0,-2091,-137,16,11.68,3458,3337,-218,3458,-97,3240,17.659,0,0.475,0.475,6764.618,1954,4438,6392,34.838
11,19,2005,19221,7036,12185,63.394,5005,0,4351,9356,2829,14.718,0,0,0,-1086,1743,-801,45.96,42,984,928,42,-14,970,5.047,0,0.145,0.145,6750,2829,4623,7452,38.77
12,19,2006,21075,7513,13562,64.351,5490,0,4551,10041,3521,16.707,0,0,0,-1801,1720,-873,50.76,100,947,828,100,-19,928,4.403,0,0.093,0.093,9936,3521,4804,8325,39.502
13,19,2007,24966,9010,15956,63.911,6514,0,4823,11337,4619,18.501,0,0,0,-1025,3594,-1347,37.48,298,2545,2235,298,-12,2533,10.146,0,0.4,0.395,6360,4619,4962,9581,38.376
14,19,2008,30895,11175,19720,63.829,7934,0,6208,14142,5578,18.055,0,0,0,-1229,4349,-1800,41.39,0,2549,2587,0,38,2587,8.374,0,0.42,0.415,6384,5578,6208,11786,38.149
15,19,2009,34423,13639,20784,60.378,7652,0,6400,14052,6732,19.557,0,-2439,-2439,-235,4058,-1533,37.78,0,2525,2525,0,22,2547,7.399,0,0.435,0.43,5904,6497,6400,12897,37.466
16,19,2010,35756,14380,21376,59.783,7662,0,6500,14162,7214,20.176,0,-2348,-2348,240,5106,-1478,28.95,0,3628,3628,0,10,3638,10.175,0,0.635,0.63,5770,7454,6500,13954,39.026
17,19,2011,37937,8537,29400,77.497,14804,0,6616,21420,7980,21.035,0,-2156,-2156,280,6104,-2436,39.91,0,3668,3668,0,-33,3635,9.582,0,0.645,0.645,5640,8260,6803,15063,39.705
18,19,2012,55842,16596,39246,70.28,20889,0,7636,28525,10721,19.199,0,-2505,-2505,-9,8207,-3050,37.16,0,5157,5157,0,-997,4160,7.45,0,0.755,0.75,5556,10712,14423,25135,45.011
19,19,2013,62570,19929,42641,68.149,22664,0,7798,30462,12179,19.465,0,-2521,-2521,1951,11609,-3744,32.25,0,7865,7865,0,-1662,6203,9.914,0,1.16,1.14,5434,14130,7798,21928,35.046
20,19,2014,64657,19670,44987,69.578,23553,0,7871,31424,13563,20.977,0,-2574,-2574,126,11115,-3980,35.81,0,7135,7135,0,-319,6816,10.542,0,1.3,1.28,5330,13689,7871,21560,33.345
21,19,2015,68775,20912,47863,69.594,24940,0,8019,32959,14904,21.671,0,-2617,-2617,178,12465,-3873,31.07,0,8592,8592,0,-212,8380,12.185,0,1.62,1.6,5240,15082,8019,23101,33.589
22,19,2016,74510,22550,51960,69.736,27282,0,8680,35962,15998,21.471,0,-2702,-2702,76,13372,-4959,37.08,0,8413,8413,0,-250,8163,10.956,0,1.64,1.62,5035,16074,8680,24754,33.222
23,19,2017,80736,24348,56388,69.842,30131,0,9426,39557,16831,20.847,0,-2942,-2942,437,14326,-5298,36.98,0,9028,9028,0,-350,8678,10.749,0,1.8,1.78,4875,17268,9426,26694,33.063
24,19,2018,85029,25355,59674,70.181,31968,0,9688,41656,18018,21.19,0,-3086,-3086,421,15353,7569,-49.3,0,22922,22922,0,-187,22735,26.738,0,4.83,4.75,4786,18439,9688,28569,33.599
25,19,2019,94507,29692,64815,68.582,35130,0,10676,45806,19009,20.114,0,-3542,-3542,-225,15242,-3380,22.18,0,11862,11862,0,-131,11731,12.413,0,2.56,2.53,4640,18784,10676,29801,31.533
26,19,2020,108942,34440,74502,68.387,40424,0,12953,53377,21125,19.391,0,-4567,-4567,438,16996,-3673,21.61,0,13323,13323,0,-266,13057,11.985,0,2.87,2.83,4610,21563,12953,34516,31.683
27,19,2021,103564,33121,70443,68.019,39850,0,13100,52950,17493,16.891,0,-4588,-4588,1160,14065,-3364,23.92,0,10701,10701,0,-167,10534,10.172,0,2.3,2.28,4624,18653,13100,31753,30.66
28,19,2022,116385,38450,77935,66.963,43314,0,13804,57118,20817,17.886,0,-4281,-4281,2557,19093,-5259,27.54,0,13834,13834,0,325,14159,12.166,0,3.09,3.04,4654,23374,13804,37178,31.944
29,19,2023,121427,38213,83214,68.53,46769,0,13821,60590,22624,18.632,0,-3896,-3896,-9444,9284,-4359,46.95,0,4925,4925,0,445,5370,4.422,0,1.22,1.21,4430,13180,13821,27001,22.236
