,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,20,1994,12545,9976,2569,20.478,597,0,1124,1721,848,6.76,0,0,0,-310,538,-293,54.46,-2,243,245,0,0,243,1.937,0,0.465,0.46,522.03,848,841,1689,13.464
1,20,1995,12367,9710,2657,21.485,478,0,1065,1543,1114,9.008,0,0,0,-262,852,-368,43.19,0,484,484,0,0,484,3.914,0,0.925,0.92,523.058,1114,794,1908,15.428
2,20,1996,13521,10523,2998,22.173,500,0,1137,1637,1361,10.066,0,0,0,-297,1064,-595,55.92,0,469,469,0,0,469,3.469,0,0.895,0.89,523.978,1361,871,2232,16.508
3,20,1997,15807,12228,3579,22.642,509,0,1205,1714,1865,11.799,0,0,0,307,2172,-869,40.01,0,1303,1303,0,0,1303,8.243,0,2.48,2.455,530.512,1865,941,2806,17.752
4,20,1998,15424,11509,3915,25.383,660,0,1058,1718,2197,14.244,0,0,0,-297,1900,-941,49.53,0,959,959,0,0,959,6.218,0,1.82,1.805,530.838,2197,795,2992,19.398
5,20,1999,11845,8978,2867,24.204,697,0,1125,1822,1045,8.822,0,0,0,-624,421,-184,43.71,0,237,237,0,0,237,2.001,0,0.46,0.455,520.304,1045,899,1944,16.412
6,20,2000,13852,10435,3417,24.668,665,0,1133,1798,1619,11.688,0,0,0,-434,1185,-576,48.61,0,609,609,0,0,609,4.397,0,1.205,1.195,508.866,1619,902,2521,18.2
7,20,2001,22539,13930,8609,38.196,869,0,1630,2499,6110,27.109,0,0,0,-2362,3748,-1900,50.69,14,1862,1848,14,0,1862,8.261,0,3.66,3.63,512.948,6110,1169,7279,32.295
8,20,2002,25030,16351,8679,34.674,919,0,4084,5003,3676,14.686,0,0,0,-435,3241,-1640,50.6,113,1714,1601,32,-53,1661,6.636,0,2.835,2.815,590.032,3676,1344,5020,20.056
9,20,2003,57201,42521,14680,25.664,2542,0,2924,5466,9214,16.108,0,0,0,-7073,2141,-1443,67.4,-945,-247,698,-993,-48,-295,-0.516,0,-0.305,-0.305,971.01,9214,2223,11437,19.994
10,20,2004,105097,75220,29877,28.428,2179,0,4459,6638,23239,22.112,0,0,0,-14902,8337,-3744,44.91,162,4755,4593,237,-20,4735,4.505,0,3.48,3.455,1370.866,23239,3485,26724,25.428
11,20,2005,118719,98257,20462,17.236,2128,0,4928,7056,13406,11.292,0,0,0,963,14369,-6262,43.58,54,8161,8107,22,-32,8129,6.847,0,5.88,5.8,1401.3,13406,3798,17204,14.491
12,20,2006,183364,133487,49877,27.201,2908,0,22609,25517,24360,13.285,0,0,0,-813,23547,-9907,42.07,-78,13562,13640,-23,-33,13529,7.378,0,9.71,9.55,1417.028,24360,4253,28613,15.605
13,20,2007,188523,129312,59211,31.408,3310,0,25471,28781,30430,16.141,0,0,0,-2097,28333,-12783,45.12,76,15626,15550,0,-76,15550,8.248,0,9.8,9.66,1609.53,30430,7284,37714,20.005
14,20,2008,194495,134112,60383,31.046,3313,0,27288,30601,29782,15.313,0,0,0,-6510,23272,-11381,48.9,87,11978,11891,0,-87,11891,6.114,0,7.32,7.22,1645.919,29782,8298,38080,19.579
15,20,2009,240842,189493,51349,21.321,2229,0,21974,24203,27146,11.271,245,-1353,-1108,-28898,-2860,-13419,-469.2,0,-16279,-16279,0,-70,-16349,-6.788,0,-10.73,-10.73,1523.432,-1507,9012,7505,3.116
16,20,2010,149341,122067,27274,18.263,1830,0,16711,18541,8733,5.848,227,-1711,-1484,2333,9582,-5090,53.12,0,4492,4492,0,-78,4414,2.956,0,2.96,2.94,1497.608,11293,9295,20588,13.786
17,20,2011,56215,39085,17130,30.472,809,0,3913,4722,12408,22.072,135,-1576,-1441,6908,17875,-7570,42.35,1112,11417,10305,1112,-59,11358,20.205,0,7.68,7.62,1491.067,19451,8004,27455,48.839
