,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,23,1994,1243,382,861,69.268,253.3,88.8,30.8,372.9,488.1,39.268,0,0,22.33,-0.93,509.5,-194.6,38.19,0,314.9,314.9,0,0,314.9,25.334,0,0.004,0.003,94470,488.1,30.8,518.9,41.746
1,23,1995,2232.652,742.86,1489.792,66.727,485.254,306.575,0,791.829,697.963,31.262,0,0,40.014,0,737.977,-281.488,38.14,0,456.489,456.489,0,0,456.489,20.446,0,0.16,0.16,2838.2,697.963,74.961,772.924,34.619
2,23,1996,4096.007,1409.862,2686.145,65.58,886.048,399.291,0,1285.339,1400.806,34.199,0,0,64.019,0,1464.825,-551.501,37.65,0,913.324,913.324,0,0,913.324,22.298,0,0.16,0.153,5960.312,1400.806,132.594,1533.4,37.437
3,23,1997,6452,2243,4209,65.236,1370,1210,0,2580,1629,25.248,0,0,110,152,1891,-840,44.42,0,1051,1051,0,0,1051,16.29,0,0.175,0.17,6256,1629,214,1843,28.565
4,23,1998,8489,2924,5565,65.555,1826,1646,23,3495,2070,24.385,0,0,196,5,2271,-940,41.39,0,1331,1331,0,0,1331,15.679,0,0.21,0.2,6658,2070,329,2399,28.26
5,23,1999,12173,4259,7914,65.013,2846,2134,61,5041,2873,23.601,0,0,330,0,3203,-1180,36.84,0,2023,2023,0,0,2023,16.619,0,0.3,0.29,7062,2873,489,3362,27.619
6,23,2000,18928,6746,12182,64.36,4579,4077,291,8947,3235,17.091,0,0,1108,0,4343,-1675,38.57,0,2668,2668,0,0,2668,14.096,0,0.39,0.36,7438,3235,863,4098,21.651
7,23,2001,22293,11221,11072,49.666,6074,4777,1055,11906,-834,-3.741,967,0,967,-1007,-874,-140,-16.02,0,-1014,-1014,0,0,-1014,-4.549,0,-0.14,-0.14,7196,-834,2236,1402,6.289
8,23,2002,18915,6902,12013,63.51,4882,3513,699,9094,2919,15.432,895,0,895,-1104,2710,-817,30.15,0,1893,1893,0,0,1893,10.008,0,0.26,0.25,7447,2919,1957,4876,25.779
9,23,2003,18878,5645,13233,70.097,4818,3139,394,8351,4882,25.861,660,0,660,-529,5013,-1435,28.63,0,3578,3578,0,0,3578,18.953,0,0.5,0.5,7223,4882,1463,6345,33.611
10,23,2004,22045,6919,15126,68.614,5397,3195,242,8834,6292,28.542,512,0,512,188,6992,-2024,28.95,-567,4401,4968,0,0,4401,19.964,0,0.64,0.62,7057,6292,1199,7491,33.981
11,23,2005,24801,8130,16671,67.219,5680,3348,227,9255,7416,29.902,552,0,552,68,8036,-2295,28.56,0,5741,5741,0,0,5741,23.148,0,0.88,0.87,6612,7416,1020,8436,34.015
12,23,2006,28484,9737,18747,65.816,7200,4158,393,11751,6996,24.561,755,-148,607,30,7633,-2053,26.9,0,5580,5580,0,0,5580,19.59,0,0.91,0.89,6272,7781,1293,9074,31.857
13,23,2007,34922,12663,22259,63.739,8552,4679,407,13638,8621,24.686,1092,-377,715,125,9461,-2128,22.49,0,7333,7333,0,0,7333,20.998,0,1.21,1.17,6265,9838,1413,11251,32.218
14,23,2008,39540,14194,25346,64.102,10077,5328,499,15904,9442,23.88,1143,-319,824,-11,10255,-2203,21.48,0,8052,8052,0,0,8052,20.364,0,1.35,1.31,6163,10574,1744,12318,31.153
15,23,2009,36117,13023,23094,63.942,9968,5271,533,15772,7322,20.273,845,-346,499,-128,7693,-1559,20.27,0,6134,6134,0,0,6134,16.984,0,1.05,1.05,5857,8039,1768,9807,27.153
