,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,24,1994,36642,18007,18635,50.857,1530,0,7698,9228,9407,25.673,0,-317,-317,-6664,2426,-1161,47.86,0,1265,1265,0,0,1265,3.452,0,0.97,0.97,1301.916,2743,2452,5195,14.178
1,24,1995,35854,16990,18864,52.613,963,379,14373,15715,3149,8.783,0,-346,-346,0,2803,-1110,39.6,0,1693,1693,0,0,1693,4.722,0,1.3,1.3,1303.344,3149,2431,5580,15.563
2,24,1996,37082,18033,19049,51.37,1384,372,15103,16859,2190,5.906,0,0,0,-401,1789,-859,48.02,0,930,930,0,0,930,2.508,0,0.715,0.715,1304.168,2190,3381,5571,15.024
3,24,1997,43893,22826,21067,47.996,1377,455,14131,15963,5104,11.628,0,0,0,-364,4740,-2133,45,0,2607,2607,0,0,2607,5.939,0,1.995,1.995,1305.539,5104,2216,7320,16.677
4,24,1998,41950,20223,21727,51.793,1533,493,13887,15913,5814,13.859,0,0,0,-312,5502,-2246,40.82,0,3256,3256,0,0,3256,7.762,0,2.485,2.475,1315.556,5814,2300,8114,19.342
5,24,1999,30557,14036,16521,54.066,2239,478,11565,14282,2239,7.327,0,0,0,-405,1834,-495,26.99,0,1339,1339,0,0,1339,4.382,0,1.025,1.02,1312.745,2239,2320,4559,14.92
6,24,2000,85713,55101,30612,35.715,3222,0,14346,17568,13044,15.218,0,0,0,-7232,5812,-2565,44.13,71,3318,3247,0,-71,3247,3.788,29,1.58,1.57,1319,13044,4934,17978,20.975
7,24,2001,119130,79086,40044,33.614,3626,0,14547,18173,21871,18.359,0,0,0,-7822,14049,-6322,45,111,7838,7727,0,-111,7727,6.486,15,3.99,3.985,1307.654,21871,5321,27192,22.826
8,24,2002,106245,69238,37007,34.832,3984,0,15669,19653,17354,16.334,0,0,0,-9063,8291,-4360,52.59,-522,3409,3931,0,-121,3288,3.095,6,1.55,1.545,2124.272,17354,7059,24413,22.978
9,24,2003,98537,65437,33100,33.591,4155,0,14845,19000,14100,14.309,0,0,0,-10000,4100,-2998,73.12,87,1189,1102,30,-57,1132,1.149,0,0.53,0.53,2135.849,14100,5169,19269,19.555
10,24,2004,121277,80380,40897,33.722,4440,0,16132,20572,20325,16.759,0,0,0,-7649,12676,-5294,41.76,-72,7310,7382,44,-80,7230,5.962,0,3.48,3.48,2077.586,20325,5326,25651,21.151
11,24,2005,155300,104948,50352,32.422,4557,0,16785,21342,29010,18.68,0,0,0,-8459,20551,-7517,36.58,379,13413,13034,294,-85,13328,8.582,0,6.3,6.28,2122.293,29010,4935,33945,21.858
12,24,2006,198200,140902,57298,28.909,4828,0,17976,22804,34494,17.404,0,0,0,-9297,25197,-11098,44.04,96,14195,14099,0,-96,14099,7.114,0,6.58,6.54,2155.81,34494,5913,40407,20.387
13,24,2007,210118,144139,65979,31.401,5093,0,28389,33482,32497,15.466,0,0,0,-521,31976,-14838,46.4,70,17208,17138,0,-70,17138,8.156,0,7.84,7.8,2197.179,32497,7506,40003,19.038
14,24,2008,220904,151564,69340,31.389,5926,0,30974,36900,32440,14.685,0,0,0,-273,32167,-13479,41.9,107,18795,18688,0,-107,18688,8.46,0,8.83,8.77,2132,32440,8708,41148,18.627
