,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,25,1994,1067.1,753,314.1,29.435,180.2,0,40.9,221.1,93,8.715,0,0,0,-2,91,-37.3,40.99,-36,17.7,53.7,0,0,17.7,1.659,0,0.04,0.04,442.5,93,40.9,133.9,12.548
1,25,1995,1288.7,889.7,399,30.961,208.5,0,44.6,253.1,145.9,11.322,0,0,0,-9.3,136.6,-54.9,40.19,0,81.7,81.7,0,0,81.7,6.34,0,0.088,0.088,933.225,145.9,44.6,190.5,14.782
2,25,1996,1486.8,981.1,505.7,34.013,266.9,0,58.5,325.4,180.3,12.127,0,0,0,-7.2,173.1,-67.3,38.88,2.6,108.4,105.8,2.6,0,108.4,7.291,0,0.23,0.228,476.484,180.3,58.5,238.8,16.061
3,25,1997,2233.2,1327.3,905.9,40.565,556.1,0,82.4,638.5,267.4,11.974,0,0,0,-16.8,250.6,-96.2,38.39,79.8,234.2,154.4,79.8,0,234.2,10.487,0,0.44,0.43,544.651,267.4,82.4,349.8,15.664
4,25,1998,2619.1,1565.2,1053.9,40.239,636.3,0,98.3,734.6,319.3,12.191,0,0,0,-12.9,306.4,-117.8,38.45,0,188.6,188.6,0,0,188.6,7.201,0,0.33,0.32,589.375,319.3,98.3,417.6,15.944
5,25,1999,3047.1,1774.7,1272.4,41.758,773.7,0,114.5,888.2,384.2,12.609,0,0,0,-67.2,317,-124.8,39.37,0,192.2,192.2,0,0,192.2,6.308,0,0.343,0.333,575.948,384.2,114.5,498.7,16.366
6,25,2000,3197.2,1834.4,1362.8,42.625,778.4,0,126.4,904.8,458,14.325,0,0,0,-28.5,429.5,-167.9,39.09,0,261.6,261.6,0,0,261.6,8.182,0,0.46,0.448,584.356,458,126.4,584.4,18.279
7,25,2001,3777.777,2166.01,1611.767,42.664,909.897,0,149.721,1059.618,552.149,14.616,0,0,0,-29.225,522.924,-198.711,38,0,324.213,324.213,0,0,324.213,8.582,0,0.57,0.558,581.996,552.149,149.721,701.87,18.579
8,25,2002,3782.444,2338.027,1444.417,38.187,872.68,0,0,872.68,571.737,15.116,0,0,0,-95.473,476.264,-178.599,37.5,0,297.665,297.665,0,0,297.665,7.87,0,0.518,0.503,607.392,571.737,178.39,750.127,19.832
9,25,2003,4577.232,2791.175,1786.057,39.02,1091.208,0,0,1091.208,694.849,15.181,0,0,0,-37.381,657.468,-223.327,33.97,-143.75,290.391,434.141,30,0,290.391,6.344,0,0.483,0.47,633.928,694.849,129.565,824.414,18.011
10,25,2004,5293.876,3154.809,2139.067,40.406,1315.572,0,-22.5,1293.072,845.995,15.981,0,0,0,-48.96,797.035,-260.201,32.65,0,536.834,536.834,0,0,536.834,10.141,0,0.875,0.843,646.28,845.995,133.436,979.431,18.501
11,25,2005,6889.301,3996.636,2892.665,41.988,1795.673,0,-8.141,1787.532,1105.133,16.041,0,0,0,-47.416,1057.717,-311.717,29.47,0,746,746,0,0,746,10.828,0,1.205,1.15,655.402,1105.133,156.128,1261.261,18.308
12,25,2006,7871.498,4467.303,3404.195,43.247,1777.717,374.307,4.596,2156.62,1247.575,15.849,0,0,0,-29.833,1217.742,-332.133,27.27,12.191,897.8,885.609,12.191,0,897.8,11.406,0,1.455,1.38,655.966,1247.575,175.242,1422.817,18.076
13,25,2007,9466.056,5268.996,4197.06,44.338,2273.227,440.002,-16.379,2696.85,1500.21,15.848,0,0,0,-71.367,1428.843,-319.637,22.37,12.823,1122.029,1109.206,12.823,0,1122.029,11.853,0,1.82,1.74,650.502,1500.21,215.697,1715.907,18.127
14,25,2008,11025.917,5985.022,5040.895,45.719,2713.097,601.424,-14.335,3300.186,1740.709,15.787,6.092,-109.702,-103.61,0,1637.099,-423.101,25.84,155.906,1369.904,1213.998,155.906,0,1369.904,12.424,0,2.2,2.095,658.918,1746.801,268.492,2015.293,18.278
15,25,2009,12697.456,6757.262,5940.194,46.783,3345.274,725.443,0,4070.717,1869.477,14.723,10.004,-130.174,-120.17,0,1749.307,-431.676,24.68,0,1317.631,1317.631,0,0,1317.631,10.377,0,2.065,1.975,671.726,1879.481,339.287,2218.768,17.474
16,25,2010,11184.938,5904.718,5280.22,47.208,3190.211,632.651,-85.118,3737.744,1542.476,13.791,5.034,-122.656,-117.622,0,1424.854,-273.15,19.17,0,1151.704,1151.704,0,0,1151.704,10.297,0,1.8,1.73,671.484,1547.51,341.587,1889.097,16.89
17,25,2011,12550,6145.5,6404.5,51.032,3603.7,774,0,4377.7,2026.8,16.15,6.1,-117.1,-111,313.8,2229.6,-511.4,22.94,74.8,1793,1718.2,74.8,0,1793,14.287,0,2.74,2.64,683.3,2346.7,388.3,2735,21.793
18,25,2012,16090.5,7913.9,8176.6,50.816,4607.7,1018.5,0,5626.2,2550.4,15.85,5.1,-141.6,-136.5,33.9,2447.8,-512.5,20.94,237,2172.3,1935.3,237,0,2172.3,13.501,0,3.21,3.11,701.2,2589.4,635,3224.4,20.039
19,25,2013,18260.4,8846.1,9414.3,51.556,5181.2,1137.9,0,6319.1,3095.2,16.95,3.2,-157.5,-154.3,69.9,3010.8,-711.5,23.63,92.9,2392.2,2299.3,92.9,0,2392.2,13.101,0,3.45,3.36,713.1,3168.3,839.8,4008.1,21.95
20,25,2014,18283.1,8941.1,9342,51.096,5117.1,1104.4,0,6221.5,3120.5,17.068,5.7,-141.2,-135.5,431.3,3416.3,-825.7,24.17,104.4,2695,2590.6,104.4,0,2695,14.74,0,3.87,3.8,711,3557.5,850.6,4408.1,24.11
21,25,2015,12866.9,6017.4,6849.5,53.233,4035.1,769.4,0,4804.5,2045,15.894,13.3,-94.7,-81.4,122.6,2086.2,-447.5,21.45,959.7,2598.4,1638.7,959.7,0,2598.4,20.195,0,3.7,3.63,716.1,2180.9,718.1,2899,22.531
22,25,2016,14433.7,6662.6,7771.1,53.84,4747.5,861.4,0,5608.9,2162.2,14.98,4.6,-139.8,-135.2,12.4,2039.4,-292.7,14.35,1610.7,3357.4,1746.7,1610.7,0,3357.4,23.261,0,4.81,4.74,708.5,2179.2,880.8,3060,21.2
23,25,2017,16882.4,7547.8,9334.6,55.292,5624.3,975.1,0,6599.4,2735.2,16.202,0.2,-184.4,-184.2,60.3,2611.3,-457.9,17.54,400.3,2553.7,2153.4,400.3,0,2553.7,15.126,0,3.69,3.65,699.8,2795.7,1128.1,3923.8,23.242
24,25,2018,15518.8,6947.5,8571.3,55.232,5042.6,956.4,0,5999,2572.3,16.575,7.5,-140.1,-132.6,103.5,2543.2,-371,14.59,319.9,2492.1,2172.2,319.9,0,2492.1,16.059,0,3.58,3.53,706.1,2683.3,1116.9,3800.2,24.488
25,25,2019,17049,7544,9505,55.751,5391,1059,0,6450,3055,17.919,9,-137,-128,35,2962,-556,18.77,245,2651,2406,245,0,2651,15.549,0,3.78,3.74,710.2,3099,1178,4277,25.087
26,25,2020,17911,7927,9984,55.742,5589,1126,0,6715,3269,18.251,139,-108,31,5,3305,-873,26.41,576,3008,2432,576,0,3008,16.794,68,4.11,4.05,725.5,3413,1189,4602,25.694
27,25,2021,22284,9809,12475,55.982,6896,1348,0,8244,4231,18.987,71,-275,-204,468,4495,-849,18.89,0,3646,3646,0,0,3646,16.362,136,4.97,4.89,718.7,4770,1775,6545,29.371
28,25,2022,29453,11501,17952,60.951,8198,1742,547,10487,7465,25.346,11,-238,-227,360,7598,-1251,16.46,86,6433,6347,86,0,6433,21.842,164,8.77,8.61,736.8,7836,2168,10004,33.966
29,25,2023,31471,12522,18949,60.211,8516,1745,0,10261,8688,27.606,41,-211,-170,-226,8292,-1083,13.06,0,7209,7209,0,0,7209,22.907,106,9.8,9.66,737.1,8503,2222,10725,34.079
