,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,27,1994,10055.1,6481.1,3574,35.544,162.2,0,1608.3,1770.5,1803.5,17.936,0,0,0,-100.7,1702.8,-592.4,34.79,0,1110.4,1110.4,0,0,1110.4,11.043,0,0.23,0.227,1573.874,1803.5,1608.3,3411.8,33.931
1,27,1995,12151,7832,4319,35.544,239,0,1853,2092,2227,18.328,0,0,0,-110,2117,-737,34.81,0,1380,1380,0,0,1380,11.357,0,0.29,0.29,1574.775,2227,1853,4080,33.578
2,27,1996,18739,11671,7068,37.718,309,0,3735,4044,3024,16.138,0,0,0,-963,2061,-847,41.1,0,1214,1214,0,0,1214,6.479,0,0.217,0.217,2024.024,3024,3735,6759,36.069
3,27,1997,22473,14989,7484,33.302,367,0,3172,3539,3945,17.554,0,0,0,-558,3387,-1421,41.95,0,1966,1966,0,0,1966,8.748,0,0.323,0.317,2025,3945,3172,7117,31.669
4,27,1998,22976,15143,7833,34.092,164,0,3754,3918,3915,17.04,0,0,0,-758,3157,-1307,41.4,72,1922,1850,0,-72,1850,8.052,0,0.91,0.89,2078.652,3915,3754,7669,33.378
5,27,1999,23435,16392,7043,30.053,140,0,3779,3919,3124,13.331,0,0,0,-810,2314,-1014,43.82,89,1389,1300,0,-89,1300,5.547,0,0.63,0.62,2096.774,3124,3779,6903,29.456
6,27,2000,25418,21660,3758,14.785,105,0,1128,1233,2525,9.934,0,0,0,108,2633,-1606,61,0,1027,920,0,-107,920,3.62,0,0.58,0.57,1614.035,2525,2195,4720,18.57
7,27,2001,25172,21573,3599,14.298,0,0,767,767,2832,11.251,0,0,0,-1549,1283,-1059,82.54,-278,-54,120,0,-104,-158,-0.628,0,-0.02,-0.02,2100,2832,1754,4586,18.219
8,27,2002,25329,22924,2405,9.495,0,0,21,21,2384,9.412,0,0,0,-194,2190,-853,38.95,0,1337,1236,0,-101,1236,4.88,0,0.6,0.6,2044,2384,1042,3426,13.526
9,27,2003,27061,24348,2713,10.025,0,0,0,0,2713,10.026,0,0,0,-459,2254,-789,35,-71,1394,1338,0,-127,1267,4.682,0,0.59,0.59,2147.458,2713,1077,3790,14.005
10,27,2004,30752,26704,4048,13.163,0,0,0,0,4048,13.163,0,0,0,-309,3739,-1197,32.01,0,2542,2345,0,-197,2345,7.626,0,1.08,1.07,2191.589,4048,1210,5258,17.098
11,27,2005,31374,27443,3931,12.529,0,0,0,0,3931,12.53,0,0,0,-120,3811,-1174,30.81,73,2710,2460,109,-177,2533,8.074,0,1.21,1.19,2128.571,3931,1341,5272,16.804
12,27,2006,33747,28392,5355,15.868,0,0,0,0,5355,15.868,0,0,0,-31,5324,-1837,34.5,70,3557,3304,70,-183,3374,9.998,0,1.68,1.64,2076,5355,1437,6792,20.126
