,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,29,2002,86.426,14.228,72.198,83.537,0,16.5,0,16.5,55.698,64.446,0,0,0,-45.63,10.068,-3.083,30.62,0,6.985,6.985,0,0,6.985,8.082,0,0.001,0,13986.214,55.698,0,55.698,64.446
1,29,2003,439.508,131.51,307.998,70.078,89.784,31.748,0,121.532,186.466,42.426,1.215,-2.57,-1.355,-0.196,184.915,-85.259,46.11,0,99.656,99.656,0,0,99.656,22.674,0,0.007,0.007,13986.214,187.485,28.983,216.468,49.252
2,29,2004,1465.934,625.854,840.08,57.307,406.388,91.228,0,497.616,342.464,23.362,2.663,-1.931,0.732,3.458,346.654,-241.006,69.52,0,105.648,105.648,0,0,105.648,7.207,0,0.008,0.008,13986.214,348.585,55.049,403.634,27.534
3,29,2005,3189.223,1457.653,1731.57,54.294,664.746,225.632,0,890.378,841.192,26.376,15.996,-0.862,15.134,-206.092,650.234,-251.115,38.62,0,399.119,399.119,0,0,399.119,12.515,0,0.037,0.037,10926.051,651.096,148.473,799.569,25.071
4,29,2006,6138.56,2577.088,3561.472,58.018,854.684,599.51,0,1454.194,2107.278,34.329,121.038,-0.776,120.262,-85.863,2141.677,-676.28,31.58,0,1465.397,1465.397,0,0,1465.397,23.872,0,0.133,0.126,11674.955,2142.453,293.812,2436.265,39.688
5,29,2007,10604.917,4225.027,6379.89,60.16,1601.305,1228.589,0,2829.894,3549.996,33.475,412.063,0,412.063,48.981,4011.04,-933.594,23.28,0,3077.446,3077.446,0,0,3077.446,29.019,0,0.255,0.249,12381.915,3549.996,571.939,4121.935,38.868
6,29,2008,16593.986,6649.085,9944.901,59.931,2740.516,2119.985,0,4860.501,5084.4,30.64,559.205,-1.203,559.205,30.375,5673.98,-1470.26,25.91,0,4203.72,4203.72,0,0,4203.72,25.333,0,0.338,0.332,12648.395,5084.4,967.658,6052.058,36.471
7,29,2009,21796,8622,13174,60.442,3749,2793,0,6542,6632,30.428,390,0,390,-1169,5853,-1626,27.78,0,4227,4227,0,0,4227,19.394,0,0.337,0.333,12700.555,6632,1500,8132,37.31
8,29,2010,23651,8844,14807,62.606,3652,2843,0,6495,8312,35.144,230,0,230,-161,8381,-1861,22.2,0,6520,6520,0,0,6520,27.568,0,0.516,0.51,12776.635,8381,1524,9905,41.88
9,29,2011,29321,10417,18904,64.473,4761,3762,0,8523,10381,35.405,579,-5,574,-159,10796,-2291,21.22,0,8505,8505,0,0,8505,29.007,0,0.667,0.658,12930.035,10801,1396,12197,41.598
