,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,30,1994,9238.8,6595.6,2643.2,28.61,1846.7,0,89.8,1936.5,706.7,7.649,0,0,0,30.2,736.9,-279.5,37.93,0,457.4,457.4,0,0,457.4,4.951,0,0.23,0.23,1988.696,706.7,89.8,796.5,8.621
1,30,1995,12476.7,8861.6,3615.1,28.975,2498.3,0,129.6,2627.9,987.2,7.912,0,0,0,-7.4,979.8,-375.3,38.3,0,604.5,604.5,0,0,604.5,4.845,0,0.29,0.29,2084.483,987.2,129.6,1116.8,8.951
2,30,1996,15470.4,11003.6,4466.8,28.873,3105.7,0,181.2,3286.9,1179.9,7.627,0,0,0,15.4,1195.3,-463.8,38.8,0,731.5,731.5,0,0,731.5,4.728,0,0.35,0.34,2151.471,1179.9,181.2,1361.1,8.798
3,30,1997,19535,13869,5666,29.004,3908,0,232,4140,1526,7.812,0,0,0,9,1535,-597,38.89,8.4,946.4,938,0,-8.4,938,4.802,0,0.43,0.43,2181.395,1526,232,1758,8.999
4,30,1998,24156,17092,7064,29.243,4781,0,283,5064,2000,8.28,0,0,0,-102,1898,-738,38.88,16,1176,1160,0,-16,1160,4.802,0,0.53,0.52,2230.769,2000,283,2283,9.451
5,30,1999,30219,21241,8978,29.71,5944,0,373,6317,2661,8.806,0,0,0,-7,2654,-1040,39.19,0,1614,1614,0,0,1614,5.341,0,0.73,0.71,2273.239,2661,373,3034,10.04
6,30,2000,38434,26560,11874,30.895,7616,0,463,8079,3795,9.874,0,0,0,9,3804,-1484,39.01,0,2320,2320,0,0,2320,6.036,0,1.03,1,2342,3795,463,4258,11.079
7,30,2001,45738,32057,13681,29.912,9490,0,0,9490,4191,9.163,0,0,0,26,4217,-1636,38.8,0,2581,2581,0,0,2581,5.643,0,1.11,1.1,2352,4191,601,4792,10.477
8,30,2002,53553,37406,16147,30.151,11215,0,0,11215,4932,9.21,0,0,0,25,4957,-1913,38.59,0,3044,3044,0,0,3044,5.684,0,1.3,1.29,2353,4932,764,5696,10.636
9,30,2003,58247,40139,18108,31.088,12278,0,0,12278,5830,10.009,0,0,0,42,5872,-2208,37.6,0,3664,3664,0,0,3664,6.291,0,1.57,1.56,2344,5830,903,6733,11.559
10,30,2004,64816,44236,20580,31.751,13734,0,0,13734,6846,10.562,0,0,0,-3,6843,-2539,37.1,0,4304,4304,0,0,4304,6.64,0,1.88,1.88,2289,6846,1076,7922,12.222
11,30,2005,73094,48664,24430,33.423,16504,0,0,16504,7926,10.844,0,0,0,-14,7912,-2911,36.79,0,5001,5001,0,0,5001,6.842,0,2.27,2.26,2216,7926,1319,9245,12.648
12,30,2006,77019,51081,25938,33.677,15480,0,1411,16891,9047,11.747,0,0,0,-80,8967,-3326,37.09,197,5838,5641,197,0,5838,7.58,0,2.73,2.72,2147,9047,1579,10626,13.797
13,30,2007,79022,52476,26546,33.593,16106,0,1574,17680,8866,11.22,0,0,0,-364,8502,-3236,38.06,495,5761,5266,495,0,5761,7.29,0,2.8,2.79,2062,8866,1886,10752,13.606
14,30,2008,77349,51352,25997,33.61,17053,0,1702,18755,7242,9.363,74,-696,-622,0,6620,-2410,36.4,185,4395,4210,185,0,4395,5.682,0,2.38,2.37,1856,7316,1906,9222,11.923
15,30,2009,71288,47298,23990,33.652,17846,0,1785,19631,4359,6.115,18,-624,-606,-163,3590,-1278,35.6,-52,2260,2312,-52,0,2260,3.17,0,1.34,1.34,1686,4214,1902,6116,8.579
16,30,2010,66176,43764,22412,33.867,15902,0,1707,17609,4803,7.258,18,-676,-658,-163,3982,-1362,34.2,41,2661,2620,41,0,2661,4.021,0,1.58,1.57,1692,4658,1806,6464,9.768
17,30,2011,67997,44693,23304,34.272,15849,0,1616,17465,5839,8.587,15,-530,-515,-51,5273,-1935,36.7,0,3338,3338,0,0,3338,4.909,0,2.03,2.01,1658,5803,1718,7521,11.061
18,30,2012,70395,46133,24262,34.466,16028,0,1573,17601,6661,9.462,13,-606,-593,0,6068,-2185,36.01,0,3883,3883,0,0,3883,5.516,0,2.49,2.47,1570,6674,1682,8356,11.87
19,30,2013,74754,48912,25842,34.569,16508,0,1568,18076,7766,10.389,20,-632,-612,67,7221,-2686,37.2,0,4535,4535,0,0,4535,6.067,0,3.03,3,1511,7853,1684,9537,12.758
20,30,2014,78812,51897,26915,34.151,16122,0,1627,17749,9166,11.63,12,-711,-699,0,8467,-3082,36.4,0,5385,5385,0,0,5385,6.833,0,3.78,3.76,1434,9178,1757,10935,13.875
21,30,2015,83176,54787,28389,34.131,16280,0,1640,17920,10469,12.587,337,-830,-493,0,9976,-3631,36.4,0,6345,6345,0,0,6345,7.628,0,4.74,4.71,1346,10806,1786,12592,15.139
22,30,2016,88519,58254,30265,34.19,16801,0,1690,18491,11774,13.301,166,-919,-753,0,11021,-4012,36.4,0,7009,7009,0,0,7009,7.918,0,5.49,5.46,1283,11940,1863,13803,15.593
23,30,2017,94595,62282,32313,34.159,17132,0,1754,18886,13427,14.194,36,-972,-936,0,12491,-4534,36.3,0,7957,7957,0,0,7957,8.412,0,6.47,6.45,1234,13463,1973,15436,16.318
24,30,2018,100904,66548,34356,34.048,17864,0,1811,19675,14681,14.55,74,-1057,-983,0,13698,-5068,37,0,8630,8630,0,0,8630,8.553,0,7.33,7.29,1184,14755,2062,16817,16.666
25,30,2019,108203,71043,37160,34.343,19513,0,1870,21383,15777,14.581,93,-1051,-958,-263,14556,-3435,23.6,0,11121,11121,0,0,11121,10.278,0,9.78,9.73,1143,15607,2152,17759,16.413
26,30,2020,110225,72653,37572,34.087,19740,0,1989,21729,15843,14.373,73,-1201,-1128,0,14715,-3473,23.6,0,11242,11242,0,0,11242,10.199,0,10.29,10.25,1097,15916,2296,18212,16.523
27,30,2021,132110,87257,44853,33.951,24447,0,2128,26575,18278,13.835,47,-1347,-1300,0,16978,-4112,24.22,0,12866,12866,0,0,12866,9.739,0,11.98,11.94,1078,18325,2519,20844,15.778
28,30,2022,151157,100325,50832,33.629,25406,0,2386,27792,23040,15.242,44,-1347,-1303,0,21737,-5304,24.4,0,16433,16433,0,0,16433,10.872,0,15.59,15.53,1058,23084,2862,25946,17.165
29,30,2023,157403,104625,52778,33.53,26284,0,2455,28739,24039,15.272,55,-1617,-1562,0,22477,-5372,23.9,0,17105,17105,0,0,17105,10.867,0,16.74,16.69,1025,24094,2975,27069,17.197
