,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,32,1994,11827,9551,2276,19.244,1338,0,-16,1322,954,8.066,0,0,0,-44,910,-254,27.91,-238,418,656,0,-7,411,3.475,0,0.73,0.73,566.279,954,547,1501,12.691
1,32,1995,12817,10299,2518,19.646,1366,0,0,1366,1152,8.988,0,0,0,-41,1111,-352,31.68,30,789,759,0,-30,759,5.922,0,1.34,1.34,567.15,1152,560,1712,13.357
2,32,1996,14346,11539,2807,19.566,1503,0,44,1547,1260,8.783,0,0,0,1,1261,-386,30.61,36,911,875,0,-36,875,6.099,0,1.545,1.545,567.206,1260,612,1872,13.049
3,32,1997,13971,11606,2365,16.928,1511,0,-655,856,1509,10.801,0,0,0,44,1553,-533,34.32,18,1038,1020,0,-18,1020,7.301,0,1.77,1.73,589.595,1509,602,2111,15.11
4,32,1998,22499,17444,5055,22.468,2940,0,0,2940,2115,9.4,0,0,0,304,2419,-778,32.16,45,1686,1641,0,-45,1641,7.294,0,2.04,2,581.4,2115,888,3003,13.347
5,32,1999,23555,17689,5866,24.903,3008,0,0,3008,2858,12.133,0,0,0,-86,2772,-869,31.35,37,1940,1903,0,-37,1903,8.079,0,2.38,2.34,575.7,2858,897,3755,15.941
6,32,2000,23735,18495,5240,22.077,3216,0,0,3216,2024,8.528,0,0,0,224,2248,-707,31.45,46,1587,1541,0,-46,1541,6.493,0,1.95,1.9,811.053,2024,881,2905,12.239
7,32,2001,25023,19090,5933,23.71,3134,0,0,3134,2799,11.186,0,0,0,-401,2398,-739,30.82,34,1693,1659,0,-34,1659,6.63,0,2.07,2.05,809.268,2799,995,3794,15.162
8,32,2002,23652,20429,3223,13.627,3064,0,0,3064,159,0.672,0,0,0,-581,-422,323,76.54,24,-75,-99,0,-24,-99,-0.419,0,-0.12,-0.12,825,159,926,1085,4.587
9,32,2003,22274,17615,4659,20.917,2757,0,0,2757,1902,8.539,0,0,0,-2847,-945,725,76.72,8,-212,-220,0,-8,-220,-0.988,0,-0.257,-0.31,820.395,1902,671,2573,11.552
10,32,2004,23103,18235,4868,21.071,2950,0,0,2950,1918,8.302,0,0,0,-278,1640,-296,18.05,-13,1331,1344,0,-7,1324,5.731,0,1.52,1.52,871.053,1918,661,2579,11.163
11,32,2005,25593,20752,4841,18.915,3316,0,0,3316,1525,5.959,0,0,0,98,1623,-377,23.23,10,1256,1246,0,-10,1246,4.869,0,1.45,1.45,859.31,1525,614,2139,8.358
12,32,2006,27653,21524,6129,22.164,3707,0,0,3707,2422,8.759,0,0,0,-126,2296,-732,31.88,74,1638,1564,95,0,1638,5.923,0,1.93,1.92,853.125,2422,653,3075,11.12
13,32,2007,31367,24096,7271,23.18,4210,0,0,4210,3061,9.759,0,0,0,-263,2798,-720,25.73,5,2083,2078,5,0,2083,6.641,0,2.54,2.52,826.587,3061,794,3855,12.29
14,32,2008,34589,26300,8289,23.964,4565,0,0,4565,3724,10.766,0,0,0,-403,3321,-877,26.41,0,2444,2444,0,0,2444,7.066,0,3.2,3.16,773.418,3724,837,4561,13.186
15,32,2009,36556,27994,8562,23.422,5033,0,0,5033,3529,9.654,102,-456,-354,646,3821,-1009,26.41,0,2812,2812,0,-20,2792,7.638,0,3.79,3.76,743.53,4277,903,5180,14.17
16,32,2010,30908,24012,6896,22.311,4443,0,0,4443,2453,7.937,33,-459,-459,55,2049,-465,22.69,0,1584,1584,0,-36,1548,5.008,0,2.06,2.05,755.122,2508,957,3465,11.211
17,32,2011,32350,24721,7629,23.583,4618,0,0,4618,3011,9.308,39,-386,-347,58,2722,-765,28.1,78,2035,1957,78,-13,2022,6.25,0,2.61,2.59,780.9,3108,987,4095,12.658
18,32,2012,36529,28556,7973,21.826,5399,0,0,5399,2574,7.047,58,-376,-318,26,2282,-417,18.27,209,2074,1865,209,-7,2067,5.659,0,2.65,2.61,791.6,2658,957,3615,9.896
19,32,2013,37665,28291,9374,24.888,5218,0,0,5218,4156,11.034,58,-351,-293,12,3875,-944,24.36,0,2931,2931,0,-5,2926,7.769,0,3.74,3.69,791.9,4226,926,5152,13.679
20,32,2014,39055,28364,10691,27.374,5190,0,0,5190,5501,14.085,69,-327,-258,169,5412,-1450,26.79,0,3962,3962,0,-38,3924,10.047,0,4.99,4.92,797.3,5739,989,6728,17.227
21,32,2015,40306,28957,11349,28.157,5518,0,0,5518,5831,14.467,102,-318,-216,203,5818,-1489,25.59,0,4329,4329,0,-90,4239,10.517,0,5.4,5.33,795.2,6136,924,7060,17.516
22,32,2016,38581,26747,11834,30.673,5006,0,0,5006,6828,17.698,104,-310,-206,-36,6586,-1739,26.4,0,4847,4847,0,-79,4768,12.358,0,6.11,6.04,789.3,6896,883,7779,20.163
23,32,2017,39302,27677,11625,29.579,5574,0,0,5574,6051,15.396,106,-338,-232,633,6452,-1603,24.85,0,4849,4849,0,-37,4812,12.244,0,6.3,6.21,775.3,6790,1030,7820,19.897
24,32,2018,40534,28144,12390,30.567,6087,0,0,6087,6303,15.55,151,-316,-165,812,6950,-5362,77.15,0,1588,1588,0,-43,1545,3.812,0,2.03,2,772.1,7266,1115,8381,20.677
25,32,2019,41802,29046,12756,30.515,6051,0,0,6051,6705,16.04,217,-367,-150,932,7487,-659,8.8,0,6828,6828,0,-63,6765,16.183,0,9.1,8.98,753,7854,1116,8970,21.458
26,32,2020,36709,24339,12370,33.697,5519,0,0,5519,6851,18.663,255,-357,-102,810,7559,-1329,17.58,0,6230,6230,0,-87,6143,16.734,0,8.52,8.41,730.3,7916,1088,9004,24.528
27,32,2021,32637,22169,10468,32.074,4772,0,0,4772,5696,17.453,107,-359,-252,568,6012,-1147,19.08,0,4865,4865,0,-86,4779,14.643,0,6.79,6.72,711.2,6371,1002,7373,22.591
28,32,2022,34392,23394,10998,31.978,4798,0,0,4798,6200,18.027,102,-343,-241,1276,7235,-1625,22.46,0,5610,5610,0,-68,5542,16.114,0,8.01,7.91,700.4,7578,1223,8801,25.59
29,32,2023,35466,23825,11641,32.823,5214,0,0,5214,6427,18.122,138,-414,-276,228,6379,-1412,22.14,0,4967,4967,0,-1,4966,14.002,0,7.33,7.27,683.1,6793,1204,7997,22.548
