,enterprise_id,years,interest_income,interest_expense,net_interest_income_(for_banks),non_interest_income,revenue,credit_losses_provision,"selling,_general,_&_admin._expense",other_noninterest_expense,total_noninterest_expense,special_charges,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),"depreciation,_depletion_and_amortization"
0,33,1994,0,0,0,0,0,0,0,0,0,-192.296,0,3822.259,-761.789,19.93,0,3060.47,3060.47,0,-389.03,2671.44,0,0,1.543,1.543,1732.314,473.345
1,33,1995,0,0,0,0,0,0,0,0,0,-562.825,0,4949.737,-1296.062,26.18,0,3653.675,3653.675,0,-444.007,3209.668,0,0,1.807,1.807,1775.691,534.684
2,33,1996,0,0,0,0,0,0,0,0,0,-333.766,0,5674.022,-1386.056,24.43,0,4287.966,4287.966,0,-483.652,3804.314,0,0,2.11,2.11,1803.231,536.189
3,33,1997,24480.255,-14511.765,9968.49,-8252.56,1715.93,0,8052.197,-14083.638,-6031.441,0,0,7747.371,-1837.518,23.72,580.54,6490.393,6490.393,0,-580.539,5909.854,344.411,0,2.925,2.925,1821.845,628.489
4,33,1998,28921.18,-17878.397,11042.783,-8868.941,2173.841,0,9417.774,-15461.549,-6043.775,0,0,8217.616,-2079.614,25.31,591.814,6729.816,6729.816,0,-591.814,6138.002,282.357,0,3.018,3.018,1837.694,727.369
5,33,1999,0,0,0,0,0,0,0,0,0,-256.84,0,10941.946,-2977.137,27.21,0,7964.809,7964.809,0,-773.282,7191.527,0,0,3.896,3.848,1864.51,1521.709
6,33,2000,0,0,0,0,0,0,0,0,0,-623.968,0,12902.882,-3294.422,25.53,0.001,9608.461,9608.46,0,-866.443,8742.018,0,0,4.582,4.582,1903.985,1614.881
7,33,2001,0,0,0,0,0,0,0,0,0,361.453,0,14600.012,-3342.694,22.9,0,11257.318,11257.318,0,-1357.689,9899.629,0,0,4.946,4.881,2034.574,1290.477
8,33,2002,35261,-20536,14725,12101,26826,0,0,19846,19846,0,0,6980,-1574,22.55,1020,6426,5406,0,-1020,5406,20.152,0,2.353,2.309,2340.965,1293
9,33,2003,28595,-13135,15460,11778,27238,0,0,18465,18465,0,0,8773,-2534,28.88,877,7116,6239,0,-877,6239,22.906,0,2.919,2.876,2169.531,2036
10,33,2004,39968,-14370,25598,16109,41707,0,0,29813,29813,0,0,11894,-3120,26.23,922,9696,8774,0,-922,8774,21.037,0,3.66,3.616,2426.131,3185
11,33,2005,50471,-19372,31099,24715,55814,0,9739,27306,37045,-174,0,18943,-4685,24.73,0,14258,14258,0,-1340,12918,23.145,0,5.141,5.098,2536.963,2225
12,33,2006,62302,-28760,33542,27422,60964,0,11183,29555,40738,-740,0,20966,-5093,24.29,0,15873,15873,0,-792,15081,24.738,21,5.926,5.882,2563.816,2213
13,33,2007,78482,-41393,37089,32151,69240,0,12823,35138,47961,-807,0,22086,-5215,23.61,0,16871,16871,0,-1082,15789,22.803,90,6.1,6.056,2598.012,2528
14,33,2008,97735,-54564,43171,43076,86247,0,15294,48051,63345,-1310,0,24212,-3757,15.52,0,20455,20455,0,-1322,19133,22.184,90,7.2,7.1,2676.2,2522
15,33,2009,97014,-48738,48276,36362,84638,0,15260,52703,67963,7368,0,9307,-2809,30.18,0,6498,6498,0,-770,5728,6.768,90,2.05,2.05,2734.6,13367
16,33,2010,65723,-21366,44357,31882,76239,0,13392,56385,69777,-617,0,7079,-385,5.44,0,6694,6694,0,-860,5834,7.652,90,1.7,1.7,3284,2538
17,33,2011,60875,-18904,41971,36945,78916,0,15156,45349,60505,-626,0,19037,-4846,25.46,0,14191,14191,0,-1032,13159,16.675,90,3.65,3.6,3526.6,2801
18,33,2012,66228,-22343,43885,38625,82510,0,17459,39214,56673,3965,0,21872,-3928,17.96,0,17944,17944,0,-1147,16797,20.358,90,4.6,4.55,3584.4,3135
19,33,2013,59385,-19030,40355,34395,74750,0,19983,41814,61797,-7696,0,20649,-5315,25.74,0,15334,15334,0,-1307,14027,18.765,90,3.7,3.7,3654.2,2531
20,33,2014,53239,-15653,37586,37321,74907,0,17065,36238,53303,-961,0,22565,-4765,21.12,0,17800,17800,0,-1596,16204,21.632,90,4.2,4.2,3730.8,2295
21,33,2015,52862,-16250,36612,37773,74385,0,18565,30879,49444,6261,0,18680,-3975,21.28,0,14705,14705,0,-1017,13688,18.402,90,3.45,3.45,3811.2,2251
22,33,2016,48964,-14658,34306,38208,72514,0,17662,27686,45348,8299,0,18867,-3771,19.99,0,15096,15096,0,-1574,13522,18.647,90,3.25,3.2,3903.4,2181
23,33,2017,42414,-12601,29813,32162,61975,0,16473,26279,42752,12111,0,7112,-3666,51.55,0,3446,3446,0,-967,2479,4,90,0.35,0.35,3969,5212
24,33,2018,40995,-12819,28176,35499,63675,0,15707,27192,42899,3609,0,17167,-5288,30.8,0,11879,11879,0,-1081,10798,16.958,90,2.4,2.4,4014.4,1862
25,33,2019,49609,-19120,30489,33139,63628,0,15353,26740,42093,1645,0,19890,-4865,24.46,0,15025,15025,0,-1298,13727,21.574,90,3.15,3.15,3996.6,1933
26,33,2020,54695,-24233,30462,39941,70403,0,13828,34082,47910,9146,0,13347,-4639,34.76,0,8708,8708,0,-1325,7383,10.487,90,1.5,1.5,4046.6,10519
27,33,2021,41756,-14178,27578,35702,63280,0,11115,40365,51480,3023,0,8777,-2678,30.51,0,6099,6099,0,-870,5229,8.263,90,0.95,0.95,4048.4,5241
28,33,2022,36188,-9699,26489,37751,64240,0,11592,31107,42699,2635,0,18906,-4213,22.28,0,14693,14693,0,-776,13917,21.664,7,3.1,3.1,4060.4,4286
29,33,2023,55059,-22449,32610,34403,67013,0,11091,30113,41204,8281,0,17528,-858,4.9,0,16670,16670,0,-635,16035,23.928,0,3.75,3.7,3997.2,3873
