,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,34,1994,62716,38568,24148,38.504,18282,5558,0,23840,308,0.491,1113,-1273,-160,-8945,-8797,810,9.21,0,-7987,-7987,0,0,-7987,-12.735,47,-3.505,-3.555,2292.957,-7524,6661,-863,-1.376
1,34,1995,62668,37384,25284,40.346,15916,4363,0,20279,5005,7.987,1377,-1227,150,0,5155,-2134,41.4,0,3021,3021,0,0,3021,4.821,84,1.255,1.255,2339.835,6382,6295,12677,20.229
2,34,1996,71940,41573,30367,42.212,16766,6010,0,22776,7591,10.552,947,-725,222,0,7813,-3635,46.53,0,4178,4178,0,0,4178,5.808,62,1.805,1.765,2292.957,8538,5602,14140,19.655
3,34,1997,73424,45408,28016,38.156,16854,5089,0,21943,6073,8.271,707,-716,-9,2523,8587,-3158,36.78,0,5429,5429,0,0,5429,7.394,20,2.56,2.505,2159.418,9303,5012,14315,19.496
4,34,1998,78508,47899,30609,38.988,16634,4877,0,21511,9098,11.589,657,-728,-728,657,9027,-2934,32.5,0,6093,6093,0,0,6093,7.761,20,3.09,3,2021.87,9755,5001,14756,18.796
5,34,1999,81667,50795,30872,37.802,16662,5046,0,21708,9164,11.221,589,-713,-713,589,9040,-2712,30,0,6328,6328,0,0,6328,7.749,20,3.38,3.29,1920.13,9753,4992,14745,18.055
6,34,2000,87548,55619,31929,36.47,14729,5273,0,20002,11927,13.623,0,-727,-727,557,11757,-4045,34.41,0,7712,7712,0,0,7712,8.809,20,4.25,4.12,1871.074,12484,6585,19069,21.781
7,34,2001,88396,55972,32424,36.68,15639,5151,0,20790,11634,13.161,0,-717,-717,617,11534,-3441,29.83,0,8093,8093,0,0,8093,9.155,20,4.58,4.44,1812.118,12251,4995,17246,19.51
8,34,2002,83067,51178,31889,38.389,17048,4986,0,22034,9855,11.864,0,0,0,1595,11450,-3304,28.86,-423,7723,8146,-423,0,7723,9.297,10,3.74,3.69,2090.244,9855,4506,14361,17.289
9,34,2003,81186,50902,30284,37.302,18738,4750,0,23488,6796,8.371,0,-145,-145,873,7524,-2190,29.11,-1755,3579,5334,-1755,0,3579,4.408,0,2.1,2.06,1730.941,7669,4493,12162,14.98
10,34,2004,89131,56584,32547,36.516,18601,5314,0,23915,8632,9.685,0,-145,-145,930,9417,-2829,30.04,-30,6558,6588,-30,0,6558,7.358,0,3.81,3.74,1752.848,9562,4916,14478,16.244
11,34,2005,96293,60724,35569,36.938,20079,5874,0,25953,9616,9.986,0,-139,-139,1192,10669,-3172,29.73,-18,7479,7497,-18,0,7479,7.767,0,4.47,4.38,1707.232,10808,4915,15723,16.328
12,34,2006,91134,54602,36532,40.086,21314,5842,0,27156,9376,10.288,0,-220,-220,3070,12226,-4232,34.61,-60,7934,7994,-24,0,7934,8.706,0,4.96,4.87,1627.633,12446,5188,17634,19.35
13,34,2007,91424,53129,38295,41.887,20259,6107,0,26366,11929,13.048,0,-278,-278,1666,13317,-3901,29.29,76,9492,9416,76,0,9492,10.382,0,6.2,6.11,1553.535,13595,4983,18578,20.321
14,34,2008,98786,57057,41729,42.242,22060,6153,0,28213,13516,13.682,0,-611,-611,1584,14489,-4071,28.1,0,10418,10418,0,0,10418,10.546,0,7.27,7.15,1456.881,15100,5201,20301,20.551
15,34,2009,103630,57969,45661,44.062,22773,6337,612,29722,15939,15.381,343,-673,-330,1106,16715,-4381,26.21,0,12334,12334,0,0,12334,11.902,0,9.02,8.89,1387.797,17388,5450,22838,22.038
16,34,2010,95758,51973,43785,45.725,20521,5820,432,26773,17012,17.766,94,-402,-308,1434,18138,-4713,25.98,0,13425,13425,0,0,13425,14.02,0,10.12,10.01,1341.353,18540,4994,23534,24.577
17,34,2011,99871,53857,46014,46.073,21545,6026,-901,26670,19344,19.369,92,-368,-276,655,19723,-4890,24.79,0,14833,14833,0,0,14833,14.852,0,11.69,11.52,1287.355,20091,4831,24922,24.954
18,34,2012,106916,56778,50138,46.895,23217,6258,-819,28656,21482,20.092,136,-411,-275,-204,21003,-5148,24.51,0,15855,15855,0,0,15855,14.829,0,13.25,13.06,1213.768,21414,4815,26229,24.532
19,34,2013,102874,52513,50361,48.954,23085,5816,-746,28155,22206,21.586,109,-459,-350,684,22540,-5541,24.58,-395,16604,16999,-395,0,16604,16.14,0,14.53,14.37,1155.449,22999,4676,27675,26.902
20,34,2014,98368,49684,48684,49.492,22924,5743,-452,28215,20469,20.809,74,-402,-328,103,20244,-3363,16.61,-398,16483,16881,-398,0,16483,16.757,0,15.06,14.94,1103.042,20646,4678,25324,25.744
21,34,2015,92793,46386,46407,50.011,22472,5437,-368,27541,18866,20.331,90,-484,-394,1514,19986,-4234,21.18,-3730,12022,15751,-3729,0,12022,12.956,0,11.97,11.9,1010,20470,4492,24962,26.901
22,34,2016,81742,41058,40684,49.771,19894,5247,-378,24763,15921,19.477,108,-468,-360,384,15945,-2581,16.19,-174,13190,13364,-174,0,13190,16.136,0,13.48,13.42,982.7,16413,3855,20268,24.795
23,34,2017,79920,41404,38516,48.193,20279,5726,-1128,24877,13639,17.066,108,-630,-522,-787,12330,-449,3.64,-9,11872,11881,-9,0,11872,14.855,0,12.43,12.38,958.714,12960,4381,17341,21.698
24,34,2018,79139,42196,36943,46.681,19680,5590,-1466,23804,13139,16.602,144,-615,-615,-1124,11400,-5642,49.49,-5,5753,5758,-5,0,5753,7.27,0,6.17,6.14,937.386,12015,4541,16556,20.92
25,34,2019,79591,42655,36936,46.407,19366,5379,-1026,23719,13217,16.606,264,-723,-723,-1152,11342,-2619,23.09,5,8728,8723,5,0,8728,10.966,0,9.57,9.52,916.316,12065,4480,16545,20.788
26,34,2020,57714,26181,31533,54.637,18724,5910,-639,23995,7538,13.061,349,-1344,-1344,1012,7206,-60,0.83,2285,9431,7146,2285,0,9431,16.341,0,10.63,10.56,892.813,8550,6059,14609,25.313
27,34,2021,55179,24314,30865,55.936,20561,6262,-620,26203,4662,8.449,105,-1288,-1288,-802,2572,1360,-52.88,1658,5590,3932,1658,0,5590,10.131,0,6.28,6.23,896.564,3860,6695,10555,19.129
28,34,2022,57351,25865,31486,54.901,17699,6488,467,24654,6832,11.913,52,-1155,-1103,-892,4837,-124,2.56,1029,5742,4712,1030,0,5742,10.012,0,6.41,6.35,904.641,5992,6417,12409,21.637
29,34,2023,60530,27843,32687,54.001,17483,6567,483,24533,8154,13.471,162,-1216,-1054,-5944,1156,626,-54.15,-142,1640,1783,-143,0,1640,2.709,0,1.82,1.8,912.269,2372,4802,7174,11.852
