,enterprise_id,years,interest_income,interest_expense,net_interest_income_(for_banks),non_interest_income,revenue,credit_losses_provision,"selling,_general,_&_admin._expense",other_noninterest_expense,total_noninterest_expense,special_charges,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),"depreciation,_depletion_and_amortization"
0,39,1994,8403,-3767,4636,4024,8660,1259,2466,2827,5293,0,0,2108,-539,25.57,35,1604,1569,0,0,1604,18.522,155,1.923,1.923,753.6,333
1,39,1995,9088,-4414,4674,3597,8271,550,2644,2865,5509,0,0,2212,-918,41.5,0,1294,1294,0,0,1294,15.645,126,1.547,1.547,760.448,377
2,39,1996,19531,-11408,8123,6837,14960,758,5107,4283,9390,0,0,4812,-1842,38.28,-11,2959,2970,0,0,2959,19.779,227,2.11,2.02,853.896,866
3,39,1997,19900,-11569,8331,7544,15875,897,5158,6009,11167,0,0,3811,-1350,35.42,0,2461,2461,0,0,2461,15.502,219,1.71,1.65,1358.788,869
4,39,1998,21851,-13598,8253,8555,16808,804,5437,4657,10094,0,0,5910,-2202,37.26,0,3708,3708,0,0,3708,22.061,182,2.77,2.67,1320.599,951
5,39,1999,22289,-13723,8566,10090,18656,1343,5879,5504,11383,211,211,5930,-2148,36.22,0,3782,3782,0,0,3782,20.272,98,2.9,2.827,1303.95,1170
6,39,2000,31207,-20922,10285,20645,30930,1446,11037,6935,17972,23,0,11489,-3988,34.71,0,7501,7501,0,0,7501,24.252,106,3.87,3.69,2004.8,1945
7,39,2001,36643,-27131,9512,23422,32934,1377,13343,8050,21393,1431,0,8733,-3006,34.42,0,5727,5727,0,0,5727,17.389,96,2.99,2.86,1969,2545
8,39,2002,32181,-21379,10802,18248,29050,3185,12545,8231,20776,2523,0,2566,-847,33.01,-25,1694,1719,0,0,1694,5.831,66,0.83,0.8,2023.6,2891
9,39,2003,25936,-13758,12178,17436,29614,4331,11382,8872,20254,2510,0,2519,-856,33.98,0,1663,1663,0,0,1663,5.616,51,0.81,0.8,2015,3426
10,39,2004,23444,-11107,12337,20919,33256,1540,12405,9183,21588,100,0,10028,-3309,33,0,6719,6719,0,0,6719,20.204,51,3.32,3.24,2055,3101
11,39,2005,30460,-13933,16527,25845,42372,2544,15626,16981,32607,1365,0,5856,-1596,27.25,206,4466,4260,206,0,4466,10.54,52,1.59,1.55,2851,3835
12,39,2006,45075,-25520,19555,34693,54248,3483,19982,18222,38204,722,0,11839,-3585,30.28,229,8483,8254,229,0,8483,15.637,13,2.43,2.38,3557,4318
13,39,2007,59107,-37865,21242,40757,61999,3270,23400,15138,38538,305,0,19886,-6237,31.36,795,14444,13649,795,0,14444,23.297,4,4.16,4.04,3574,3577
14,39,2008,71387,-44981,26406,44966,71372,6864,24759,16735,41494,209,0,22805,-7440,32.62,0,15365,15365,0,0,15365,21.528,0,4.38,4.33,3445.3,3821
15,39,2009,73018,-34239,38779,28473,67252,20979,24659,17628,42287,1213,0,2773,926,-33.39,1906,5605,3699,1906,0,5605,8.334,674,1.35,1.35,3522,4528
16,39,2010,66350,-15198,51152,49282,100434,32015,28705,23005,51710,642,0,16067,-4415,27.48,76,11728,11652,76,0,11728,11.677,1327,2.27,2.26,3879.7,4358
17,39,2011,63782,-12781,51001,51693,102694,16639,30570,23226,53796,7400,0,24859,-7489,30.13,0,17370,17370,0,0,17370,16.914,642,3.98,3.96,3976.9,4965
18,39,2012,61293,-13604,47689,49545,97234,7574,32180,27531,59711,3200,0,26749,-7773,29.06,0,18976,18976,0,0,18976,19.516,629,4.5,4.48,3920.3,5105
19,39,2013,55953,-11043,44910,52121,97031,3385,33162,31567,64729,5000,5000,28917,-7633,26.4,0,21284,21284,0,0,21284,21.935,653,5.22,5.2,3822.2,5147
20,39,2014,52669,-9350,43319,54048,97367,225,33310,37157,70467,10200,10200,26675,-8789,32.95,0,17886,17886,0,0,17886,18.37,805,4.38,4.34,3814.9,5306
21,39,2015,51531,-7897,43634,51478,95112,3139,32710,28564,61274,0,0,30699,-8954,29.17,0,21745,21745,0,0,21745,22.863,1125,5.33,5.29,3797.5,4759
