,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,41,1994,2438,1387,1051,43.109,450,0,262,712,339,13.905,0,0,0,-148,191,-48,25.13,24,167,143,0,-49,118,4.84,0,0.44,0.435,271.264,339,262,601,24.651
1,41,1995,2711,1507,1204,44.412,409,58,273,740,464,17.116,0,0,0,-179,285,-82,28.77,61,264,203,0,-61,203,7.488,0,0.745,0.725,279.982,464,273,737,27.186
2,41,1996,3146,1777,1369,43.516,496,61,279,836,533,16.942,0,0,0,-149,384,-122,31.77,50,312,262,0,-50,262,8.328,0,0.945,0.91,288.294,533,279,812,25.811
3,41,1997,4449,2564,1885,42.369,688,72,420,1180,705,15.846,0,0,0,-313,392,-110,28.06,68,350,282,0,-68,282,6.339,0,0.925,0.885,318.076,705,420,1125,25.287
4,41,1998,4735,2764,1971,41.626,662,79,392,1133,838,17.698,0,0,0,-216,622,-151,24.28,0,471,416,0,-66,405,8.553,0,1.28,1.23,328.106,838,444,1282,27.075
5,41,1999,4833,2807,2026,41.92,644,72,467,1183,843,17.443,0,0,0,-291,552,-127,23.01,55,480,425,0,-55,425,8.794,0,1.34,1.3,326.712,843,467,1310,27.105
6,41,2000,4639,2732,1907,41.108,641,67,445,1153,754,16.254,0,0,0,-161,593,-152,25.63,35,476,441,0,-45,431,9.291,0,1.355,1.33,324.444,754,445,1199,25.846
7,41,2001,5043,3075,1968,39.024,683,65,513,1261,707,14.019,0,0,0,-224,483,-103,21.33,10,390,363,0,-27,363,7.198,0,1.14,1.125,322.184,707,471,1178,23.359
8,41,2002,5158,3060,2098,40.675,699,66,533,1298,800,15.51,0,0,0,-224,576,-135,23.44,7,448,432,0,-18,430,8.337,0,1.33,1.31,327.014,800,499,1299,25.184
9,41,2003,5128,2950,2178,42.473,751,69,435,1255,923,17.999,0,0,0,-206,717,-158,22.04,-130,429,548,0,-20,409,7.976,0,1.255,1.24,329.49,923,483,1406,27.418
