,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,48,1994,4649,526,4123,88.686,1550,610,237,2397,1726,37.126,0,0,0,-4,1722,-576,33.45,0,1146,1146,0,0,1146,24.651,0,0.118,0.118,9760,1726,237,1963,42.224
1,48,1995,5937,608,5329,89.759,2162,860,269,3291,2038,34.327,0,0,0,129,2167,-714,32.95,0,1453,1453,0,0,1453,24.474,0,0.145,0.145,10032,2038,269,2307,38.858
2,48,1996,8671,708,7963,91.835,4405,1432,-952,4885,3078,35.498,0,0,0,301,3379,-1184,35.04,0,2195,2195,0,0,2195,25.314,0,0.235,0.215,10209.302,3078,480,3558,41.033
3,48,1997,11936,1613,10323,86.486,3032,1863,557,5452,4871,40.809,0,0,0,443,5314,-1860,35,0,3454,3454,0,0,3454,28.938,15,0.36,0.33,10421.212,4871,557,5428,45.476
4,48,1998,15262,1436,13826,90.591,3491,2601,1024,7116,6710,43.965,0,0,0,407,7117,-2627,36.91,0,4490,4490,0,0,4490,29.42,28,0.46,0.42,10724,6710,1024,7734,50.675
5,48,1999,19747,1804,17943,90.864,3920,2970,1010,7900,10043,50.858,0,0,0,1848,11891,-4106,34.53,0,7785,7785,0,0,7785,39.424,28,0.77,0.71,10964,10043,926,11053,55.973
6,48,2000,22956,3002,19954,86.923,5176,3772,0,8948,11006,47.944,0,0,0,3269,14275,-4854,34,0,9421,9421,0,0,9421,41.039,14,0.89,0.85,11067.059,11006,1250,12256,53.389
7,48,2001,25296,3455,21841,86.342,5742,4379,0,10121,11720,46.331,0,0,0,-195,11525,-3804,33.01,-375,7346,7721,0,0,7346,29.04,0,0.69,0.66,11148,11720,1536,13256,52.404
8,48,2002,28365,5191,23174,81.699,6957,4307,0,11264,11910,41.988,0,0,0,-397,11513,-3684,32,0,7829,7829,0,0,7829,27.601,0,0.72,0.7,11106,11910,1084,12994,45.81
9,48,2003,32187,6059,26128,81.176,9988,6595,0,16583,9545,29.655,0,0,0,1509,11054,-3523,31.87,0,7531,7531,0,0,7531,23.398,0,0.7,0.69,10882,9545,1393,10938,33.983
10,48,2004,36835,6716,30119,81.767,13306,7779,0,21085,9034,24.526,0,0,0,3162,12196,-4028,33.03,0,8168,8168,0,0,8168,22.175,0,0.76,0.75,10894,9034,1186,10220,27.745
11,48,2005,39788,6031,33757,84.842,13099,6097,0,19196,14561,36.597,0,0,0,2067,16628,-4374,26.31,0,12254,12254,0,0,12254,30.798,0,1.13,1.12,10906,14561,855,15416,38.745
12,48,2006,44282,7650,36632,82.724,13576,6584,0,20160,16472,37.198,1510,0,1510,280,18262,-5663,31.01,0,12599,12599,0,0,12599,28.452,0,1.21,1.2,10531,16472,903,17375,39.237
13,48,2007,51122,10693,40429,79.083,14870,7121,0,21991,18438,36.067,1319,0,1319,344,20101,-6036,30.03,0,14065,14065,0,0,14065,27.513,0,1.44,1.42,9886,18438,1440,19878,38.884
14,48,2008,60420,11598,48822,80.804,18387,8164,0,26551,22271,36.86,888,-106,-106,1649,23814,-6133,25.75,0,17681,17681,0,0,17681,29.264,0,1.9,1.87,9470,23920,2056,25976,42.992
15,48,2009,58437,12155,46282,79.2,16909,9010,0,25919,20363,34.846,744,-38,706,-1248,19821,-5252,26.5,0,14569,14569,0,0,14569,24.931,0,1.63,1.62,8996,19859,2562,22421,38.368
16,48,2010,62484,12395,50089,80.163,17277,8714,0,25991,24098,38.567,0,-151,-151,1066,25013,-6253,25,0,18760,18760,0,0,18760,30.024,0,2.13,2.1,8927,25164,2673,27837,44.551
17,48,2011,69943,15577,54366,77.729,18162,9043,0,27205,27161,38.833,900,-295,-295,1205,28071,-4921,17.53,0,23150,23150,0,0,23150,33.098,0,2.73,2.69,8593,28366,2766,31132,44.511
18,48,2012,73723,17530,56193,76.222,18426,9811,0,28237,27956,37.92,0,-380,-380,-5309,22267,-5289,23.75,0,16978,16978,0,0,16978,23.029,0,2.02,2,8506,22647,2967,25614,34.744
