,enterprise_id,years,interest_income,interest_expense,net_interest_income_(for_banks),non_interest_income,revenue,credit_losses_provision,"selling,_general,_&_admin._expense",other_noninterest_expense,total_noninterest_expense,special_charges,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),"depreciation,_depletion_and_amortization"
0,47,1994,5894.9,-4362.4,1532.5,-45.3,1487.2,0,1456.8,769.4,2226.2,0,1532.5,793.5,-283,35.66,0,510.5,510.5,0,0,510.5,34.326,49.4,2.95,2.86,162.451,0
1,47,1995,2507.2,-1048.5,1458.7,4095.4,5554.1,548.4,2371.4,1419.7,3791.1,0,0,1214.6,-473.7,39,0,740.9,740.9,0,0,740.9,13.34,0,0.98,0.97,763.814,58.8
2,47,1996,3319,-1514.8,1804.2,4615.4,6419.6,743.7,2716.7,1563.3,4280,0,0,1395.9,-539.5,38.65,0,856.4,856.4,0,0,856.4,13.34,0,1.15,1.13,757.876,70
3,47,1997,3587.3,-1566.2,2021.1,5441.3,7462.4,1232.3,3065,1620,4685,0,0,1545.1,-593.7,38.42,0,951.4,951.4,0,0,951.4,12.749,66,1.4,1.4,632.429,83.3
4,47,1998,13583,-10806,2777,13549,16326,1493,7198,3361,10559,0,0,4274,-1688,39.49,0,2586,2586,0,0,2586,15.84,66,2.19,2.08,1211.538,338
5,47,1999,16436,-13514,2922,14695,17617,1173,8047,3697,11744,-685,0,5385,-1992,36.99,-117,3276,3393,0,0,3276,18.596,55,2.8,2.67,1206.367,575
6,47,2000,14880,-12515,2365,19707,22072,526,9619,4199,13818,0,0,7728,-2937,38,0,4791,4791,0,0,4791,21.706,44,4.33,4.1,1157.805,541
7,47,2001,21234,-18176,3058,23872,26930,810,12478,5151,17629,-35,0,8526,-3070,36.01,0,5456,5456,0,0,5456,20.26,36,4.95,4.73,1145.877,727
8,47,2002,24127,-20779,3348,19747,23095,1052,10649,5710,16359,0,0,5684,-2074,36.49,-89,3521,3610,0,0,3521,15.246,32,3.21,3.11,1121.865,729
9,47,2003,15866,-11970,3896,16549,20445,1336,9066,5088,14154,235,-87,4633,-1645,35.51,87,3075,2988,0,-87,2988,14.615,0,2.76,2.69,1110.781,787
10,47,2004,15744,-12809,2935,19189,22124,1267,9512,5857,15369,0,-154,5334,-1547,29,154,3941,3787,0,-154,3787,17.117,0,3.52,3.45,1099.118,637
11,47,2005,18584,-14707,3877,19825,23702,926,10976,4982,15958,0,0,6818,-1856,27.22,-431,4531,4589,-103,-45,4486,18.927,0,4.15,4.06,1105.185,805
12,47,2006,25987,-23552,2435,20272,22707,878,11325,5066,16391,-251,627,6316,-1473,23.32,96,4939,4532,358,0,4939,21.751,0,4.7,4.57,1079.936,815
13,47,2007,42776,-40897,1879,26615,28494,756,14629,4801,19430,0,756,9064,-2729,30.11,1137,7472,6335,1137,0,7472,26.223,19,7.38,7.07,1054.796,876
14,47,2008,60069,-57283,2786,22199,24985,0,16874,5335,22209,0,0,2776,-576,20.75,1049,3249,2200,1049,-40,3209,12.844,68,2.97,2.9,1024.837,475
15,47,2009,38931,-36263,2668,14994,17662,0,12565,6838,19403,-2995,0,1254,-16,1.28,540,1778,1238,540,-71,1707,9.665,97,1.45,1.39,1073.496,794
16,47,2010,7477,-6687,790,20809,21599,0,14831,6129,20960,-491,0,1130,297,-26.28,-21,1406,1427,-21,-60,1346,6.232,1109,-0.77,-0.77,1185.415,1224
17,47,2011,7305,-6407,898,28463,29361,0,16437,7179,23616,215,668,6198,-743,11.99,247,5702,5455,247,-999,4703,16.018,881,2.64,2.63,1411.269,1419
18,47,2012,7234,-6883,351,30243,30594,0,16919,7565,24484,-118,-118,6110,-1414,23.14,-51,4645,4696,-51,-535,4110,13.434,2043,1.25,1.23,1675.272,1404
19,47,2013,5692,-5897,-205,24848,24643,0,16216,7831,24047,103,103,596,161,-27.01,-41,716,757,-41,-648,68,0.276,98,-0.02,-0.02,1918.811,1581
20,47,2014,5209,-4431,778,30004,30782,0,16915,9309,26224,44,44,4558,-902,19.79,-43,3613,3656,-43,-681,2932,9.525,277,1.39,1.36,1956.52,1511
21,47,2015,5413,-3678,1735,30734,32469,0,18482,10396,28878,6,6,3591,90,-2.51,-14,3667,3681,-14,-200,3467,10.678,315,1.64,1.6,1971,1161
22,47,2016,5835,-2742,3093,30170,33263,0,16697,8071,24768,0,0,8495,-2200,25.9,-16,6279,6295,-16,-152,6127,18.42,456,2.97,2.9,1953,1433
23,47,2017,7016,-3318,3698,29013,32711,0,16465,7398,23863,2,2,8848,-2726,30.81,1,6123,6122,1,-144,5979,18.278,471,2.98,2.92,1887,1736
24,47,2018,8997,-5697,3300,32552,35852,0,17775,7674,25449,0,0,10403,-4168,40.07,-19,6216,6235,-19,-105,6111,17.045,523,3.14,3.07,1821,1753
25,47,2019,13892,-10086,3806,33908,37714,0,18323,8154,26477,0,0,11237,-2350,20.91,-4,8883,8887,-4,-135,8748,23.196,526,4.81,4.73,1738,1844
26,47,2020,17098,-12404,4694,34351,39045,161,19325,8086,27411,172,0,11301,-2064,18.26,0,9237,9237,0,-195,9042,23.158,530,5.26,5.19,1640,2643
27,47,2021,10162,-3849,6313,39515,45828,761,21137,9281,30418,231,0,14418,-3239,22.46,0,11179,11179,0,-183,10996,23.994,496,6.55,6.46,1624,3769
28,47,2022,9411,-1366,8045,48369,56414,4,25169,11117,36286,456,0,19668,-4548,23.12,0,15120,15120,0,-86,15034,26.649,468,8.16,8.03,1814,4216
29,47,2023,21595,-12268,9327,40883,50210,280,23917,11454,35371,470,0,14089,-2910,20.65,0,11179,11179,0,-150,11029,21.966,489,6.23,6.15,1713,3998
