,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,50,2001,35.894,24.861,11.033,30.738,17.237,16.823,35.441,69.501,-58.468,-162.891,0,0,0,0.194,-58.274,0,0,0,-58.274,-58.274,0,0,-58.274,-162.35,0,-1.472,-1.472,39.592,-58.468,0,-58.468,-162.891
1,50,2002,75.912,49.907,26.005,34.257,45.391,17.734,0,63.125,-37.12,-48.899,0,0,0,37.12,0,0,0,-39.182,-39.182,-39.182,0,0,-39.182,-51.615,0,-0.766,-0.766,102.256,-37.12,29.797,-7.323,-9.647
2,50,2003,152.806,78.136,74.67,48.866,70.718,14.625,0,85.343,-10.673,-6.985,0,0,0,10.673,0,0,0,-20.948,-20.948,-20.948,0,0,-20.948,-13.709,0,-0.053,-0.053,394.856,-10.673,26.477,15.804,10.343
3,50,2004,272.243,148.36,123.883,45.505,101.527,17.884,0,119.411,4.472,1.643,0,0,0,-4.472,0,0,0,6.512,6.512,6.512,0,0,6.512,2.392,0,0.01,0.007,880.376,4.472,50.991,55.463,20.373
4,50,2005,500.611,331.712,168.899,33.739,122.638,29.467,-2.56,149.545,19.354,3.866,0,0,0,2.422,21.776,-0.181,0.83,0,21.595,21.595,0,0,21.595,4.314,0,0.06,0.047,452.991,19.354,88.204,107.558,21.485
5,50,2006,682.213,465.775,216.438,31.726,180.048,35.388,-1.987,213.449,2.989,0.438,0,0,0,5.346,8.335,33.692,-404.22,0,42.027,42.027,0,0,42.027,6.16,0,0.113,0.091,458.626,2.989,107.002,109.991,16.123
6,50,2007,996.66,626.985,369.675,37.091,261.679,48.379,-4.797,305.261,64.414,6.463,0,0,0,15.904,80.318,-31.236,38.89,0,49.082,49.082,0,0,49.082,4.925,0,0.111,0.101,483.525,64.414,157.136,221.55,22.229
7,50,2008,1205.34,786.168,419.172,34.776,270.812,71.395,-14.196,328.011,91.161,7.563,0,0,0,20.34,111.501,-44.549,39.95,0,66.952,66.952,0,0,66.952,5.555,0,0.141,0.139,482.314,91.161,224.986,316.147,26.229
8,50,2009,1364.661,910.234,454.427,33.3,249.375,89.873,-6.327,332.921,121.506,8.904,12.452,-2.458,9.994,0,131.5,-48.474,36.86,0,83.026,83.026,0,0,83.026,6.084,0,0.194,0.189,439.852,133.958,242.211,376.169,27.565
9,50,2010,1670.269,1079.271,590.998,35.383,289.077,114.542,0,403.619,187.379,11.219,6.728,-6.475,0.253,4.56,192.192,-76.332,39.72,0,115.86,115.86,0,0,115.86,6.937,0,0.293,0.283,408.912,198.667,38.044,236.711,14.172
10,50,2011,2162.625,1357.355,805.27,37.236,358.3,163.329,0,521.629,283.641,13.116,3.684,-19.629,-15.945,0,267.696,-106.843,39.91,0,160.853,160.853,0,0,160.853,7.438,0,0.437,0.423,380.128,287.325,338.695,626.02,28.947
11,50,2012,3204.577,2039.901,1164.676,36.344,529.575,259.033,0,788.608,376.068,11.735,3.479,-20.025,-16.546,0,359.522,-133.396,37.1,0,226.126,226.126,0,0,226.126,7.056,0,0.611,0.594,380.583,379.547,839.619,1219.166,38.045
12,50,2013,3609.282,2652.058,957.224,26.521,578.224,329.008,0,907.232,49.992,1.385,0.474,-19.986,-19.512,0,30.48,-13.328,43.73,0,17.152,17.152,0,0,17.152,0.475,0,0.044,0.041,412.328,50.466,1702.083,1752.549,48.557
