,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,55,1999,23039.244,7305.232,15734.012,68.292,7866.279,2838.663,0,10704.942,5029.07,21.828,0,0,0,725.29,5754.36,-1367.733,23.77,0.001,4386.628,4386.628,0,-18.895,4367.733,18.958,0,0.331,0.331,2739.218,5029.07,1008.721,6037.791,26.207
1,55,2000,20385,5220,15165,74.393,6941,2666,948,10555,4610,22.615,0,0,0,722,5332,-1151,21.59,17,4198,4181,0,-17,4181,20.51,0,0.625,0.625,2624.734,4610,948,5558,27.265
2,55,2001,22185,6346,15839,71.395,8069,2885,1,10955,4884,22.015,0,0,0,711,5595,-1128,20.16,26,4493,4467,0,-26,4467,20.135,0,1.697,1.697,2632.281,4884,741,5625,25.355
3,55,2002,18762,4744,14018,74.715,7165,2528,0,9693,4325,23.052,379,-218,75,292,4692,-844,17.99,0,3848,3848,0,-12,3836,20.446,0,1.49,1.49,2578.766,4910,1037,5947,31.697
4,55,2003,20877,4994,15883,76.079,7883,2843,65,10791,5092,24.391,416,-194,157,449,5698,-959,16.83,0,4739,4739,0,-14,4725,22.633,0,1.88,1.84,2572.467,5892,1295,7187,34.425
5,55,2004,24930,6457,18473,74.099,9235,3729,-126,12838,5635,22.603,323,-243,48,51,5734,-947,16.52,0,4787,4787,0,-44,4743,19.025,0,1.99,1.97,2411.885,5977,1283,7260,29.122
6,55,2005,27277,6700,20577,75.437,9989,4152,319,14460,6117,22.426,388,-261,87,206,6410,-1045,16.3,15,5380,5365,15,-15,5365,19.669,0,2.28,2.27,2367.408,6671,1299,7970,29.219
7,55,2006,29753,7439,22314,74.997,10633,4797,377,15807,6507,21.87,405,-294,65,295,6867,-986,14.36,260,6141,5881,260,-11,6130,20.603,0,2.63,2.62,2342.454,7161,1621,8782,29.516
8,55,2007,35105,9411,25694,73.192,11974,5321,757,18052,7642,21.769,367,-266,53,299,7994,-1169,14.62,377,7202,6825,377,-27,7175,20.439,0,3.06,3.04,2360.456,8260,1923,10183,29.007
9,55,2008,38947,11032,27915,71.674,13259,6430,1445,21134,6781,17.411,423,-237,130,576,7487,-947,12.65,5428,11968,6540,5428,-22,11946,30.673,0,5.15,5.13,2328.888,7724,2858,10582,27.17
10,55,2009,42584,11439,31145,73.138,14097,7217,867,22181,8964,21.05,306,-290,-32,567,9499,-1336,14.06,70,8233,8163,70,-38,8195,19.244,0,3.62,3.59,2284,9789,2670,12459,29.258
11,55,2010,45103,12179,32924,72.997,14331,7469,1142,22942,9982,22.132,156,-551,-418,358,9922,-1468,14.8,0,8454,8454,0,-54,8400,18.624,0,3.7,3.69,2277,10473,2301,12774,28.322
12,55,2011,51561,14488,37073,71.901,15797,9070,680,25547,11526,22.354,103,-692,-628,804,11702,-1733,14.81,0,9969,9969,0,-175,9794,18.995,0,4.28,4.26,2301,12394,3419,15813,30.669
13,55,2012,59375,18983,40392,68.029,18049,9583,1980,29612,10780,18.156,62,-751,-727,502,10555,-1483,14.05,0,9072,9072,0,-132,8940,15.057,0,3.75,3.7,2413,11306,5788,17094,28.79
14,55,2013,51971,15866,36105,69.471,15117,8588,893,24598,11507,22.141,50,-724,-713,442,11236,-1706,15.18,-147,9383,9530,-147,-113,9270,17.837,0,3.83,3.79,2445,11960,4442,16402,31.56
15,55,2014,52716,16579,36137,68.55,15241,9071,842,25154,10983,20.834,34,-683,-701,525,10807,-1498,13.86,-17,9292,9309,-17,-117,9175,17.405,0,3.76,3.7,2479,11490,4405,15895,30.152
16,55,2015,53634,17345,36289,67.66,14993,9086,1121,25200,11089,20.675,33,-704,-757,1940,12272,-1545,12.59,-447,10280,10727,-447,-70,10210,19.036,0,4.21,4.13,2470,12976,4682,17658,32.923
17,55,2016,50387,17404,32983,65.459,14247,8935,824,24006,8977,17.816,33,-655,-717,-126,8134,-1106,13.6,10766,17794,7028,10766,-11,17783,35.293,0,7.4,7.29,2438,8789,5471,14260,28.301
18,55,2017,49436,17520,31916,64.56,14192,9039,417,23648,8268,16.725,43,-707,-684,233,7817,-1119,14.31,0,6698,6698,0,14,6712,13.577,0,2.82,2.8,2400,8524,6043,14567,29.466
19,55,2018,43404,13633,29771,68.59,12465,8389,215,21069,8702,20.049,110,-750,-650,1050,9102,-1603,17.61,204,7703,7499,204,0,7703,17.747,0,3.28,3.25,2371,9852,4736,14588,33.61
20,55,2019,46099,14510,31589,68.524,13717,8489,980,23186,8403,18.228,292,-932,-746,6438,14095,-1295,9.19,-186,12614,12800,-186,-3,12611,27.356,0,5.44,5.38,2344,15027,5211,20238,43.901
21,55,2020,48677,14425,34252,70.366,14369,9402,1395,25166,9086,18.666,245,-850,-805,659,8940,-1793,20.06,4590,11737,7147,4590,-5,11732,24.102,0,5.12,5.06,2319,9790,5826,15616,32.081
22,55,2021,49898,15121,34777,69.696,14197,8980,1448,24625,10152,20.346,91,-869,-812,538,9878,-1807,18.29,0,8071,8071,0,1,8072,16.177,0,3.55,3.52,2296,10747,6464,17211,34.492
23,55,2022,52877,15867,37010,69.993,14886,9540,895,25321,11689,22.106,71,-811,-822,15270,26137,-2119,8.11,0,24018,24018,0,3,24021,45.428,0,10.71,10.63,2260,26948,6113,33061,62.524
24,55,2023,51828,15486,36342,70.12,14253,9996,2896,27145,9197,17.745,379,-837,-633,-193,8371,-1416,16.92,0,6955,6955,0,0,6955,13.419,0,3.19,3.17,2197,9208,7181,16389,31.622
