,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,57,1994,2001.1,394.6,1606.5,80.281,884.9,197.1,104.6,1186.6,419.9,20.984,0,0,0,3.5,423.4,-139.7,32.99,0,283.7,283.7,0,0,283.7,14.177,0,0.05,0.05,6049.109,419.9,104.6,524.5,26.211
1,57,1995,2966.9,631.2,2335.7,78.725,1277.5,260.6,147.8,1685.9,649.8,21.902,0,0,0,9.2,659,-217.5,33,0,441.5,441.5,0,0,441.5,14.881,0,0.08,0.08,6049.082,649.8,147.8,797.6,26.883
2,57,1996,4223.3,1096.013,3127.287,74.048,1782.372,389.093,0,2171.465,955.822,22.632,0,0,0,-36.312,919.51,-316.231,34.39,0,603.279,603.279,0,0,603.279,14.285,0,0.11,0.1,5917.571,955.822,219.494,1175.316,27.829
3,57,1997,5684.336,1550.466,4133.87,72.724,2278.609,555.476,0,2834.085,1299.785,22.866,0,0,0,-16.258,1283.527,-462.07,36,0,821.457,821.457,0,0,821.457,14.451,0,0.14,0.14,6055.772,1299.785,264.773,1564.558,27.524
4,57,1998,7143.866,2273.607,4870.259,68.174,2739.862,719.143,0,3459.005,1411.254,19.755,0,0,0,-83.435,1327.819,-514.124,38.72,0,813.695,813.695,0,0,813.695,11.39,0,0.138,0.135,5998.352,1411.254,328.563,1739.817,24.354
5,57,1999,8827.252,3064.148,5763.104,65.288,3048.817,841.406,0,3890.223,1872.881,21.217,0,0,0,109.197,1982.078,-692.32,34.93,0,1289.758,1289.758,0,0,1289.758,14.611,0,0.225,0.215,5936.9,1872.881,375.384,2248.265,25.47
6,57,2000,10231,3044,7187,70.247,3097,1010,0,4107,3080,30.105,0,0,0,7043,10123,-3826,37.8,0,6297,6297,0,0,6297,61.548,0,1.11,1.05,5996,3080,391,3471,33.926
7,57,2001,10961,2897,8064,73.57,3148,1139,0,4287,3777,34.459,0,0,0,194,3971,-1410,35.51,0,2561,2561,0,0,2561,23.365,0,0.46,0.44,5865,3777,346,4123,37.615
8,57,2002,9673,2406,7267,75.127,2620,1076,0,3696,3571,36.917,0,0,0,-163,3408,-1184,34.74,0,2224,2224,0,0,2224,22.992,0,0.4,0.39,5689,3571,363,3934,40.67
9,57,2003,9475,2342,7133,75.282,2513,1180,0,3693,3440,36.306,0,0,0,-15,3425,-1118,32.64,0,2307,2307,0,0,2307,24.348,0,0.44,0.43,5418,3440,327,3767,39.757
