,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,59,1994,25020.7,10805.6,14215.1,56.813,9864.4,0,1444.2,11308.6,2906.5,11.616,0,0,0,-484,2422.5,-834.6,34.45,0,1587.9,1587.9,0,0,1587.9,6.346,0,0.71,0.71,1613.239,2906.5,1444.2,4350.7,17.388
1,59,1995,28472.4,12451.1,16021.3,56.27,11243.6,0,1576.5,12820.1,3201.2,11.243,0,0,0,-536.8,2664.4,-880.4,33.04,-32,1752,1784,0,0,1752,6.153,0,1.09,1.09,1608.701,3201.2,1576.5,4777.7,16.78
2,59,1996,19067,7216,11851,62.155,8133,0,1046,9179,2672,14.014,0,0,0,-581,2091,-669,31.99,184,1606,1422,184,0,1606,8.423,0,1,1,1608,2672,1046,3718,19.5
3,59,1997,20337,7585,12752,62.703,9063,0,1073,10136,2616,12.863,0,0,0,-1050,1566,-624,39.85,207,1149,942,207,0,1149,5.65,0,0.73,0.72,1606,2616,1073,3689,18.139
4,59,1998,20917,7618,13299,63.58,9241,0,1106,10347,2952,14.113,0,0,0,-643,2309,-818,35.43,651,2142,1491,651,0,2142,10.241,0,1.4,1.36,1570,2952,1106,4058,19.401
5,59,1999,22348,8318,14030,62.78,9924,0,1234,11158,2872,12.851,0,0,0,-609,2263,-270,11.93,0,1993,1993,0,0,1993,8.918,0,1.35,1.31,1519,2872,1234,4106,18.373
6,59,2000,25093,10326,14767,58.849,11018,0,193,11211,3556,14.171,0,0,0,719,4275,-1770,41.4,0,2505,2505,0,0,2505,9.983,0,1.4,1.37,1496,3556,1156,4712,18.778
7,59,2001,25479,10226,15253,59.865,11104,0,147,11251,4002,15.707,0,0,0,-241,3761,-1218,32.39,0,2543,2543,0,0,2543,9.981,0,1.45,1.42,1791,4002,1093,5095,19.997
8,59,2002,23512,10750,12762,54.279,8574,0,165,8739,4023,17.11,0,0,0,-379,3644,-1244,34.14,0,2400,2400,0,0,2400,10.208,3,1.35,1.33,1802.256,4023,1082,5105,21.712
9,59,2003,25112,11497,13615,54.217,8958,0,138,9096,4519,17.995,0,0,0,-86,4433,-1433,32.33,0,3000,3000,0,0,3000,11.947,4,1.69,1.68,1783.333,4519,1112,5631,22.424
10,59,2004,26971,12379,14592,54.103,9460,0,145,9605,4987,18.49,0,0,0,5,4992,-1424,28.53,0,3568,3568,0,0,3568,13.229,3,2.07,2.05,1739,4987,1221,6208,23.017
