,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,61,1994,30296,16221,14075,46.458,9361,0,1134,10495,3580,11.817,0,0,0,-234,3346,-1135,33.92,0,2211,2211,0,0,2211,7.298,102,0.77,0.725,2908.966,3580,1134,4714,15.56
1,61,1995,33482,19561,13921,41.578,9677,0,0,9677,4244,12.676,0,0,0,-244,4000,-1355,33.88,0,2645,2645,0,0,2645,7.9,102,0.925,0.87,2989.2,4244,1253,5497,16.418
2,61,1996,35284,20762,14522,41.157,9707,0,0,9707,4815,13.646,0,0,0,-146,4669,-1623,34.76,0,3046,3046,0,0,3046,8.633,103,1.05,0.98,3003.061,4815,1358,6173,17.495
3,61,1997,35764,20510,15254,42.652,9766,0,0,9766,5488,15.345,0,0,0,-239,5249,-1834,34.94,0,3415,3415,0,0,3415,9.549,104,1.18,1.1,3010,5488,1487,6975,19.503
4,61,1998,37154,21064,16090,43.306,10035,0,0,10035,6055,16.297,0,0,0,-347,5708,-1928,33.78,0,3780,3780,0,0,3780,10.174,104,1.25,1.18,3115.254,6055,1598,7653,20.598
5,61,1999,38125,21027,17098,44.847,10845,0,0,10845,6253,16.401,0,0,0,-415,5838,-2075,35.54,0,3763,3763,0,0,3763,9.87,109,1.35,1.27,1446.8,6253,2148,8401,22.035
6,61,2000,39951,21514,18437,46.149,12483,0,0,12483,5954,14.903,0,0,0,-418,5536,-1994,36.02,0,3542,3542,0,0,3542,8.866,115,1.24,1.17,1427.2,5954,2191,8145,20.388
7,61,2001,39244,22102,17142,43.681,12406,0,0,12406,4736,12.068,0,0,0,-120,4616,-1694,36.7,0,2922,2922,0,0,2922,7.446,121,1.075,1.035,2811.2,4736,2271,7007,17.855
8,61,2002,40238,20989,19249,47.838,12571,0,0,12571,6678,16.596,0,0,0,-295,6383,-2031,31.82,0,4352,4352,0,0,4352,10.816,124,1.63,1.545,2809.8,6678,1693,8371,20.804
9,61,2003,43377,22141,21236,48.957,13383,0,0,13383,7853,18.104,0,0,0,-323,7530,-2344,31.13,0,5186,5186,0,0,5186,11.956,125,1.8,1.7,2802.6,7853,1703,9556,22.03
