,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,64,1994,20736,15422,5314,25.627,2547,1137,815,4499,815,3.93,0,0,0,8,823,-336,40.83,86,573,487,0,-86,487,2.349,43,0.223,0.208,1008.376,815,815,1630,7.861
1,64,1995,20801,15492,5309,25.523,2536,978,840,4354,955,4.591,0,0,0,14,969,-384,39.63,107,692,585,0,-107,585,2.812,32,0.28,0.275,985.088,955,840,1795,8.629
2,64,1996,22624,16756,5868,25.937,2651,963,844,4458,1410,6.232,0,0,0,-196,1214,-464,38.22,130,880,750,0,-130,750,3.315,21,0.184,0.179,976.568,1410,844,2254,9.963
3,64,1997,22788,16574,6214,27.269,2796,1122,841,4759,1455,6.385,0,0,0,-55,1400,-494,35.29,101,1007,906,0,-101,906,3.976,0,0.453,0.435,951.896,1455,841,2296,10.076
4,64,1998,21062,15139,5923,28.122,2611,1069,707,4387,1536,7.293,0,0,0,-60,1476,-514,34.82,208,1170,962,110,-98,1072,5.09,32,0.555,0.525,916.284,1536,707,2243,10.65
5,64,1999,22787,16167,6620,29.052,2737,1168,730,4635,1985,8.711,0,0,0,-260,1725,-568,32.93,183,1340,1157,98,-85,1255,5.508,33,0.67,0.633,900.208,1985,730,2715,11.915
6,64,2000,23844,17366,6478,27.168,3133,1292,819,5244,1234,5.175,0,0,0,-68,1166,-325,27.87,781,1622,841,690,-91,1531,6.421,33,1.61,1.505,995.349,1234,819,2053,8.61
7,64,2001,26583,18970,7613,28.639,3171,1302,0,4473,3140,11.812,0,-382,-382,0,2758,-853,30.93,0,1905,1808,0,-97,1808,6.801,32,1.89,1.775,1016,3140,859,3999,15.043
8,64,2002,27897,20087,7810,27.996,3323,1254,0,4577,3233,11.589,0,-426,-426,0,2807,-755,26.9,0,2052,2052,0,-114,1938,6.947,0,2.03,1.915,1010.8,3233,905,4138,14.833
9,64,2003,28212,20161,8051,28.538,3203,1191,0,4394,3657,12.963,0,-381,-381,0,3276,-887,27.08,0,2389,2389,0,-153,2236,7.926,0,2.335,2.21,1011.2,3657,727,4384,15.54
10,64,2004,31034,22508,8526,27.473,3654,1027,0,4681,3845,12.39,0,-375,-375,0,3470,-941,27.12,0,2529,2529,0,-168,2361,7.608,0,4.93,4.69,1014,3845,799,4644,14.964
