,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,68,1999,93692,76674,17018,18.164,10756,2402,756,13914,3104,3.313,0,0,0,-699,2405,-1913,79.54,0,492,492,0,-142,350,0.374,0,0.03,0.03,11743.32,3104,9423,12527,13.37
1,68,2000,105366,81839,23527,22.329,9025,505,-1235,8295,15232,14.456,0,0,0,-711,14521,-5696,39.23,0,8825,8825,0,-241,8584,8.147,0,0.733,0.731,11743.32,15232,6520,21752,20.644
2,68,2001,149146,118328,30818,20.663,9033,1144,-3859,6318,24500,16.427,0,0,0,-464,24036,-11273,46.9,0,12763,12763,0,-44,12719,8.528,0,1.086,1.083,11743.32,24500,7885,32385,21.714
3,68,2002,135211,107839,27372,20.244,9142,1269,-3041,7370,20002,14.793,0,0,0,-104,19898,-8694,43.69,0,11204,11204,0,-352,10852,8.026,0,0.927,0.924,11743.32,20002,6117,26119,19.317
4,68,2003,166601,137997,28604,17.169,11555,472,-1749,10278,18326,11,0,0,0,-629,17697,-7796,44.05,0,9901,9722,0,-179,9722,5.836,0,1.706,1.706,3359.2,18326,8621,26947,16.175
5,68,2004,198362,165147,33215,16.745,13279,584,0,13863,19352,9.756,0,0,0,2383,21735,-9349,43.01,280,12666,12033,25,-353,12313,6.207,0,1.81,1.81,3359.2,19352,11711,31063,15.66
6,68,2005,266386,223259,43127,16.19,15098.001,553,-1191.003,14459.998,28667.002,10.762,462.999,-755,365.999,2625.999,31659,-12168.001,38.43,-234.001,19256.998,19491,-234.001,-717,18539.998,6.96,0,1.58,1.58,11692.308,32414,12845.001,45259.001,16.99
7,68,2006,306731,252622,54109,17.641,16768,0,0,16768,37341,12.174,0,0,0,7226,44567,-17999,40.39,-307,26261,25618,-307,-950,25311,8.252,0,7.58,7.56,3366.25,37341,11981,49322,16.08
8,68,2007,318845,264551,54294,17.028,16616,0,0,16616,37678,11.817,0,0,0,6950,44628,-18317,41.04,0,26311,25442,0,-869,25442,7.979,0,7.94,7.9,3235.45,37678,12615,50293,15.774
9,68,2008,355782,298409,57373,16.126,16621,0,0,16621,40752,11.454,0,0,0,9824,50576,-18650,36.88,0,31926,31331,0,-595,31331,8.806,0,10,9.98,3142.9,40752,13180,53932,15.159
10,68,2009,465807,385152,80655,17.315,16906,1230,15651,33787,46868,10.062,5133,-1181,3952,0,50820,-24344,47.9,0,26476,26476,0,-199,26277,5.641,0,8.54,8.52,3085.745,52001,13656,65657,14.095
11,68,2010,285129,228376,56753,19.904,17430,1125,16636,35191,21562,7.562,1965,-542,1423,-1965,21020,-8302,39.5,0,12718,12718,0,-200,12518,4.39,0,4.08,4.08,3064.461,21562,14458,36020,12.633
12,68,2011,368056,323229,44827,12.179,15528,1019,2036,18583,26244,7.13,153,-1009,-524,9624,35344,-14870,42.07,0,20474,20474,0,-347,20127,5.469,0,6.56,6.56,3069.65,36353,15595,51948,14.114
13,68,2012,470171,409825,60346,12.835,14359,1123,2266,17748,42598,9.06,209,-1462,-1253,14198,55543,-24450,44.02,0,31093,31093,0,-267,30826,6.556,0,9.94,9.92,3110.828,57005,13228,70233,14.938
14,68,2013,467153,410555,56598,12.116,14465,1307,3104,18876,37722,8.075,214,-1547,-1169,13959,50512,-23552,46.63,0,26960,26960,0,-248,26712,5.718,0,8.54,8.52,3133.92,52059,14615,66674,14.272
15,68,2014,451235,403094,48141,10.669,14675,1318,5278,21271,26870,5.955,194,-1560,-1284,8006,33592,-17066,50.8,0,16526,16526,0,-155,16371,3.628,0,5.2,5.2,3146.7,35152,21509,56661,12.557
16,68,2015,421105,381815,39290,9.33,13965,1222,4224,19411,19879,4.721,206,-1799,-1581,10016,28314,-13584,47.98,0,14730,14730,0,144,14874,3.532,0,4.72,4.72,3155.8,30113,24499,54612,12.969
17,68,2016,264960,249453,15507,5.853,11956,1093,5719,18768,-3261,-1.231,359,-1925,-1523,6831,2047,153,-7.47,0,2200,2200,0,-261,1939,0.732,0,0.62,0.6,3196.9,3972,26714,30686,11.581
18,68,2017,233591,216001,17590,7.53,12101,1014,2108,15223,2367,1.013,451,-3501,-3050,6289,5606,-829,14.79,0,4777,4777,0,-202,4575,1.959,0,1.16,1.16,3945.85,9107,24993,34100,14.598
19,68,2018,305179,276322,28857,9.456,10509,922,1945,13376,15481,5.073,677,-3928,-3024,5673,18130,-4695,25.9,0,13435,13435,0,-458,12977,4.252,0,3.16,3.12,4149.5,22058,26223,48281,15.821
20,68,2019,388379,343504,44875,11.554,11360,986,1340,13686,31189,8.031,772,-3576,-2700,7132,35621,-11715,32.89,0,23906,23906,0,-554,23352,6.013,0,5.64,5.6,4174.35,39197,22135,61332,15.792
21,68,2020,344877,308122,36755,10.657,10493,962,2354,13809,22946,6.653,899,-4558,-3480,6019,25485,-9053,35.52,0,16432,16432,0,-590,15842,4.594,0,3.94,3.9,4056.25,30043,28701,58744,17.033
22,68,2021,180543,193538,-12995,-7.198,9881,907,1747,12535,-25530,-14.141,679,-4057,-3105,1668,-26967,5433,20.15,0,-21534,-21534,0,-146,-21680,-12.008,0,-5.56,-5.56,3897.8,-22910,52444,29534,16.358
23,68,2022,261504,225655,35849,13.709,11328,815,1423,13566,22283,8.521,511,-3606,-2754,10300,29829,-9199,30.84,0,20630,20630,0,-529,20101,7.687,0,5.18,5.14,3903.4,33435,26921,60356,23.08
24,68,2023,381314,302535,78779,20.66,12883,1075,1712,15670,63109,16.55,1046,-3901,-2855,4561,64815,-21941,33.85,0,42874,42874,0,-565,42309,11.096,0,11.52,11.42,3705.25,68716,18529,87245,22.88
