,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,69,1994,2195.5,989,1206.5,54.953,774.2,0,139.6,913.8,292.7,13.332,0,0,0,-226.5,66.2,-54.8,82.78,0,11.4,11.4,0,0,11.4,0.519,0,0.03,0.03,380,292.7,139.6,432.3,19.69
1,69,1995,2760.9,1286.3,1474.6,53.41,868.9,0,230,1098.9,375.7,13.608,0,0,0,-30.3,345.4,-142.3,41.2,0,203.1,203.1,0,0,203.1,7.356,0,0.513,0.513,395.992,375.7,230,605.7,21.939
2,69,1996,2935.3,1340.3,1595,54.339,960.9,0,231.4,1192.3,402.7,13.719,0,0,0,-16.5,386.2,-159.1,41.2,0,227.1,227.1,0,0,227.1,7.737,0,0.57,0.57,399.008,402.7,231.4,634.1,21.603
3,69,1997,3074.7,1445,1629.7,53.004,968.1,0,238.6,1206.7,423,13.757,0,0,0,391.8,814.8,-319.1,39.16,0,495.7,495.7,0,0,495.7,16.122,0,1.24,1.24,399.988,423,238.6,661.6,21.518
4,69,1998,3534.1,1639.4,1894.7,53.612,1116.2,0,293.5,1409.7,485,13.723,0,0,0,-13.7,471.3,-180.6,38.32,0,290.7,290.7,0,0,290.7,8.226,0,0.735,0.73,398.219,485,293.5,778.5,22.028
5,69,1999,3724.9,1661.6,2063.3,55.392,1216.7,0,299.2,1515.9,547.4,14.696,0,0,0,8.8,556.2,-216.9,39,-8.7,330.6,339.3,0,0,330.6,8.875,0,0.84,0.83,398.313,547.4,299.2,846.6,22.728
6,69,2000,3991.7,1738.1,2253.6,56.457,1269.5,0,308.4,1577.9,675.7,16.928,0,0,0,22,697.7,-272.1,39,0,425.6,425.6,0,0,425.6,10.662,0,1.085,1.07,397.114,675.7,308.4,984.1,24.654
7,69,2001,4280.968,1828.266,2452.702,57.293,1533.334,0,99.185,1632.519,820.183,19.159,0,0,0,-52.841,767.342,-295.426,38.5,-68.122,403.794,471.916,0,0,403.794,9.432,0,1.04,1.03,392.033,820.183,362.325,1182.508,27.622
8,69,2002,4474.601,2009.378,2465.223,55.094,1634.286,0,159.746,1794.032,671.191,15,0,0,0,-55.07,616.121,-238.436,38.7,-0.654,377.031,377.685,-0.654,0,377.031,8.426,0,0.975,0.96,392.741,671.191,420.598,1091.789,24.4
9,69,2003,4707.693,2014.977,2692.716,57.198,1649.084,0,123.72,1772.804,919.912,19.541,0,0,0,-22.517,897.395,-325.429,36.26,4.794,576.76,571.966,4.794,0,576.76,12.251,0,1.495,1.48,389.703,919.912,408.771,1328.683,28.224
10,69,2004,4890.32,2018.45,2871.87,58.726,1766.549,0,-32.053,1734.496,1137.374,23.258,0,0,0,-7.097,1130.277,-442.466,39.15,-0.161,687.65,687.811,-0.161,0,687.65,14.062,0,1.81,1.79,384.162,1137.374,403.179,1540.553,31.502
