,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,81,1994,6002,1367,4635,77.224,2377,0,508,2885,1750,29.157,0,-362,-362,-658,730,-318,43.56,118,530,412,118,0,530,8.83,0,0.645,0.645,821.705,1092,508,1600,26.658
1,81,1995,6492,1446,5046,77.726,2460,0,541,3001,2045,31.5,0,-347,-347,-800,898,-330,36.75,-22,546,568,-22,0,546,8.41,0,0.665,0.665,822.695,1245,541,1786,27.511
2,81,1996,7486,2056,5430,72.535,2826,0,642,3468,1962,26.209,0,-450,-450,-579,933,-314,33.65,327,946,619,327,0,946,12.637,0,1.155,1.15,822.609,1383,642,2025,27.051
3,81,1997,8786,2225,6561,74.676,3260,0,762,4022,2539,28.898,0,-501,-501,-925,1113,-380,34.14,171,904,733,171,0,904,10.289,0,1.043,1.035,872,1614,762,2376,27.043
4,81,1998,11079,3006,8073,72.868,4166,0,1043,5209,2864,25.851,0,-605,-605,-1583,676,-244,36.09,0,432,432,0,0,432,3.899,0,0.44,0.435,992.4,1281,1043,2324,20.977
5,81,1999,10514,2798,7716,73.388,4348,0,1070,5418,2298,21.857,0,-714,-714,-2280,-696,63,9.05,0,-633,-633,0,0,-633,-6.021,0,-0.643,-0.643,984,18,1070,1088,10.348
6,81,2000,11237,2719,8518,75.803,4285,0,1083,5368,3150,28.032,0,-733,-733,-1215,1202,-419,34.86,27,810,783,27,0,810,7.208,0,0.82,0.805,1079.2,1935,1083,3018,26.858
7,81,2001,11878,4164,7714,64.944,4311,0,1140,5451,2263,19.052,0,-723,-723,-230,1310,-468,35.73,0,842,842,0,0,842,7.089,0,0.855,0.835,1078,2033,1140,3173,26.713
8,81,2002,10830,3771,7059,65.18,3586,0,1126,4712,2347,21.671,0,-700,-700,-168,1479,-545,36.85,32,966,934,32,0,966,8.92,0,0.975,0.943,1087.6,2179,1126,3305,30.517
9,81,2003,11159,3706,7453,66.789,3694,0,1147,4841,2612,23.407,0,-632,-632,-35,1945,-680,34.96,76,1341,1265,76,0,1341,12.017,0,1.33,1.263,1107.2,2577,1147,3724,33.372
10,81,2004,11551,4043,7508,64.999,3892,0,1067,4959,2549,22.067,0,-574,-574,-338,1637,-581,35.49,529,1585,1056,255,0,1585,13.722,0,1.558,1.51,1072,2211,1067,3278,28.379
11,81,2005,12215,4948,7267,59.492,4167,0,1111,5278,1989,16.283,0,-527,-527,-606,856,-252,29.44,0,604,604,0,0,604,4.945,0,0.583,0.575,1048.8,1383,1111,2494,20.418
12,81,2006,13578,5822,7756,57.122,4375,0,1175,5550,2206,16.247,0,-504,-504,-266,1436,-410,28.55,0,1026,1026,0,0,1026,7.556,0,0.973,0.963,1066,1940,1175,3115,22.942
13,81,2007,15578,6120,9458,60.714,4535,0,1237,5772,3686,23.662,29,-477,-448,-713,2525,-919,36.4,0,1606,1606,0,0,1606,10.309,0,1.49,1.475,1087.8,3002,1237,4239,27.212
14,81,2008,16283,6328,9955,61.137,4526,0,1321,5847,4108,25.229,50,-482,-432,-667,3009,-1154,38.35,0,1855,1855,0,0,1855,11.392,0,1.745,1.73,1073.6,3491,1321,4812,29.552
15,81,2009,17970,7237,10733,59.727,4457,0,1366,5823,4910,27.323,21,-511,-490,-769,3651,-1316,36.04,0,2335,2335,0,0,2335,12.994,0,2.285,2.265,1030,4162,1366,5528,30.762
16,81,2010,14143,4587,9556,67.567,4063,0,1427,5490,4066,28.749,5,-600,-595,-497,2974,-1084,36.45,0,1890,1890,0,0,1890,13.364,0,1.88,1.87,1011.6,3574,1427,5001,35.36
17,81,2011,16965,11265,5700,33.599,4314,0,-3595,719,4981,29.36,4,-602,-598,50,4433,-1653,37.29,0,2780,2780,0,0,2780,16.387,0,2.79,2.765,1005.8,5035,1487,6522,38.444
18,81,2012,19557,13051,6506,33.267,4681,0,-3899,782,5724,29.268,3,-572,-569,109,5264,-1972,37.46,0,3292,3292,0,0,3292,16.833,0,3.39,3.36,979.6,5836,1617,7453,38.109
19,81,2013,20926,13393,7533,35.998,0,0,788,788,6745,32.233,3,-535,-532,105,6318,-2375,37.59,0,3943,3943,0,0,3943,18.843,0,4.17,4.14,952.9,6853,1760,8613,41.159
20,81,2014,21963,13668,8295,37.768,0,0,849,849,7446,33.903,4,-526,-522,124,7048,-2660,37.74,0,4388,4388,0,0,4388,19.979,0,4.74,4.71,931.5,7574,1777,9351,42.576
21,81,2015,23988,14311,9677,40.341,0,0,924,924,8753,36.489,4,-561,-557,147,8343,-3163,37.91,0,5180,5180,0,0,5180,21.594,0,5.77,5.75,901.1,8904,1904,10808,45.056
22,81,2016,21813,12837,8976,41.15,0,0,924,924,8052,36.914,5,-622,-617,221,7656,-2884,37.67,0,4772,4772,0,0,4772,21.877,0,5.51,5.49,869.4,8278,2012,10290,47.174
23,81,2017,19941,11701,8240,41.322,0,0,997,997,7243,36.322,11,-698,-687,210,6766,-2533,37.44,0,4233,4233,0,0,4233,21.228,0,5.09,5.07,835.4,7464,2038,9502,47.651
24,81,2018,21240,12186,9054,42.627,0,0,948,948,8106,38.164,16,-719,-703,229,7632,3080,-40.36,0,10712,10712,0,0,10712,50.433,0,13.42,13.36,801.7,8351,2105,10456,49.228
25,81,2019,22832,13293,9539,41.779,0,0,1022,1022,8517,37.303,30,-870,-840,64,7741,-1775,22.93,0,5966,5966,0,0,5966,26.13,0,7.95,7.91,754.3,8611,2191,10802,47.311
26,81,2020,21708,12094,9614,44.288,0,0,1060,1060,8554,39.405,63,-1050,-987,180,7747,-1828,23.6,0,5919,5919,0,0,5919,27.266,0,8.41,8.38,706.1,8797,2216,11013,50.732
27,81,2021,19533,10354,9179,46.992,0,0,1345,1345,7834,40.107,12,-1141,-1129,275,6980,-1631,23.37,0,5349,5349,0,0,5349,27.384,0,7.9,7.88,679.1,8121,2210,10331,52.89
28,81,2022,21804,11290,10514,48.221,0,0,1176,1176,9338,42.827,5,-1157,-1157,297,8478,-1955,23.06,0,6523,6523,0,0,6523,29.917,0,9.98,9.95,655.4,9635,2208,11843,54.316
29,81,2023,24875,13670,11205,45.045,0,0,1288,1288,9917,39.867,0,-1271,-1271,426,9072,-2074,22.86,0,6998,6998,0,0,6998,28.133,0,11.24,11.21,624,10343,2246,12589,50.609
