,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,82,1999,24788,6240,18548,74.827,14346,0,7352,21698,-3150,-12.708,0,0,0,6052,2902,-1161,40.01,0,1741,1741,0,0,1741,7.024,0,1.59,1.57,1108.917,-3150,1112,-2038,-8.222
1,82,2000,27052,6640,20412,75.455,15285,0,7862,23147,-2735,-10.11,0,0,0,4823,2088,-1205,57.71,0,883,2325,0,0,883,3.264,0,0.79,0.77,1146.753,-2735,1139,-1596,-5.9
2,82,2001,29498,7540,21958,74.439,16546,0,8440,24986,-3028,-10.265,0,0,0,7862,4834,-1900,39.3,0,2934,2934,0,0,2934,9.946,0,2.54,2.5,1173.6,-3028,-1173,-1855,-6.289
3,82,2002,30321,7566,22755,75.047,17397,0,1396,18793,3962,13.067,0,0,0,-25,3937,-1512,38.4,-26,2399,2425,0,0,2399,7.912,0,2.13,2.1,1142.381,3962,-1396,3962,13.067
4,82,2003,31272,7666,23606,75.486,17940,0,2487,20427,3179,10.166,0,0,0,1830,5009,-1755,35.04,-72,3182,3254,0,0,3182,10.175,0,2.84,2.81,1132.384,3179,-1464,4643,14.847
5,82,2004,33485,8240,25245,75.392,19251,0,9817,29068,-3823,-11.417,0,0,0,8193,4370,-1472,33.68,0,2898,2898,0,0,2898,8.655,0,2.57,2.55,1136.471,-3823,1549,-2274,-6.791
6,82,2005,36582,10677,25905,70.814,20916,0,10677,31593,-5688,-15.549,0,0,0,10610,4922,-1589,32.28,0,3333,3333,0,0,3333,9.111,0,2.95,2.93,1137.543,-5688,1543,-4145,-11.331
7,82,2006,42581,12277,30304,71.168,22517,0,1644,24161,6143,14.427,0,0,0,-68,6075,-2205,36.3,0,3870,3870,0,0,3870,9.089,0,3.48,3.47,1115.274,6143,1644,7787,18.288
8,82,2007,47547,9306,38241,80.428,29858,0,1748,31606,6635,13.955,0,-211,-211,86,6510,-2308,35.45,0,4202,4202,0,0,4202,8.838,0,3.87,3.86,1089,6721,1748,8469,17.812
9,82,2008,49692,10033,39659,79.81,37336,0,1745,39081,578,1.163,0,-246,-246,99,431,-49,11.37,0,382,382,0,0,382,0.769,0,0.36,0.36,1063,677,1745,2422,4.874
10,82,2009,51486,11878,39608,76.93,32412,0,1814,34226,5382,10.453,0,-442,-442,75,5015,-2012,40.12,0,3003,3003,0,0,3003,5.833,0,2.96,2.94,1022,5457,1814,7271,14.122
11,82,2010,45297,8819,36478,80.531,30930,0,1747,32677,3801,8.391,0,-445,-445,10,3366,-1214,36.07,0,2152,2152,0,0,2152,4.751,0,2.16,2.14,1004,3811,1747,5558,12.27
12,82,2011,49545,40031,9514,19.203,31136,0,-27263,3873,5641,11.386,0,-354,-354,3,5290,-1952,36.9,0,3338,3338,0,0,3338,6.737,0,3.36,3.33,1003,5644,1792,7436,15.009
13,82,2012,53105,42864,10241,19.284,27575,0,-23414,4161,6080,11.449,0,-348,-348,44,5776,-1972,34.14,0,3804,3804,0,0,3804,7.163,0,3.88,3.84,991,6124,1782,7906,14.888
14,82,2013,54127,48534,5593,10.333,0,0,4250,4250,1343,2.481,0,-393,-393,24,974,-167,17.15,0,807,807,0,0,807,1.491,0,0.84,0.83,969,1367,1858,3225,5.958
15,82,2014,55438,44127,11311,20.403,0,0,4277,4277,7034,12.688,0,-380,-380,20,6674,-2302,34.49,0,4372,4372,0,0,4372,7.886,0,4.65,4.61,948,7054,1867,8921,16.092
16,82,2015,58232,48726,9506,16.324,0,0,4538,4538,4968,8.531,0,-353,-353,22,4637,-1605,34.61,0,3032,3032,0,0,3032,5.207,0,3.31,3.28,924,4990,1923,6913,11.872
17,82,2016,58363,46059,12304,21.082,0,0,4636,4636,7668,13.139,0,-341,-341,15,7342,-2498,34.02,0,4844,4844,0,0,4844,8.3,0,5.38,5.35,906,7683,2084,9767,16.735
18,82,2017,61610,49303,12307,19.976,0,0,4619,4619,7688,12.479,0,-381,-381,-2186,5121,-1699,33.18,0,3422,3422,0,0,3422,5.554,0,3.88,3.86,887,5502,2224,7726,12.54
19,82,2018,66585,54001,12584,18.899,0,0,5055,5055,7529,11.307,0,-453,-453,61,7137,-2232,31.27,0,4905,4905,0,0,4905,7.367,0,5.63,5.61,875,7590,2282,9872,14.826
20,82,2019,71861,59372,12489,17.379,0,0,5465,5465,7024,9.774,0,-605,-605,-400,6019,-1228,20.4,0,4791,4791,0,0,4791,6.667,0,5.53,5.51,870,6624,2207,8831,12.289
21,82,2020,74094,60377,13717,18.513,0,0,5919,5919,7798,10.525,0,-653,-653,-1493,5652,-1212,21.44,0,4440,4440,0,0,4440,5.992,0,5.14,5.11,869,6305,2360,8665,11.695
