,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,84,1994,12990.2,4027.6,8962.6,68.995,3619.9,0,2545.1,6165,2797.6,21.536,0,0,0,-524,2273.6,-792,34.83,-78.2,1403.4,1481.6,0,0,1403.4,10.804,0,-0.42,-0.42,868.647,2797.6,2545.1,5342.7,41.129
1,84,1995,13791.4,4001.6,9789.8,70.985,4333.1,0,2652.1,6985.2,2804.6,20.336,0,0,0,-517.8,2286.8,-884.9,38.7,-2156.7,-754.8,1401.9,0,0,-754.8,-5.473,0,0.03,0.03,876.803,2804.6,2652.1,5456.7,39.566
2,84,1996,27926.8,6874.8,21052,75.383,8811.3,0,6823.3,15634.6,5417.4,19.399,0,0,0,-882.4,4535,-1708.9,37.68,-2922.9,-96.8,2826.1,0,0,-96.8,-0.347,0,-0.07,-0.07,872.857,5417.4,5234,10651.4,38.14
3,84,1997,29155.2,7594.4,21560.8,73.952,8703.9,0,6778.3,15482.2,6078.6,20.849,0,0,0,-1167.4,4911.2,-1782.3,36.29,273.1,3402,3128.9,0,0,3402,11.669,0,2.21,2.19,946.471,6078.6,5278.4,11357,38.954
4,84,1998,30194,8444.2,21749.8,72.034,9047.2,0,7361,16408.2,5341.6,17.691,0,0,0,-1357.5,3984.1,-1529.2,38.38,0,2454.9,2454.9,0,0,2454.9,8.13,0,1.58,1.57,1563.631,5341.6,5754.1,11095.7,36.748
5,84,1999,31566,9803,21763,68.944,9266,0,5870,15136,6627,20.994,0,0,0,-1628,4999,-2008,40.17,49,3040,2991,0,-75,2965,9.393,0,1.89,1.86,1578,6627,9645,16272,51.549
6,84,2000,58194,33730,24464,42.039,8241,0,1649,9890,14574,25.044,0,0,0,-1406,13168,-4872,37,123,8419,8296,0,-159,8260,14.194,0,3.02,2.97,2777,14574,9890,24464,42.039
7,84,2001,64707,39481,25226,38.985,0,0,12261,12261,12965,20.037,0,0,0,4854,17819,-7009,39.33,1203,12013,10810,0,-216,11797,18.231,10,4.34,4.31,2734.803,12965,12261,25226,38.985
8,84,2002,66713,20538,46175,69.214,20829,0,13523,34352,11823,17.722,393,-3276,-2883,-5584,3356,-2147,63.97,-195,1014,1209,-13,-625,389,0.583,0,0.14,0.14,2730,6632,13523,20155,30.212
9,84,2003,67056,19866,47190,70.374,21778,0,13282,35060,12130,18.089,187,-3130,-2943,-1653,7534,-1539,20.43,-512,5483,5995,-16,-1404,4079,6.083,0,1.49,1.49,2789,10664,13282,23946,35.711
10,84,2004,67468,21701,45767,67.835,24894,0,13607,38501,7266,10.77,95,-2797,-2702,1692,6256,-1213,19.39,-383,4660,5043,-886,-1583,3077,4.561,0,1.12,1.12,2832,9053,13607,22660,33.586
11,84,2005,65751,22032,43719,66.492,19346,0,13503,32849,10870,16.532,97,-2336,-2239,1675,10306,-2078,20.16,1932,10160,8228,1932,-2329,7831,11.91,0,2.83,2.79,2831,12642,13503,26145,39.764
12,84,2006,69518,24409,45109,64.888,19443,0,13615,33058,12051,17.335,103,-2129,-2026,1424,11449,-2421,21.15,1370,10398,9028,1370,-3001,7397,10.64,0,2.67,2.65,2817,13578,13615,27193,39.117
13,84,2007,88182,35309,52873,59.959,24955,0,14545,39500,13373,15.165,201,-2349,-2148,967,12192,-2674,21.93,717,10235,9518,759,-4038,6197,7.028,0,2.13,2.12,2938,14541,14545,29086,32.984
14,84,2008,93469,37547,55922,59.829,25967,0,14377,40344,15578,16.667,168,-1829,-1661,628,14545,-3982,27.38,11,10574,10563,142,-5053,5521,5.907,0,1.91,1.9,2902,16374,14377,30751,32.9
15,84,2009,97354,38615,58739,60.335,41517,0,14610,56127,2612,2.683,362,-1819,-1457,488,1643,2319,-141.14,0,3962,3962,0,-6155,-2193,-2.253,0,-0.77,-0.77,2849,3462,14610,18072,18.563
16,84,2010,107808,44579,63229,58.65,30717,0,16534,47251,15978,14.821,75,-3102,-3027,569,13520,-1919,14.19,0,11601,11601,0,-6707,4894,4.54,0,1.72,1.72,2841,16622,16534,33156,30.755
17,84,2011,106565,44149,62416,58.571,31366,0,16405,47771,14645,13.743,92,-2523,-2431,470,12684,-2467,19.45,0,10217,10217,0,-7668,2549,2.392,0,0.9,0.9,2833,15207,16405,31612,29.665
18,84,2012,110875,45875,65000,58.625,35624,0,16496,52120,12880,11.617,68,-2827,-2759,362,10483,-285,2.72,0,10198,10198,0,-7794,2404,2.168,0,0.85,0.85,2839,13310,16496,29806,26.883
19,84,2013,115846,46275,69571,60.055,39951,0,16460,56411,13160,11.36,57,-2571,-2514,-749,9897,660,-6.67,0,10557,10557,0,-9682,875,0.755,0,0.31,0.31,2862,12468,16460,28928,24.971
20,84,2014,120550,44887,75663,62.765,27089,0,16606,43695,31968,26.519,64,-2667,-2603,-88,29277,-5730,19.57,0,23547,23547,0,-12050,11497,9.537,0,4.01,4,2874,31944,16606,48550,40.274
21,84,2015,127079,49931,77148,60.709,41016,0,16533,57549,19599,15.423,108,-4915,-4807,478,15270,-3314,21.7,0,11956,11956,0,-2331,9625,7.574,0,2.42,2.42,3981,20185,16533,36718,28.894
22,84,2016,131620,52557,79063,60.069,29986,0,16017,46003,33060,25.118,115,-4920,-4805,-15,28240,-9865,34.93,0,18375,18375,0,-496,17879,13.584,0,4.38,4.37,4093,33160,16017,49177,37.363
23,84,2017,125980,52701,73279,58.167,27095,0,15928,43023,30256,24.017,59,-4376,-4317,-4953,20986,-7378,35.16,0,13608,13608,0,-481,13127,10.42,0,3.22,3.21,4086,25362,15928,41290,32.775
24,84,2018,126034,53063,72971,57.898,26818,0,16954,43772,29199,23.168,82,-4733,-4651,-3954,20594,9956,-48.34,0,30550,30550,0,-449,30101,23.883,0,7.37,7.36,4089,25327,16954,42281,33.547
25,84,2019,130863,55508,75355,57.583,31083,0,17403,48486,26869,20.532,94,-4833,-4739,-2507,19623,-3584,18.26,0,16039,16039,0,-511,15528,11.866,0,3.76,3.76,4132,24456,17403,41859,31.987
26,84,2020,131868,54726,77142,58.499,29896,0,16682,46578,30564,23.178,121,-4730,-4609,-3222,22733,-2945,12.95,0,19788,19788,0,-523,19265,14.609,0,4.66,4.65,4140,27463,16682,44145,33.477
27,84,2021,128292,51201,77091,60.09,31573,0,16720,48293,28798,22.447,65,-4247,-4182,-649,23967,-5619,23.44,0,18348,18348,0,-547,17801,13.875,0,4.3,4.3,4142,28214,16720,44934,35.025
28,84,2022,133613,56301,77312,57.863,28658,0,16206,44864,32448,24.285,48,-3485,-3437,409,29420,-6802,23.12,0,22618,22618,0,-553,22065,16.514,0,5.32,5.32,4150,32905,16206,49111,36.756
29,84,2023,136835,59133,77702,56.785,30136,0,17099,47235,30467,22.266,146,-3613,-3467,1271,28271,-6523,23.07,0,21748,21748,0,-492,21256,15.534,0,5.06,5.06,4204,31884,17099,48983,35.797
