,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%
0,87,1994,97825,58883,38942,39.808,7009,0,24629,31638,7304,7.466,0,0,0,748,8052,-2772,34.43,250,5530,5280,0,-250,5280,5.397,74.9,1.05,1.045,4980.957,7304,4884,12188,12.459
1,87,1995,99683,59224,40459,40.588,7226,0,26199,33425,7034,7.056,0,0,0,770,7804,-2704,34.65,233,5333,5100,0,-233,5100,5.116,42.1,1.018,1.018,5039.37,7034,5015,12049,12.087
2,87,1996,107893,62352,45541,42.209,7629,0,28714,36343,9198,8.525,0,0,0,1244,10442,-3972,38.04,301,6771,6470,0,-301,6470,5.997,38,1.295,1.295,4996.139,9198,5386,14584,13.517
3,87,1997,116728,70424,46304,39.668,7961,0,28285,36246,10058,8.617,0,0,0,1858,11916,-4406,36.98,384,7894,7510,0,-384,7510,6.434,27,1.505,1.505,5040.201,10058,5329,15387,13.182
4,87,1998,176552,104168,72384,40.999,13574,0,42095,55669,16715,9.468,0,0,0,2622,19337,-7605,39.33,526,12258,11732,0,-526,11732,6.645,69,1.705,1.685,5029.536,16715,8228,24943,14.128
5,87,1999,165627,81317,84310,50.904,12925,0,62484,75409,8901,5.374,0,0,0,3182,12083,-3939,32.6,195,8339,8144,0,-265,8074,4.875,60,1.155,1.14,4934.673,8901,8355,17256,10.419
6,87,2000,182529,95063,87466,47.919,13134,0,64715,77849,9617,5.269,0,0,0,1533,11150,-3240,29.06,145,8055,7910,0,-145,7910,4.334,36,1.14,1.125,6999.111,9617,8304,17921,9.818
7,87,2001,231846,127449,104397,45.029,12044,0,40709,52753,51644,22.275,0,0,0,-24763,26881,-11075,41.2,2326,18132,15806,184,-412,17720,7.643,0,2.55,2.52,7031.746,51644,8001,59645,25.726
8,87,2002,212785,111175,101610,47.752,12898,0,41225,54123,47487,22.317,0,0,0,-23517,23970,-8967,37.41,886,15889,15003,102,-569,15320,7.2,0,2.23,2.21,6932.127,47487,7944,55431,26.05
9,87,2003,204506,109701,94805,46.358,12356,0,41882,54238,40567,19.837,0,0,0,-23057,17510,-6499,37.12,658,11669,11011,449,-209,11460,5.604,0,1.69,1.68,6821.429,40567,8310,48877,23.9
10,87,2004,246738,129928,116810,47.342,13396,0,46692,60088,56722,22.989,0,0,0,-24756,31966,-11006,34.43,1244,22204,20960,0,-694,21510,8.718,0,3.24,3.23,6659.443,56722,9047,65769,26.655
11,87,2005,298035,163547,134488,45.125,13849,0,77984,91833,42655,14.312,0,0,0,-1414,41241,-15911,38.58,776,26106,25330,0,-776,25330,8.499,0,3.91,3.89,6511.568,42655,9767,52422,17.589
12,87,2006,370680,213002,157678,42.537,14402,0,82549,96951,60727,16.383,0,0,0,-1295,59432,-23302,39.21,799,36929,36130,0,-799,36130,9.747,0,5.76,5.71,6327.496,60727,10253,70980,19.149
13,87,2007,377635,213255,164380,43.529,14273,0,50619,64892,99488,26.345,0,0,0,-32086,67402,-27902,41.4,1051,40551,39500,0,-1051,39500,10.46,0,6.68,6.62,5966.767,99488,11416,110904,29.368
14,87,2008,395651,231383,164268,41.518,14890,0,86400,101290,62978,15.918,0,-400,-400,8901,71479,-29864,41.78,0,41615,41615,0,-1005,40610,10.264,0,7.31,7.26,5593.664,71879,12250,84129,21.263
15,87,2009,466278,287359,178919,38.372,15873,0,90057,105930,72989,15.654,0,-673,-673,11081,83397,-36530,43.8,0,46867,46867,0,-1647,45220,9.698,0,8.7,8.66,5221.709,84070,12379,96449,20.685
16,87,2010,303443,211769,91674,30.211,14735,0,48757,63492,28182,9.287,0,-548,-548,7143,34777,-15119,43.47,0,19658,19658,0,-378,19280,6.354,0,3.99,3.98,4848,35325,11917,47242,15.569
17,87,2011,370125,277058,93067,25.145,14683,0,38262,52945,40122,10.84,0,-259,-259,13096,52959,-21561,40.71,0,31398,31398,0,-938,30460,8.23,0,6.24,6.22,4897.106,53218,14760,67978,18.366
18,87,2012,467029,355888,111141,23.797,14983,0,42054,57037,54104,11.585,0,-247,-247,19400,73257,-31051,42.39,0,42206,42206,0,-1146,41060,8.792,0,8.43,8.42,4870,73504,15583,89087,19.075
19,87,2013,451509,350353,101156,22.404,13877,0,37398,51275,49881,11.048,0,-327,-327,29172,78726,-31045,39.43,0,47681,47681,0,-2801,44880,9.94,0,9.7,9.7,4628,79053,15888,94941,21.028
20,87,2014,420836,332452,88384,21.002,12877,0,35206,48083,40301,9.576,0,-9,-9,17419,57711,-24263,42.04,0,33448,33448,0,-868,32580,7.742,0,7.37,7.37,4419,57720,17182,74902,17.798
