,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%,net_interest_income_(for_banks),non_interest_income,credit_losses_provision,other_noninterest_expense,total_noninterest_expense,special_charges
0,1,1994,9189.0,6846.0,2343.0,25.498,1384.0,564.0,0.0,1948.0,395.0,4.299,43.0,-40.0,3.0,102.0,500.0,-190.0,38.0,0.0,310.0,310.0,0.0,0.0,310.0,3.374,0.0,0.023,0.023,13298.32,540.0,168.0,708.0,7.705,,,,,,
1,1,1995,11062.0,8204.0,2858.0,25.836,1583.0,614.0,0.0,2197.0,661.0,5.975,100.0,-48.0,52.0,-39.0,674.0,-250.0,37.09,0.0,424.0,424.0,0.0,0.0,424.0,3.833,0.0,0.031,0.031,13781.264,722.0,127.0,849.0,7.675,,,,,,
2,1,1996,9833.0,8865.0,968.0,9.844,1568.0,604.0,0.0,2172.0,-1204.0,-12.245,60.0,-60.0,0.0,-91.0,-1295.0,479.0,36.99,0.0,-816.0,-816.0,0.0,0.0,-816.0,-8.299,0.0,-0.059,-0.059,13858.208,-1235.0,116.0,-1119.0,-11.38,,,,,,
3,1,1997,7081.0,5713.0,1368.0,19.319,1286.0,860.0,0.0,2146.0,-778.0,-10.987,82.0,-71.0,11.0,-278.0,-1045.0,0.0,0.0,0.0,-1045.0,-1045.0,0.0,0.0,-1045.0,-14.758,0.0,-0.074,-0.074,14118.944,-974.0,118.0,-856.0,-12.089,,,,,,
4,1,1998,5941.0,4462.0,1479.0,24.895,908.0,310.0,0.0,1218.0,261.0,4.393,100.0,-62.0,38.0,30.0,329.0,-20.0,6.08,0.0,309.0,309.0,0.0,0.0,309.0,5.201,0.0,0.021,0.019,18806.704,391.0,111.0,502.0,8.45,,,,,,
5,1,1999,6134.0,4438.0,1696.0,27.649,996.0,314.0,0.0,1310.0,386.0,6.293,144.0,-47.0,97.0,193.0,676.0,-75.0,11.09,0.0,601.0,601.0,0.0,0.0,601.0,9.798,0.0,0.038,0.032,19506.368,723.0,85.0,808.0,13.173,,,,,,
6,1,2000,7983.0,5817.0,2166.0,27.133,1166.0,380.0,0.0,1546.0,620.0,7.767,210.0,-21.0,189.0,283.0,1092.0,-306.0,28.02,0.0,786.0,786.0,0.0,0.0,786.0,9.846,0.0,0.043,0.039,20178.144,1113.0,84.0,1197.0,14.994,,,,,,
7,1,2001,5363.0,4128.0,1235.0,23.028,1138.0,441.0,0.0,1579.0,-344.0,-6.414,218.0,-16.0,202.0,90.0,-52.0,15.0,28.85,12.0,-25.0,-37.0,0.0,0.0,-25.0,-0.466,0.0,-0.001,-0.001,19354.328,-36.0,100.0,64.0,1.193,,,,,,
8,1,2002,5742.0,4139.0,1603.0,27.917,1109.0,447.0,0.0,1556.0,47.0,0.819,118.0,-11.0,107.0,-67.0,87.0,-22.0,25.29,0.0,65.0,65.0,0.0,0.0,65.0,1.132,0.0,0.003,0.003,20259.96,98.0,114.0,212.0,3.692,,,,,,
9,1,2003,6207.0,4499.0,1708.0,27.517,1212.0,471.0,0.0,1683.0,25.0,0.403,69.0,-8.0,83.0,-16.0,92.0,-24.0,26.09,1.0,69.0,68.0,0.0,0.0,69.0,1.112,0.0,0.004,0.003,20354.096,25.0,113.0,138.0,2.223,,,,,,
10,1,2004,8279.0,6022.0,2257.0,27.262,1430.0,491.0,0.0,1921.0,336.0,4.059,64.0,-3.0,61.0,-27.0,370.0,-104.0,28.11,0.0,266.0,266.0,0.0,0.0,266.0,3.213,0.0,0.013,0.012,21693.728,373.0,150.0,523.0,6.317,,,,,,
11,1,2005,13931.0,9889.0,4042.0,29.014,1864.0,535.0,0.0,2399.0,1643.0,11.794,183.0,0.0,183.0,-18.0,1808.0,-480.0,26.55,0.0,1328.0,1328.0,0.0,0.0,1328.0,9.533,0.0,0.059,0.055,23992.584,1643.0,179.0,1822.0,13.079,,,,,,
12,1,2006,19315.0,13717.0,5598.0,28.983,2433.0,712.0,0.0,3145.0,2453.0,12.7,394.0,0.0,394.0,-29.0,2818.0,-829.0,29.42,0.0,1989.0,1989.0,0.0,0.0,1989.0,10.298,0.0,0.084,0.081,24570.728,2453.0,225.0,2678.0,13.865,,,,,,
13,1,2007,24578.0,16426.0,8152.0,33.168,2963.0,782.0,0.0,3745.0,4407.0,17.931,647.0,0.0,647.0,-48.0,5006.0,-1511.0,30.18,0.0,3495.0,3495.0,0.0,0.0,3495.0,14.22,0.0,0.144,0.14,24900.176,4407.0,317.0,4724.0,19.22,,,,,,
14,1,2008,37491.0,24294.0,13197.0,35.2,3761.0,1109.0,0.0,4870.0,8327.0,22.211,653.0,0.0,653.0,-33.0,8947.0,-2828.0,31.61,0.0,6119.0,6119.0,0.0,0.0,6119.0,16.321,0.0,0.248,0.242,25259.892,8327.0,496.0,8823.0,23.534,,,,,,
15,1,2009,42905.0,25683.0,17222.0,40.14,4149.0,1333.0,0.0,5482.0,11740.0,27.363,407.0,0.0,407.0,-81.0,12066.0,-3831.0,31.75,0.0,8235.0,8235.0,0.0,0.0,8235.0,19.194,0.0,0.329,0.324,25396.14,11740.0,734.0,12474.0,29.074,,,,,,
16,1,2010,65225.0,39541.0,25684.0,39.378,5517.0,1782.0,0.0,7299.0,18385.0,28.187,311.0,0.0,311.0,-156.0,18540.0,-4527.0,24.42,0.0,14013.0,14013.0,0.0,0.0,14013.0,21.484,0.0,0.55,0.541,25891.936,18385.0,1027.0,19412.0,29.762,,,,,,
17,1,2011,108249.0,64431.0,43818.0,40.479,7599.0,2429.0,0.0,10028.0,33790.0,31.215,519.0,0.0,519.0,-104.0,34205.0,-8283.0,24.22,0.0,25922.0,25922.0,0.0,0.0,25922.0,23.947,0.0,1.002,0.989,26226.06,34205.0,1814.0,36019.0,33.274,,,,,,
18,1,2012,156508.0,87846.0,68662.0,43.871,10040.0,3381.0,0.0,13421.0,55241.0,35.296,1088.0,0.0,1088.0,-566.0,55763.0,-14030.0,25.16,0.0,41733.0,41733.0,0.0,0.0,41733.0,26.665,0.0,1.595,1.578,26469.932,55763.0,3277.0,59040.0,37.723,,,,,,
19,1,2013,170910.0,106606.0,64304.0,37.624,10830.0,4475.0,0.0,15305.0,48999.0,28.67,1616.0,-136.0,1480.0,-324.0,50155.0,-13118.0,26.15,0.0,37037.0,37037.0,0.0,0.0,37037.0,21.671,0.0,1.43,1.42,26086.536,50291.0,6757.0,57048.0,33.379,,,,,,
20,1,2014,182795.0,112258.0,70537.0,38.588,11993.0,6041.0,0.0,18034.0,52503.0,28.722,1795.0,-384.0,1411.0,-431.0,53483.0,-13973.0,26.13,0.0,39510.0,39510.0,0.0,0.0,39510.0,21.614,0.0,1.623,1.613,24490.652,53867.0,7946.0,61813.0,33.816,,,,,,
21,1,2015,233715.0,140089.0,93626.0,40.06,14329.0,8067.0,0.0,22396.0,71230.0,30.477,2921.0,-733.0,2188.0,-903.0,72515.0,-19121.0,26.37,0.0,53394.0,53394.0,0.0,0.0,53394.0,22.846,0.0,2.32,2.305,23172.276,73248.0,11257.0,84505.0,36.157,,,,,,
22,1,2016,215639.0,131376.0,84263.0,39.076,14194.0,10045.0,0.0,24239.0,60024.0,27.835,3999.0,-1456.0,2543.0,-1195.0,61372.0,-15685.0,25.56,0.0,45687.0,45687.0,0.0,0.0,45687.0,21.187,0.0,2.088,2.078,22001.124,62828.0,10505.0,73333.0,34.007,,,,,,
23,1,2017,229234.0,141048.0,88186.0,38.47,15261.0,11581.0,0.0,26842.0,61344.0,26.76,5201.0,-2323.0,2878.0,-133.0,64089.0,-15738.0,24.56,0.0,48351.0,48351.0,0.0,0.0,48351.0,21.092,0.0,2.318,2.303,21006.768,66412.0,10157.0,76569.0,33.402,,,,,,
24,1,2018,265595.0,163756.0,101839.0,38.344,16705.0,14236.0,0.0,30941.0,70898.0,26.694,5686.0,-3240.0,2446.0,-441.0,72903.0,-13372.0,18.34,0.0,59531.0,59531.0,0.0,0.0,59531.0,22.414,0.0,3.0,2.98,20000.435,76143.0,10903.0,87046.0,32.774,,,,,,
25,1,2019,260174.0,161782.0,98392.0,37.818,18245.0,16217.0,0.0,34462.0,63930.0,24.572,4961.0,-3576.0,1385.0,422.0,65737.0,-10481.0,15.94,0.0,55256.0,55256.0,0.0,0.0,55256.0,21.238,0.0,2.99,2.97,18595.651,69313.0,12547.0,81860.0,31.464,,,,,,
26,1,2020,274515.0,169559.0,104956.0,38.233,19916.0,18752.0,0.0,38668.0,66288.0,24.147,3763.0,-2873.0,890.0,-87.0,67091.0,-9680.0,14.43,0.0,57411.0,57411.0,0.0,0.0,57411.0,20.914,0.0,3.31,3.28,17528.214,69964.0,11056.0,81020.0,29.514,,,,,,
27,1,2021,365817.0,212981.0,152836.0,41.779,21973.0,21914.0,0.0,43887.0,108949.0,29.782,2843.0,-2645.0,198.0,60.0,109207.0,-14527.0,13.3,0.0,94680.0,94680.0,0.0,0.0,94680.0,25.882,0.0,5.67,5.61,16864.919,111852.0,11284.0,123136.0,33.661,,,,,,
28,1,2022,394328.0,223546.0,170782.0,43.31,25094.0,26251.0,0.0,51345.0,119437.0,30.289,2825.0,-2931.0,-106.0,-228.0,119103.0,-19300.0,16.2,0.0,99803.0,99803.0,0.0,0.0,99803.0,25.31,0.0,6.15,6.11,16325.819,122034.0,11104.0,133138.0,33.763,,,,,,
29,1,2023,383285.0,214137.0,169148.0,44.131,24932.0,29915.0,0.0,54847.0,114301.0,29.821,3750.0,-3933.0,-183.0,-382.0,113736.0,-16741.0,14.72,0.0,96995.0,96995.0,0.0,0.0,96995.0,25.306,0.0,6.16,6.13,15812.547,117669.0,11519.0,129188.0,33.706,,,,,,
30,2,2010,14214.196,4056.39,10157.806,71.462,3348.572,1707.44,0.0,5056.012,5101.794,35.892,0.0,0.0,0.0,848.523,5950.317,-1313.802,22.08,0.0,4636.515,4636.515,0.0,0.0,4636.515,32.619,0.0,2.869,2.853,1625.0,5101.794,697.492,5799.286,40.799,,,,,,
31,2,2011,15638.0,4293.0,11345.0,72.548,3820.0,2495.0,0.0,6315.0,5030.0,32.165,28.0,0.0,28.0,-222.0,4836.0,-658.0,13.61,0.0,4178.0,4178.0,0.0,0.0,4178.0,26.717,0.0,2.585,2.571,1625.0,4836.0,1184.0,6020.0,38.496,,,,,,
32,2,2012,17444.0,4639.0,12805.0,73.406,5894.0,2618.0,0.0,8512.0,4293.0,24.61,20.0,0.0,20.0,-645.0,3668.0,-235.0,6.41,0.0,3433.0,3433.0,0.0,0.0,3433.0,19.68,0.0,2.124,2.113,1625.0,3668.0,1272.0,4940.0,28.319,,,,,,
33,2,2013,18380.0,4508.0,13872.0,75.473,4989.0,2778.0,0.0,7767.0,6105.0,33.216,20.0,-104.0,-84.0,-296.0,5725.0,-450.0,7.86,0.0,5275.0,5275.0,0.0,0.0,5275.0,28.7,0.0,3.35,3.35,1577.0,5829.0,1150.0,6979.0,37.971,,,,,,
34,2,2014,18790.0,4581.0,14209.0,75.62,5352.0,2855.0,0.0,8207.0,6002.0,31.943,21.0,-299.0,-278.0,-392.0,5332.0,-1204.0,22.58,0.0,4128.0,4128.0,0.0,0.0,4128.0,21.969,0.0,2.58,2.56,1604.0,5631.0,897.0,6528.0,34.742,,,,,,
35,2,2015,19960.0,4426.0,15534.0,77.826,7724.0,3297.0,750.0,11771.0,3763.0,18.853,38.0,-429.0,-391.0,-1003.0,2369.0,-595.0,25.12,0.0,1774.0,1774.0,0.0,0.0,1774.0,8.888,0.0,1.11,1.1,1610.0,2798.0,786.0,3584.0,17.956,,,,,,
36,2,2016,22859.0,4500.0,18359.0,80.314,6387.0,4285.0,0.0,10672.0,7687.0,33.628,33.0,-719.0,-686.0,-356.0,6645.0,-1501.0,22.59,0.0,5144.0,5144.0,0.0,0.0,5144.0,22.503,0.0,3.15,3.13,1637.0,7364.0,836.0,8200.0,35.872,,,,,,
37,2,2017,25638.0,5832.0,19806.0,77.253,5881.0,4385.0,0.0,10266.0,9540.0,37.21,82.0,-1047.0,-965.0,-691.0,7884.0,-1931.0,24.49,0.0,5953.0,5953.0,0.0,0.0,5953.0,23.219,0.0,3.65,3.63,1631.0,8931.0,1189.0,10120.0,39.473,,,,,,
38,2,2018,28216.0,7042.0,21174.0,75.043,6295.0,5007.0,0.0,11302.0,9872.0,34.987,146.0,-1150.0,-1004.0,-1141.0,7727.0,-2418.0,31.29,0.0,5309.0,5309.0,0.0,0.0,5309.0,18.816,0.0,3.31,3.3,1603.0,8877.0,1501.0,10378.0,36.781,,,,,,
39,2,2019,32753.0,7718.0,25035.0,76.436,7399.0,10329.0,500.0,18228.0,6807.0,20.783,204.0,-1348.0,-1144.0,-466.0,5197.0,490.0,-9.43,0.0,5687.0,5687.0,0.0,0.0,5687.0,17.363,0.0,3.67,3.66,1546.0,6545.0,1765.0,8310.0,25.372,,,,,,
40,2,2020,33266.0,7439.0,25827.0,77.638,6942.0,6407.0,-890.0,12459.0,13368.0,40.185,275.0,-1784.0,-1509.0,-3433.0,8426.0,-544.0,6.46,0.0,7882.0,7882.0,0.0,0.0,7882.0,23.694,0.0,5.3,5.28,1484.0,10210.0,2017.0,12227.0,36.755,,,,,,
41,2,2021,45804.0,15387.0,30417.0,66.407,11299.0,6379.0,0.0,17678.0,12739.0,27.812,174.0,-2454.0,-2280.0,-7061.0,3398.0,1224.0,-36.02,0.0,4622.0,4622.0,0.0,-6.0,4616.0,10.078,0.0,2.73,2.72,1673.0,5852.0,6471.0,12323.0,26.904,,,,,,
42,2,2022,56197.0,17446.0,38751.0,68.956,12349.0,6922.0,432.0,19703.0,19048.0,33.895,39.0,-2423.0,-2384.0,-3675.0,12989.0,-1440.0,11.09,0.0,11549.0,11549.0,0.0,-7.0,11542.0,20.539,0.0,6.48,6.45,1777.0,15412.0,8521.0,23933.0,42.588,,,,,,
