enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
5,1994,1029.808,935.108,2.85,0.04,0.62,0.15,2.45,0,3.62,1.68,2.32,11.66,7,-3.09,0.631,-4.36,4.13,4.07,1.28,No Debt,4.47,1.82,-1.62,0.99,62.57,14.17,10.08,22.19,487.567,361.336,2.33,02/17/95,02/17/95,,0,999,1
5,1995,2044.856,1600.088,4.18,0.51,0.82,0.69,1.78,0,1.38,1.68,1.75,8.77,5,-1.79,0.197,-3.1,3.06,3.01,2.27,No Debt,4.63,2.47,-35.39,-1.8,-0.17,-80.29,16.2,14.35,568.837,489.2,2.02,02/22/96,02/17/95,,0,1565,1
5,1996,4924.311,4408.271,8.34,0.56,0.86,0.73,3.1,0,2.49,2.32,3.64,18.64,8,-2.13,0.257,30.79,3.72,3.68,2.77,No Debt,8.48,3.64,-20.7,-1.07,6.57,474.07,21.52,12.4,601.944,590.445,2.18,02/21/97,02/22/96,,0,2319,1
5,1997,2821.834,2257.718,4.87,0.46,0.74,0.61,3.54,6.07,1.66,2.39,3.97,8.68,5,-2.89,0.161,0.2,3.3,3.3,2.57,No Debt,8.9,3.71,1.87,3.08,2.13,62.58,-6.23,8.04,608.519,579.432,2.14,02/17/98,02/21/97,,0,2266,1
5,1998,2888.13,2385.174,5.25,0.51,0.83,0.68,4.12,6.1,2.65,2.88,4.75,11.29,8,-2.67,0.212,-20.07,3.02,3.02,2.24,No Debt,6.49,4.1,5.06,7.09,18.87,25,32.45,9.21,575.696,550.12,0.78,02/17/99,02/17/98,,0,2702,1
5,1999,2723.046,2450.499,5.59,0.04,0.42,0.26,4,6.07,0,2.29,5.21,10.05,7,-2.81,0.259,-7.56,1.82,1.82,1.09,No Debt,6.34,3.06,11.45,11.32,7.03,-38.73,-18.88,3.25,531.464,487.128,1.3,02/16/00,02/17/99,,0,2680,1
5,2000,8141.259,7642.543,17.17,0.44,0.7,0.54,4.54,7.39,3.78,3.05,6.24,21.64,9,-3.97,0.018,-21.22,2.33,2.33,1.86,No Debt,19.14,4.67,2.66,4.13,19.45,138.34,61.63,9.91,483.144,474.156,1.24,02/26/01,02/16/00,,0,2760,1
5,2001,15271.157,14591.304,31.69,0.75,1.16,0.97,7.41,9.52,10.06,4.42,5.49,33.64,9,-2.42,0.09,6.66,2.79,2.79,2.16,No Debt,41.63,13.77,-1.63,0.89,26.01,22.83,36.91,17.99,476.584,481.892,1.27,02/26/01,02/26/01,,0,3007,1
5,2002,7547.888,6966.275,15.99,0.57,0.96,0.76,8.68,9.48,12.65,4.05,6.29,19.38,6,-3.29,0.033,-20.05,2.45,2.45,1.85,No Debt,38.34,11.42,2.04,5.27,-0.32,-26.55,0.34,22.87,476.922,472.038,1.48,02/21/02,02/21/02,,0,3029,1
5,2003,6851.951,6234.214,14.77,0.52,0.94,0.71,9.88,9.86,7.85,3.52,6.92,15.45,7,-2.6,0.061,0.41,2.16,2.16,1.64,No Debt,21.49,8.35,1.72,3.08,-2.92,-4.82,-15.5,17.93,473.668,463.91,1.6,02/26/03,02/26/03,,0,3341,1
5,2004,9853.539,8757.006,20.66,1.35,1.83,1.58,10.54,13.89,5.66,5.15,8.5,16.96,7,-2.86,0.004,26.43,3.04,3.04,2.51,No Debt,22.92,12.43,-2.81,-1.31,11.89,39.24,16.89,9.97,468.492,476.938,1.85,02/02/05,02/05/04,,0,3507,1
5,2005,14788.782,13475.561,30.28,1.59,2.08,1.81,12.51,20.2,6.9,7.36,10.13,20.73,8,-2.76,0.071,4.95,3.44,3.44,2.91,No Debt,30.44,17.2,-2.4,1.44,25.59,65.45,53.61,7.65,479.147,488.401,1.58,02/08/06,02/02/05,,0,3142,1
5,2006,19289.728,17588.894,32.61,1.9,2.42,2.12,15.93,26.07,15.02,8.85,12.15,24.32,7,-2.59,0.083,7.9,4.18,4.18,3.54,No Debt,34.2,25.91,-21.12,1.26,15.3,30.77,17.63,12.59,490.113,591.528,1.23,02/05/07,02/08/06,,0,5734,1
5,2007,23582.996,21302.117,40.16,2.5,3.53,2.96,19.98,30.65,15.23,8.64,12.4,19.49,6,-0.93,1.176,-10.34,4.26,4.26,3.37,No Debt,42.55,26.46,0.73,3.63,8.35,-30.25,-10.31,19.53,593.75,587.226,1.84,02/05/07,02/05/07,,0,6082,1
5,2008,24079.175,22085.321,42.14,1.63,2.64,2.05,23.76,41.42,22.79,10.02,14.71,16.03,6,-3.18,0.445,-13.98,3.02,3.02,2.34,No Debt,48,37.52,2.69,5.96,25.39,45.78,36.49,18.76,584.203,571.409,2.11,01/24/08,01/24/08,,1752,6959,1
5,2009,12184.731,10515.529,23.16,1.16,2.52,1.82,29.61,51.25,28.02,11.92,18.64,7.99,8,-2.65,0.48,-1.79,3.59,3.59,2.65,105.83,45.89,20.75,7.93,11.52,23.74,31.4,26.38,17.21,539.373,526.111,1.86,01/22/10,01/23/09,,1728,7335,1
5,2010,18334.808,17430.335,35.08,-0.93,0.16,-0.34,33.73,42.79,10.01,5.49,17.39,6.61,5,-3,0.685,10.52,2.93,2.93,2.26,214.79,36.9,15.98,0.66,0.93,-14.92,-54.09,-24.87,12.15,524.47,522.657,1.72,01/27/11,01/22/10,,1709,8660,1
