enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
9,1997,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,-0.337,28.1,1.45,1.33,1.27,0,0,0,-,0,0,0,0,0,3500,5731.88,0,03/05/99,03/05/99,,0,256,1
9,1998,1443.698,1396.525,0.251,0,0,0,0,0,0,0,0,8.53,N/A,0,-2.239,62.71,3.09,2.89,2.81,0,0.27,0.07,-0.33,-3.7,600,-200,-150,0,5213.64,5750.64,0,03/29/00,03/30/98,,0,614,1
9,1999,17054.947,17030.45,2.677,-0.02,-0.01,-0.02,0,0,0,0,0,21.15,5,6.49,0.762,25.97,2.63,2.44,2.31,0,2.933,0.215,-10.78,-0.05,267.86,-250,-40,0,5926.88,6370.68,0,03/23/01,03/05/99,,0,2100,1
9,2000,26274.924,27049.396,3.806,-0.22,-0.17,-0.2,0,0,0,0,0,6.72,2,-3.16,1.605,13.09,1.37,1.07,0.96,0,5.356,2.138,-8.36,0,143.69,-423.81,-571.43,0,6535.06,6903.1,0,01/24/02,03/29/00,,0,7600,1
9,2001,5557.991,6601.51,0.778,-0.28,-0.24,-0.27,0,0,0,0,-0.36,-0.43,4,-0.76,0.031,-67.67,1.4,1.22,1.13,0,4.469,0.759,-3.47,0,56.97,-82.73,-72.34,0,7017.46,7142.8,2.86,02/19/03,03/23/01,,0,9000,1
9,2002,4038.219,5212.759,0.541,-0.28,-0.25,-0.26,-10.21,0,0,0,-0.57,-0.32,4,-3.41,-0.124,-11.22,1.31,1.15,1.08,0,1.088,0.299,-4.5,-2.47,8.88,61.19,79.01,-107.6,7284.22,7464.36,3.05,02/25/04,01/24/02,,0,7800,1
9,2003,7327.544,8317.199,0.945,-0.26,-0.22,-0.24,-0.43,0,0,0,-0.51,1.49,6,-2.67,-0.222,-10.18,1.52,1.33,1.22,0.45,1.213,0.457,-3.94,0,21.21,74.36,158.82,0,7567.26,7758.12,2.66,03/11/05,02/19/03,,0,7500,1
9,2004,21224.487,21779.319,2.631,-0.22,-0.17,-0.19,-0.21,0,0,0,-0.32,5.06,6,-2.77,-0.242,-27.47,1.45,1.22,1.11,2.08,2.996,0.979,-3.98,0,20.77,120,190,0,7900,8067.08,2.6,02/17/06,02/25/04,,0,7800,1
9,2005,18146.1,18222.1,2.215,-0.21,-0.11,-0.14,0.01,0,0,0,-0.06,5.04,8,-0.23,-0.07,10.44,1.57,1.27,1.1,4.11,2.859,1.692,-1.58,0,29.62,1650,117.24,0,8120,8194.22,1.18,02/16/07,03/11/05,,0,9000,1
9,2006,19614.4,19099.4,2.358,-0.17,-0.06,-0.09,0.3,0,0,0.09,0.28,5.74,5,-2.75,-0.083,10.23,1.54,1.24,1.05,4.7,2.475,1.586,-1.53,0,22.36,-40,19.05,0,8240,8320,2.46,02/11/08,02/17/06,,0,12000,1
9,2007,16336.44,15584.44,1.973,-0.23,-0.07,-0.11,0.61,3.8,0,0.12,0.43,4.94,6,-2.51,-0.087,-4.1,1.33,0.99,0.8,4.99,2.394,1.304,0.48,1.54,26.81,-45.24,4,0,8320,8280,3.75,01/30/09,02/16/07,,0,13900,1
9,2008,38538.24,36787.24,4.632,-0.26,-0.01,-0.06,1.09,4.77,1.43,0.38,0.65,7.01,8,-2.53,-0.127,-14.97,1.39,1.07,0.84,8.51,5.041,1.822,-0.48,0.64,38.48,143.48,48.72,53.25,8260,8320,3.05,01/29/10,02/11/08,,3587,17000,1
9,2009,21977.736,18659.736,2.564,-0.22,0.06,0,1.54,5.27,1.8,0.65,0.88,5.11,4,-2.7,-0.1,1.77,1.3,1,0.79,11.86,4.813,1.752,-3.02,0.46,26.82,33.93,25.86,29.19,8460,8571.66,1.95,01/28/11,01/30/09,01/16/09,3552,20700,1
9,2010,59726.88,53612.88,6.726,-0.25,0.14,-0.04,2.42,5.96,2.55,0.93,1.12,6.48,7,-3.45,-0.103,-0.39,1.33,1.04,0.86,33.21,7.113,2.422,-3.6,0,25.02,36,21.92,25.18,8660,8880,1.15,01/28/11,01/29/10,01/28/10,3544,24300,1
9,2011,81180,73059,9,-0.35,0.2,-0.04,3.06,7.95,3.2,1.25,1.37,6.48,3,-2.7,-0.091,5.41,1.33,1.02,0.84,36.05,9.238,5.431,-1.58,0,35.23,24.51,29.78,28.63,8940,9020,1.07,01/30/13,01/28/11,01/27/11,3383,33700,1
9,2012,78760.5,70599.5,8.655,-0.87,0,-0.18,3.52,11.86,1.7,0.94,1.34,4.96,4,-1.46,-0.021,-5.31,1.17,0.84,0.64,13.26,12.336,8.049,-0.89,0.35,39.04,-45.67,-2.16,24.57,9060,9100,0.38,01/31/14,02/01/12,01/31/12,3327,56200,1
9,2013,113894.98,106276.98,12.544,-1.42,-0.34,-0.46,3.63,14.84,0,0,1.17,4.91,3,-2.75,0.023,-1.92,1.12,0.8,0.6,7.35,13.084,8.797,0.22,0.84,29.32,-107.25,36.28,18.55,9060,9080,0.91,01/30/15,01/30/13,01/29/13,3075,88400,1
9,2014,183044.61,175778.61,19.94,-1.96,-0.63,-0.77,3.98,17.31,0.6,0.69,0.64,5.64,5,-2.91,0.076,-2.3,1.07,0.75,0.54,5.28,20.22,12.412,-1.1,0,18.73,700,36.04,20.75,9140,9180,0.67,01/29/16,01/31/14,01/30/14,2922,117300,1
9,2015,144312.75,139385.75,15.518,-2.83,-1.34,-1.48,4.34,19.66,0,0,-0.45,3.74,5,-2.97,0.145,-3.7,1.12,0.82,0.62,0.85,20.353,14.353,-1.31,0,20.3,-186.67,25.06,23.06,9240,9300,1.68,02/10/17,01/30/15,01/29/15,2744,154100,1
9,2016,318344.19,312711.19,33.795,-3.35,-1.66,-1.91,5.6,23.11,1.58,1.14,-1.15,5.56,6,-3.38,0.142,-7.71,1.05,0.75,0.58,4.86,34.699,14.348,-1.29,0,16.47,342.31,66.22,31.33,9340,9420,1.46,02/02/18,01/29/16,01/28/16,2578,230800,1
9,2017,357687.99,346919.99,37.494,-4,-1.92,-2.09,7.85,30.48,6.15,2.91,-0.4,5.26,7,-3.04,0.132,-6.37,1.04,0.78,0.59,8.65,42.218,24.104,-1.27,0,25.24,288.89,48.11,42.93,9480,9540,1.43,02/01/19,02/10/17,02/02/17,2448,341400,1
9,2018,566023.48,572963.48,58.474,-7.5,-4.48,-4.63,9.56,39.53,7.7,2.8,-2.61,4.86,4,-2.31,0.415,8.95,1.04,0.76,0.54,4.84,59.792,37.684,-1.47,0,28.41,25.71,26.82,42.49,9600,9680,1.34,01/31/20,02/02/18,02/01/18,2357,566000,1
9,2019,737467.27,729362.27,75.099,-7.93,-4.48,-5.78,14.61,56.17,25.2,7.58,-0.64,5.62,7,-3.38,0.27,-5.09,1.1,0.85,0.6,8.77,101.976,59.451,-1.45,0,29.1,226.95,71.27,46.17,9740,9820,1.83,02/03/21,02/01/19,01/31/19,2315,647500,1
9,2020,920224.32,928408.32,92.392,-10.86,-6.71,-8.26,20.86,71.71,28.8,10.48,-1.26,5.1,4,-2.93,0.432,-1.17,1.1,0.86,0.63,9.09,101.049,75.014,-1.43,0,19.5,14.3,32.3,47.59,9880,9960,1.63,02/04/22,01/31/20,01/30/20,3169,798000,1
9,2021,1638230.76,1638223.76,162.846,-14.25,-9.45,-11.24,28.82,107.13,46.75,17.58,1.78,6.04,5,-2.94,0.415,4.63,1.05,0.86,0.67,13.9,176.572,83.831,-1,0,36,81.75,35.07,41.73,10000,10060,1.17,02/04/22,02/03/21,02/02/21,6330,1298000,1
9,2022,1697179.06,1717525.06,166.717,-18.3,-11.86,-14.27,27.48,143.74,47.9,23.28,-3.16,5.38,7,-2.59,0.494,10.75,1.14,0.91,0.68,13.75,186.57,147.598,-1.19,0,20.56,54.88,44.3,42.84,10117,10180,0.9,02/03/23,02/04/22,02/03/22,7282,1608000,1
9,2023,860328,930420,84,-24.08,-16.58,-19.3,22.48,160.6,22.83,16.55,-11.29,2.95,3,-2.44,0.514,-2.57,0.94,0.72,0.45,5.17,170.404,81.82,-0.61,0.7,10.55,-108.33,-47.9,25.4,10189,10242,1.09,02/03/23,02/03/23,02/02/23,10845,1541000,1
