enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
11,2008,0,0,0,-4.43,-2.53,-3.34,0,0,0,0,0,0,N/A,0,0.663,-15.89,2.23,1.8,0.96,0,0,0,-,0,0,0,0,0,214,214,0,10/31/08,10/31/08,,0,0,1
11,2009,0,0,0,-4.01,-2.16,-2.95,0,0,0,0,0,0,N/A,0,0.655,-1.66,1.89,1.31,0.65,1.93,0,0,-2.34,0,8.72,151.35,308.5,0,214,219,0,12/15/09,12/15/09,,0,0,1
11,2010,3530.895,3657.895,15,-1.95,-0.28,-1.01,0,0,0,0,0,2.99,N/A,0,0.624,-6.09,1.36,1.11,0.75,0.92,18.47,14.93,-7.49,-8.44,-12.66,-152.63,-34.1,0,219,235.393,0,12/15/10,12/15/09,12/03/09,109,3200,1
11,2011,5920.436,5595.436,24.68,-0.38,1.81,0.91,0,0,0,11.34,0,7.42,8,-2.13,0.599,-0.42,1.92,1.59,0.99,13.79,24.68,14.49,-1.91,-0.47,25.56,945,165.25,0,238,239.888,0,12/17/12,12/15/10,12/02/10,14,3500,1
11,2012,8306.137,7483.137,33.77,1.58,3.87,2.98,0,0,0,16.67,0,13.85,8,-2.58,0.548,-2.13,3.98,3.43,2.37,196,39.08,23.83,-2.53,0.28,8.96,29.59,17.49,0,245,245.962,0,12/20/13,12/16/11,12/01/11,16,3500,1
11,2013,8108.105,7027.105,33.03,2.61,5.08,4.05,0,0,0,19.44,14.44,13.51,6,-2.56,0.547,3.98,4.89,4.33,3.13,587,38.97,27.55,0.2,0.81,2.01,2.74,3.6,0,245,245.477,0.92,12/29/14,12/17/12,11/29/12,13,3600,1
11,2014,11316.613,10331.613,45.43,1.83,5.17,3.66,22.71,0,60.2,19.94,17.98,15.15,4,-2.51,0.664,14.11,4.39,3.7,2.38,277,47.05,30.88,-1.48,-0.05,5.75,-2.67,1.35,32.4,247,249.1,0.95,12/17/15,12/20/13,12/04/13,4,4800,1
11,2015,21936.049,25841.049,86.25,-22.19,-13.42,-18.87,34.15,0,62.72,0,3.58,2.86,4,-3.1,2.093,47.4,3.77,3.26,1.58,5.25,89.52,42.7,-2.1,-0.51,59.89,-54.79,34.29,21.26,251,254.331,1.5,12/23/16,12/29/14,12/03/14,3,8400,1
11,2016,34015.771,36065.771,123.13,-14.4,-7.39,-10.69,52.43,0,137.84,0,15.72,5.29,6,-2.48,0.645,-6.78,3.36,2.89,1.63,9.26,148.07,85.04,-8.62,-0.71,51.89,389.9,131.14,22.25,264,276.259,0.92,12/21/17,12/17/15,12/02/15,4,8200,1
11,2017,67819.289,81348.289,170.28,-70.24,-60.13,-64.38,74.8,0,62.23,0,-8.07,1.77,3,-1.5,3.083,9.39,2.31,1.86,1.01,1,177.4,116.31,-44.17,-0.43,42.35,-200.21,-29.43,30.01,366,398.281,1.19,12/21/18,12/23/16,12/08/16,243,15700,1
11,2018,107868.462,117113.462,263.91,-56.1,-44.8,-49.84,107.51,0,198.13,0,10.03,2.82,8,-2.78,0.591,-7.52,6.26,5.68,4.43,5.85,263.91,162.79,-2.62,-0.24,21.18,182.72,153.27,41.28,405,408.732,1.02,12/20/19,12/21/17,12/06/17,301,14000,1
11,2019,91183.92,104384.92,223.49,-47,-35.2,-39.51,157.87,0,797.78,0,22.14,3.35,6,-1.91,0.732,16.07,3.9,3.41,1.84,8.55,284.62,202.46,0.18,7.79,15.18,605.7,28.51,48.9,419.048,408,0.92,12/18/20,12/21/18,12/06/18,645,15000,1
11,2020,116554.3,144326.3,292.85,-94.14,-82,-86.97,207.84,286.59,277.63,0,15.31,2.21,6,-3.17,1.052,12.52,1.44,1.31,0.73,2.89,320.53,220.09,2.45,5.28,11.49,-77.39,5.36,38.55,398.997,398,0.83,12/17/21,12/20/19,12/12/19,715,19000,1
11,2021,142299.41,175770.41,349.63,-109.13,-98.68,-103.73,264.26,313.45,249.45,0,12.01,2.23,5,-3.37,0.85,2.64,1.87,1.71,1.2,2.37,382.43,167.87,-2.26,0.34,5.21,-1.56,16.82,32.32,403.008,407,0.93,12/16/22,12/18/20,12/10/20,891,21000,1
11,2022,219579.71,247173.71,531.67,-93.02,-82.38,-87.76,296.12,369.3,464.13,0,93.81,3.52,8,-2.98,0.692,-8.98,2.64,2.43,1.94,4.6,533.87,351.25,-1.47,0.51,12.77,136.98,29.59,28.39,411.028,413,0.97,12/16/22,12/17/21,12/09/21,971,20000,1
11,2023,196510.16,223609.16,470.12,-91.21,-76.64,-83.6,417.32,471.43,585.14,0,189.47,3.64,7,-2.49,0.659,-6.24,2.62,2.35,1.76,8.22,674.28,427.1,-1.21,4.24,22.67,76.86,32.23,20.05,410.025,418,1.16,12/16/22,12/16/22,12/08/22,1060,20000,1
