enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
17,2003,0,0,0,-8.66,-5.48,-6.65,0,0,0,0,0,0,N/A,0,0.74,3.48,0.64,0.52,0.07,5.43,0,0,-,0,0,0,0,0,689.407,695.806,0,12/31/03,12/31/03,,0,0,1
17,2004,0,0,0,-9.86,-6.21,-7.42,0,0,0,3.56,0,0,N/A,0,0.861,2.67,0.85,0.69,0.16,6.4,0,0,0.69,0,21.19,30.06,31.44,0,691.007,691.007,0,12/31/04,12/31/04,,0,50000,1
17,2005,0,0,0,-13.2,-8.86,-10.4,0,0,0,3.81,0,0,7,-2.06,1.223,0.49,0.67,0.53,0.17,10.05,0,0,-33.33,0,17.65,38.34,68.05,0,767.785,921.343,0,12/31/05,12/31/05,,0,77000,1
17,2006,0,0,0,-13.26,-9.04,-10.55,0,0,0,0,0,0,5,-2.58,0.803,6.71,0.82,0.64,0.15,3.61,0,0,-5.9,0,-4.8,-12.03,-1.92,0,959.732,975.727,0,12/31/06,12/31/06,,0,77000,1
17,2007,0,0,0,-16.5,-11.23,-13.22,0,0,75.9,0,0,1.55,6,-2.49,0.886,8.84,0.81,0.64,0.14,5.11,0,0,-0.49,0,25.15,70.84,43.15,29.15,972.528,980.526,0,12/31/07,12/31/07,,0,86000,1
17,2008,0,0,0,-20.31,-14.27,-16.59,39.39,0,130.85,0,0,1.68,6,-2.52,0.868,1.59,0.83,0.66,0.22,6.08,0,0,-0.33,0,12.3,61.22,28.33,16.77,976,983.795,0,09/14/09,09/14/09,,0,89000,1
17,2009,0,0,0,-54.98,-50.22,-52.15,43.44,0,25.92,0,0,0.19,3,-2.48,1.967,45.08,0.47,0.34,0.14,3.07,0,0,-62.88,0,16.85,-36.93,0.24,11.01,999,1602.43,0,04/15/10,09/14/09,,0,120000,1
17,2010,83471.729,133651.729,52.03,-48.91,-44.48,-46.26,40.49,0,17.49,0,0,0.74,5,-2.45,0.708,-8.69,0.76,0.6,0.26,2.46,53.24,37.4,-0.12,-0.09,-1.84,50.26,25.93,5.9,1584,1604.3,0,04/13/11,04/15/10,03/04/10,0,116489,1
17,2011,91639.726,134921.726,57.09,-46.06,-41.42,-43.14,50.3,0,0,0,0,1.49,6,-2.67,0.698,-2.91,0.8,0.65,0.33,3.41,63.88,45.8,-0.05,-0.23,-2.36,-13.79,-11.41,2.6,1592,1605.18,0,03/25/13,04/13/11,,0,114000,1
17,2012,97460.19,135754.19,60.99,-43.49,-39.17,-40.79,58.78,0,0,0,0,1.69,7,-2.88,0.663,-3.54,0.63,0.5,0.28,4.13,63.97,49.72,0.45,-0.16,7.37,43.2,13.13,3.85,1595,1597.97,0,03/25/14,04/13/12,03/08/12,0,116278,1
17,2013,140038.687,174800.687,87.41,-42.19,-37.97,-40.14,60.75,0,28.35,0,3.32,2.03,7,-3,0.675,4.27,1.01,0.89,0.68,5.17,90.27,58.92,-0.26,-0.07,0.95,22.91,3.68,8.03,1600,1602.09,0.85,03/24/15,03/25/13,02/27/13,0,116000,1
17,2014,171000.31,215107.31,106.46,-50.64,-45.21,-48.37,70.42,0,0,0,49.21,2.23,5,-2.38,0.77,7.56,0.73,0.62,0.39,5.44,106.46,84.29,-0.26,-0.04,7.2,98.18,46.51,0,1617,1606.24,0.88,03/14/16,03/25/14,02/26/14,0,155000,1
17,2015,180536.429,227285.429,112.32,-52.21,-46.06,-49.74,74.65,0,0,0,49.91,2.21,5,-2.7,0.683,4.3,0.68,0.58,0.32,5.98,116.99,94.17,-0.07,-0.05,7.97,-36.47,-19.16,0,1634,1607.34,1.41,03/22/17,03/24/15,02/26/15,0,155000,1
17,2016,200792.5,246862.5,125,-53.24,-46.19,-50.87,73.18,0,37.3,0,52.95,2.32,4,-2.73,0.619,-0.68,0.64,0.55,0.25,5.95,129.14,103.86,0.06,0.5,-8.66,-10.47,-9.08,8.4,1638,1606.34,1.1,04/04/18,03/14/16,,212,152321,1
17,2017,203946.266,322537.266,105.44,-89.34,-74.44,-86.58,79.73,0,0,0,9.59,1.15,5,-2.16,1.411,19.82,1.07,0.98,0.35,2.67,133.44,99.91,-20.41,0,0.46,-85.69,-32.68,-5.71,1717,1934.24,1.1,03/22/19,03/22/17,03/02/17,262,206633,1
17,2018,215723.572,330171.572,111.56,-84.74,-78.44,-81.13,71.92,0,0,0,0,1.3,6,-2.53,0.724,-5.96,0.65,0.54,0.32,3.22,126.02,104.26,0.03,0,5.23,460.56,38.16,-11.61,1971,1933.7,0.88,03/24/20,03/19/18,03/01/18,1103,182915,1
17,2019,128757.265,240695.265,65.81,-82.91,-77.23,-80.17,69.31,0,0,0,0,1,5,-2.82,0.711,-2.88,0.52,0.41,0.21,1.77,115.98,65.43,-1.18,0,-3.36,-45.48,7.97,-10.24,1975,1956.5,1.08,03/19/21,03/22/19,02/28/19,0,172603,1
17,2020,160747.535,265289.535,82.04,-78.39,-67.43,-75.74,72.47,102.45,0,0,0,1.26,7,-2.61,0.771,0.03,0.83,0.7,0.21,3.22,101.67,65.91,-0.15,-3.47,-2.07,108.76,2.47,-0.14,1984,1959.38,1.32,03/18/22,03/24/20,02/27/20,0,170000,1
17,2021,137879.998,231123.998,69.91,-72.37,-66.86,-70.01,67.12,88.22,0,0,0,1.03,4,-2.74,0.681,-6.99,0.82,0.68,0.48,2.71,83.45,35.18,-0.66,0,-10.89,-84.77,-48.51,-9.2,1998,1972.25,1.55,03/17/23,03/19/21,02/25/21,0,163695,1
17,2022,137032.522,224062.522,60.55,-60.31,-55.24,-57.99,66.72,98.09,0,0,0,1.2,6,-2.66,0.688,-1.95,0.7,0.55,0.36,3.27,79.35,54.21,-14.75,0,15.38,230.43,53.88,-7.5,2007,2263.13,1.69,03/17/23,03/18/22,02/24/22,0,169000,1
17,2023,119106.752,199907.752,60.04,-65.27,-58.65,-62.25,67.59,107.07,0,0,0,1.24,6,-2.44,0.709,-1.27,0.67,0.48,0.29,3.26,67.8,44.9,12.34,0,6.15,27.63,6.4,-7.96,2013,1983.79,1.2,03/17/23,03/17/23,03/02/23,0,167000,1
