enterprise_id,years,market_cap,enterprise_value,month_end_stock_price,net_cash_per_share,net_current_asset_value,net-net_working_capital,intrinsic_value:_projected_fcf,median_ps_value,peter_lynch_fair_value,graham_number,earnings_power_value_(epv),altman_z-score,piotroski_f-score,beneish_m-score,scaled_net_operating_assets,sloan_ratio_%,current_ratio,quick_ratio,cash_ratio,interest_coverage,highest_stock_price,lowest_stock_price,shares_buyback_ratio_%,buyback_yield_%,yoy_rev._per_sh._growth,yoy_eps_growth,yoy_ebitda_growth_(%),5-year_ebitda_growth_rate_(per_share),shares_outstanding_(basic_average),shares_outstanding_(eop),beta,restated_filing_date,filing_date,earnings_release_date,number_of_shareholders,number_of_employees,forex_rate
19,1994,544.657,4811.957,4.04,-41.97,-37.4,-41.97,-2.94,0,0,0,-14.1,-0.11,7,-2.61,0.795,8.15,1.31,1.31,0.27,N/A,4.64,1.97,88.85,-1.23,1269.26,-189.24,3782.32,0,134.816,134.816,1.36,,,,0,5327,1
19,1995,3514.875,8800.675,2.56,-5.21,-5.01,-5.21,0.01,2.38,0,0,0.08,0.13,3,-2.07,0.921,12.62,0.92,0.92,0.51,N/A,3.85,2.38,-918.42,-6.04,-90.18,90.23,-90.21,122.32,1372.998,1372.998,2.22,,,,0,5327,1
19,1996,4092.745,11354.845,2.94,-7.05,-6.25,-6.96,0.07,5.35,0,0,0.39,0.4,6,-0.98,0.959,18.66,1.47,1.26,0.48,N/A,3.69,2.29,-1.39,0.01,129.44,52.38,-44.11,79.54,1462.602,1392.09,1.8,,,,0,5327,1
19,1997,5621.956,13514.056,2.94,-5.86,-5.31,-5.81,0.93,4.82,0,0,7.91,0.4,4,-2.43,0.878,0.43,1.03,0.84,0.24,N/A,3.44,2.31,-37.36,3.13,6.35,-23.33,1.72,24.14,1477.443,1912.23,1.4,,,,0,16400,1
19,1998,11160.027,17281.027,5.31,-4.41,-3.92,-4.35,0.86,4.6,0,0,7.9,0.87,5,-2.87,0.64,-0.33,1.03,0.82,0.29,N/A,5.46,2.42,-9.91,-8.69,-8.67,-243.24,-8.89,-26.3,2000.316,2101.7,1.13,,,,0,16400,1
19,1999,20780.011,26893.611,9.57,-4.62,-2.74,-4.8,1.16,5.11,0,0.92,5.64,2.03,7,-2.15,0.826,8.97,1.85,1.73,0.29,N/A,9.65,5.02,-3.31,-0.14,3,414.96,-1.7,0,2209.052,2171.37,1.18,,,,0,16400,1
19,2000,35698.53,37924.13,15.96,-4.39,-4.09,-4.32,3.16,6.04,0,0,3.78,1.77,5,-2.44,0.816,8.21,1.77,1.68,1.54,N/A,17.71,9.46,-3.01,0.04,20.61,10,25.83,0,2251.048,2236.75,0.76,,,,0,25700,1
19,2001,38542.092,46418.992,13.77,-6.41,-5.92,-6.12,3.31,7.18,0,0,-2.1,1.75,4,-2.49,0.764,5.65,1.48,1.35,1.07,N/A,17.15,9.92,-25.14,0.76,-30.57,61.36,-27.53,0,4267.016,2798.99,0.91,,,,0,35000,1
19,2002,33800.76,43909.76,12,-7.39,-6.78,-7.05,2.92,8.44,0,0,-6.3,1.3,3,-2.63,0.688,6.24,1.44,1.3,0.91,N/A,15.13,10.93,-0.63,0,15.78,-70.42,7.6,0,4271.514,2816.73,0.46,03/20/03,03/20/03,,0,38000,1
19,2003,53011.613,85330.613,7.86,-10.53,-10.04,-10.44,3.96,6.38,0,0,-5.31,0.44,3,-2.49,1.846,-1.32,0.46,0.46,0.24,N/A,12.38,5.8,-139.44,-0.04,-27.22,-126.67,-8.83,0,4992.504,6744.48,0.77,03/12/04,03/20/03,,0,82000,1
